,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
SPPL3,1.0,1.0,1.0,1.0,100.0
CBWD5,1.0,1.0,1.0,1.0,100.0
ST5,1.0,1.0,1.0,1.0,100.0
CHSY1,1.0,1.0,1.0,1.0,100.0
DDX3X,1.0,1.0,1.0,1.0,100.0
ZC3H13,1.0,1.0,1.0,1.0,100.0
ENSA,1.0,1.0,1.0,1.0,100.0
PSMG2,1.0,1.0,1.0,1.0,100.0
FAM50A,1.0,1.0,1.0,1.0,100.0
PRKAG2,1.0,1.0,1.0,1.0,100.0
PPP4R2,1.0,1.0,1.0,1.0,100.0
FTCDNL1,1.0,1.0,1.0,1.0,100.0
GAK,1.0,1.0,1.0,1.0,100.0
PPARD,1.0,1.0,1.0,1.0,100.0
GLYR1,1.0,1.0,1.0,1.0,100.0
HOOK3,1.0,1.0,1.0,1.0,100.0
PARP10,1.0,1.0,1.0,1.0,100.0
TMEM165,1.0,1.0,1.0,1.0,100.0
TPP2,1.0,1.0,1.0,1.0,100.0
LINC00886,1.0,1.0,1.0,1.0,100.0
LMBRD1,1.0,1.0,1.0,1.0,100.0
LRRC8B,1.0,1.0,1.0,1.0,100.0
MARCH8,1.0,1.0,1.0,1.0,100.0
ABL2,1.0,1.0,1.0,1.0,100.0
MED28,1.0,1.0,1.0,1.0,100.0
MRC2,1.0,1.0,1.0,1.0,100.0
MTURN,1.0,1.0,1.0,1.0,100.0
ZNF106,1.0,1.0,1.0,1.0,100.0
RAI1,1.0,1.0,1.0,1.0,100.0
SS18,1.0,1.0,1.0,1.0,100.0
SSH2,1.0,1.0,1.0,1.0,100.0
ARID5A,1.0,1.0,1.0,1.0,100.0
ZNF331,1.0,1.0,1.0,1.0,100.0
ATIC,1.0,1.0,1.0,1.0,100.0
C9orf3,1.0,1.0,1.0,1.0,100.0
SLC25A36,1.0,1.0,1.0,1.0,100.0
BBS7,1.0,1.0,1.0,1.0,100.0
APPBP2,1.0,1.0,1.0,1.0,100.0
BBX,1.0,1.0,1.0,1.0,100.0
SHQ1,1.0,1.0,1.0,1.0,100.0
CAP1,1.0,0.0,1.0,1.0,75.0
UBAP1,0.0,1.0,1.0,1.0,75.0
TCF25,1.0,1.0,0.0,1.0,75.0
TMEM163,1.0,1.0,0.0,1.0,75.0
KCNC3,0.0,1.0,1.0,1.0,75.0
KLHL2,1.0,1.0,0.0,1.0,75.0
ARAP1,1.0,0.0,1.0,1.0,75.0
NEK6,1.0,0.0,1.0,1.0,75.0
LINC00623,1.0,0.0,1.0,1.0,75.0
NEK3,1.0,0.0,1.0,1.0,75.0
LINC01503,0.0,1.0,1.0,1.0,75.0
NCOR1,1.0,1.0,0.0,1.0,75.0
MARCH3,1.0,1.0,0.0,1.0,75.0
AGO4,1.0,1.0,0.0,1.0,75.0
TNFAIP8L3,0.0,1.0,1.0,1.0,75.0
NAA40,1.0,1.0,0.0,1.0,75.0
GNPTG,1.0,1.0,0.0,1.0,75.0
MYL12B,1.0,1.0,1.0,0.0,75.0
ARHGAP26,1.0,1.0,0.0,1.0,75.0
EIF4G1,1.0,1.0,0.0,1.0,75.0
RNF111,1.0,1.0,0.0,1.0,75.0
RNF149,1.0,1.0,0.0,1.0,75.0
COL18A1,1.0,1.0,0.0,1.0,75.0
RB1CC1,1.0,1.0,0.0,1.0,75.0
CSNK2A2,1.0,0.0,1.0,1.0,75.0
D2HGDH,1.0,0.0,1.0,1.0,75.0
BCORL1,0.0,1.0,1.0,1.0,75.0
DENND5B,1.0,1.0,0.0,1.0,75.0
ZFX,1.0,1.0,0.0,1.0,75.0
DNHD1,0.0,1.0,1.0,1.0,75.0
TBC1D15,1.0,0.0,1.0,1.0,75.0
BCL6,1.0,0.0,1.0,1.0,75.0
ARID3A,1.0,1.0,0.0,1.0,75.0
EMC2,1.0,1.0,0.0,1.0,75.0
FAM168A,0.0,1.0,1.0,1.0,75.0
B3GNTL1,1.0,1.0,1.0,0.0,75.0
TMIGD3,0.0,0.0,1.0,1.0,50.0
TGFB1,0.0,0.0,1.0,1.0,50.0
POU2F1,1.0,1.0,0.0,0.0,50.0
SLCO2B1,0.0,1.0,1.0,0.0,50.0
TBC1D14,1.0,0.0,0.0,1.0,50.0
NAPA,1.0,1.0,0.0,0.0,50.0
PLPP1,1.0,1.0,0.0,0.0,50.0
SLC38A7,1.0,1.0,0.0,0.0,50.0
NCOR2,1.0,1.0,0.0,0.0,50.0
THUMPD1,0.0,0.0,1.0,1.0,50.0
NFKBIZ,1.0,1.0,0.0,0.0,50.0
TBC1D8,0.0,1.0,0.0,1.0,50.0
SLC20A2,1.0,1.0,0.0,0.0,50.0
MYLIP,0.0,0.0,1.0,1.0,50.0
SLC11A2,1.0,1.0,0.0,0.0,50.0
OSBPL8,1.0,1.0,0.0,0.0,50.0
PPP1CB,1.0,1.0,0.0,0.0,50.0
SLAIN2,1.0,1.0,0.0,0.0,50.0
SEC63,1.0,1.0,0.0,0.0,50.0
MED13,1.0,1.0,0.0,0.0,50.0
MTHFR,0.0,1.0,0.0,1.0,50.0
GATM,1.0,1.0,0.0,0.0,50.0
FBXW8,1.0,0.0,1.0,0.0,50.0
FAM222B,0.0,0.0,1.0,1.0,50.0
FAM174B,0.0,1.0,1.0,0.0,50.0
YPEL2,1.0,1.0,0.0,0.0,50.0
DPY19L3,1.0,1.0,0.0,0.0,50.0
CSF1R,0.0,1.0,1.0,0.0,50.0
CECR2,1.0,1.0,0.0,0.0,50.0
C2CD2,1.0,0.0,0.0,1.0,50.0
BRD9,1.0,0.0,0.0,1.0,50.0
ARHGEF10L,1.0,1.0,0.0,0.0,50.0
APIP,0.0,0.0,1.0,1.0,50.0
APBA1,1.0,1.0,0.0,0.0,50.0
AP3S1,0.0,0.0,1.0,1.0,50.0
ADGRE2,0.0,0.0,1.0,1.0,50.0
ACSS1,0.0,1.0,1.0,0.0,50.0
MIR646HG,0.0,1.0,0.0,1.0,50.0
FMNL3,0.0,1.0,0.0,1.0,50.0
VAC14,0.0,0.0,1.0,1.0,50.0
TUBGCP2,1.0,1.0,0.0,0.0,50.0
HNRNPA3,1.0,1.0,0.0,0.0,50.0
IKZF5,1.0,1.0,0.0,0.0,50.0
VAV1,0.0,0.0,1.0,1.0,50.0
ITGB5,1.0,1.0,0.0,0.0,50.0
MAP3K1,1.0,1.0,0.0,0.0,50.0
JOSD1,0.0,0.0,1.0,1.0,50.0
KCNMA1,1.0,0.0,0.0,1.0,50.0
LSM6,1.0,1.0,0.0,0.0,50.0
SREBF2,0.0,0.0,1.0,1.0,50.0
KDM7A,1.0,1.0,0.0,0.0,50.0
LINC01001,0.0,0.0,1.0,1.0,50.0
TNFRSF1A,0.0,0.0,1.0,1.0,50.0
ZNF280D,0.0,0.0,0.0,1.0,25.0
ZNF197,0.0,0.0,0.0,1.0,25.0
WNK3,1.0,0.0,0.0,0.0,25.0
ZNF131,1.0,0.0,0.0,0.0,25.0
ZNF124,0.0,0.0,0.0,1.0,25.0
TUBGCP3,0.0,1.0,0.0,0.0,25.0
WIPI2,1.0,0.0,0.0,0.0,25.0
ZMYM1,1.0,0.0,0.0,0.0,25.0
TMC6,0.0,0.0,0.0,1.0,25.0
TMEM168,0.0,0.0,1.0,0.0,25.0
ABI3,1.0,0.0,0.0,0.0,25.0
SNX30,1.0,0.0,0.0,0.0,25.0
DEPTOR,0.0,0.0,0.0,1.0,25.0
KCNQ1,0.0,0.0,1.0,0.0,25.0
IL21R,0.0,0.0,1.0,0.0,25.0
GRK2,1.0,0.0,0.0,0.0,25.0
GDAP1,0.0,0.0,0.0,1.0,25.0
FAM157C,0.0,0.0,1.0,0.0,25.0
DNMT3A,1.0,0.0,0.0,0.0,25.0
CIRBP,0.0,0.0,0.0,1.0,25.0
KIAA0355,1.0,0.0,0.0,0.0,25.0
CCAR1,0.0,0.0,1.0,0.0,25.0
APPL2,0.0,0.0,1.0,0.0,25.0
APMAP,0.0,0.0,0.0,1.0,25.0
AP1M1,1.0,0.0,0.0,0.0,25.0
AOAH,0.0,0.0,0.0,1.0,25.0
AGPAT3,0.0,1.0,0.0,0.0,25.0
KDM4B,0.0,1.0,0.0,0.0,25.0
KIF5B,0.0,1.0,0.0,0.0,25.0
RREB1,1.0,0.0,0.0,0.0,25.0
PHC2,0.0,0.0,1.0,0.0,25.0
REXO1,0.0,1.0,0.0,0.0,25.0
REPS1,0.0,1.0,0.0,0.0,25.0
RAP1GAP2,0.0,0.0,0.0,1.0,25.0
PYGL,0.0,0.0,0.0,1.0,25.0
POU2F2,0.0,0.0,1.0,0.0,25.0
PIK3CD,0.0,0.0,0.0,1.0,25.0
PECAM1,0.0,0.0,0.0,1.0,25.0
KLF7,1.0,0.0,0.0,0.0,25.0
PATL1,0.0,1.0,0.0,0.0,25.0
NSMAF,1.0,0.0,0.0,0.0,25.0
NLRC5,0.0,0.0,0.0,1.0,25.0
NFX1,1.0,0.0,0.0,0.0,25.0
MLXIP,0.0,1.0,0.0,0.0,25.0
LINC00476,1.0,0.0,0.0,0.0,25.0
ZNF362,1.0,0.0,0.0,0.0,25.0
