,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
NAXD,1.0,1.0,1.0,1.0,100.0
DYM,1.0,1.0,1.0,1.0,100.0
EIF3M,1.0,1.0,1.0,1.0,100.0
EIF2AK1,1.0,1.0,1.0,1.0,100.0
EGLN1,1.0,1.0,1.0,1.0,100.0
PGGT1B,1.0,1.0,1.0,1.0,100.0
PCM1,1.0,1.0,1.0,1.0,100.0
KIF13B,1.0,1.0,1.0,1.0,100.0
SSFA2,1.0,1.0,1.0,1.0,100.0
SMAP1,1.0,1.0,1.0,1.0,100.0
DOCK3,1.0,1.0,1.0,1.0,100.0
LATS2,1.0,1.0,1.0,1.0,100.0
DICER1,1.0,1.0,1.0,1.0,100.0
STK24,1.0,1.0,1.0,1.0,100.0
CYLD,1.0,1.0,1.0,1.0,100.0
LINC01001,1.0,1.0,1.0,1.0,100.0
NCOA7,1.0,1.0,1.0,1.0,100.0
SLAIN2,1.0,1.0,1.0,1.0,100.0
STT3B,1.0,1.0,1.0,1.0,100.0
RAB3IP,1.0,1.0,1.0,1.0,100.0
H2AFY,1.0,1.0,1.0,1.0,100.0
GIT2,1.0,1.0,1.0,1.0,100.0
GDI2,1.0,1.0,1.0,1.0,100.0
HELZ,1.0,1.0,1.0,1.0,100.0
FUT8,1.0,1.0,1.0,1.0,100.0
RAB14,1.0,1.0,1.0,1.0,100.0
PSMD14,1.0,1.0,1.0,1.0,100.0
SEC63,1.0,1.0,1.0,1.0,100.0
FBXW4,1.0,1.0,1.0,1.0,100.0
RASGEF1B,1.0,1.0,1.0,1.0,100.0
FAR1,1.0,1.0,1.0,1.0,100.0
RREB1,1.0,1.0,1.0,1.0,100.0
EYA3,1.0,1.0,1.0,1.0,100.0
SACM1L,1.0,1.0,1.0,1.0,100.0
