,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZNF331,1.0,1.0,1.0,1.0,100.0
CD63,1.0,1.0,1.0,1.0,100.0
FTL,1.0,1.0,1.0,1.0,100.0
TNFRSF10D,1.0,1.0,1.0,1.0,100.0
PABPC1,1.0,1.0,1.0,1.0,100.0
PARVB,1.0,1.0,1.0,1.0,100.0
DDX42,1.0,1.0,1.0,1.0,100.0
DDIT4,1.0,1.0,1.0,1.0,100.0
LEPR,1.0,1.0,1.0,0.0,75.0
FKBP5,1.0,1.0,0.0,1.0,75.0
LRRC8B,1.0,0.0,1.0,1.0,75.0
ACER3,1.0,0.0,1.0,1.0,75.0
PFN1,1.0,1.0,0.0,1.0,75.0
PGK1,0.0,1.0,1.0,1.0,75.0
PTMA,1.0,0.0,1.0,1.0,75.0
CSNK1D,0.0,1.0,1.0,1.0,75.0
HCST,1.0,1.0,0.0,1.0,75.0
SBNO2,1.0,1.0,0.0,1.0,75.0
BNIP3L,1.0,1.0,1.0,0.0,75.0
AMDHD2,0.0,1.0,1.0,1.0,75.0
B4GALT1,1.0,1.0,0.0,1.0,75.0
SNHG12,1.0,1.0,1.0,0.0,75.0
SYTL3,0.0,1.0,1.0,1.0,75.0
SDCBP,1.0,1.0,1.0,0.0,75.0
SERPINE1,1.0,0.0,1.0,0.0,50.0
UBC,1.0,1.0,0.0,0.0,50.0
HIF1A-AS2,1.0,0.0,0.0,1.0,50.0
HSPA8,1.0,1.0,0.0,0.0,50.0
IFNAR1,1.0,1.0,0.0,0.0,50.0
ITGAV,1.0,0.0,1.0,0.0,50.0
JUNB,0.0,1.0,1.0,0.0,50.0
WWC2,1.0,1.0,0.0,0.0,50.0
VIM,0.0,0.0,1.0,1.0,50.0
RPRD1A,1.0,0.0,1.0,0.0,50.0
PPP1R3B,1.0,1.0,0.0,0.0,50.0
TXNL4A,1.0,0.0,0.0,1.0,50.0
P4HA1,1.0,1.0,0.0,0.0,50.0
S100A4,1.0,0.0,1.0,0.0,50.0
SPRED2,1.0,1.0,0.0,0.0,50.0
SNX10,1.0,0.0,1.0,0.0,50.0
PPP1CB,1.0,1.0,0.0,0.0,50.0
GTDC1,1.0,1.0,0.0,0.0,50.0
RASGEF1B,1.0,0.0,1.0,0.0,50.0
ABHD13,1.0,1.0,0.0,0.0,50.0
CUL4A,0.0,1.0,0.0,1.0,50.0
FCGRT,1.0,0.0,1.0,0.0,50.0
ACSL4,1.0,1.0,0.0,0.0,50.0
ANXA2,1.0,0.0,1.0,0.0,50.0
FAM13A,1.0,1.0,0.0,0.0,50.0
NAMPT,1.0,1.0,0.0,0.0,50.0
GABRB2,0.0,1.0,0.0,0.0,25.0
IL4R,1.0,0.0,0.0,0.0,25.0
ATP6V1H,0.0,1.0,0.0,0.0,25.0
SPP1,0.0,1.0,0.0,0.0,25.0
AZI2,0.0,1.0,0.0,0.0,25.0
BHLHE40,0.0,0.0,1.0,0.0,25.0
SNAPC1,0.0,0.0,0.0,1.0,25.0
SLC7A5,0.0,0.0,0.0,1.0,25.0
SLC37A2,1.0,0.0,0.0,0.0,25.0
SLC2A3,1.0,0.0,0.0,0.0,25.0
SLC25A5,1.0,0.0,0.0,0.0,25.0
SIPA1L1,1.0,0.0,0.0,0.0,25.0
SGK1,1.0,0.0,0.0,0.0,25.0
SFXN1,0.0,0.0,1.0,0.0,25.0
SFT2D1,0.0,0.0,1.0,0.0,25.0
BMPR1A,0.0,1.0,0.0,0.0,25.0
C3orf70,0.0,1.0,0.0,0.0,25.0
C5orf24,1.0,0.0,0.0,0.0,25.0
CD81,0.0,0.0,0.0,1.0,25.0
S100A11,0.0,0.0,1.0,0.0,25.0
RPS16,1.0,0.0,0.0,0.0,25.0
SSBP4,0.0,0.0,0.0,1.0,25.0
SSFA2,0.0,1.0,0.0,0.0,25.0
STK17B,1.0,0.0,0.0,0.0,25.0
VEGFA,0.0,0.0,1.0,0.0,25.0
ZNF195,1.0,0.0,0.0,0.0,25.0
YBX3,0.0,0.0,0.0,1.0,25.0
XXYLT1,1.0,0.0,0.0,0.0,25.0
XPOT,0.0,0.0,1.0,0.0,25.0
GPI,0.0,1.0,0.0,0.0,25.0
WASF1,1.0,0.0,0.0,0.0,25.0
VPS50,1.0,0.0,0.0,0.0,25.0
ACTB,1.0,0.0,0.0,0.0,25.0
URB1,1.0,0.0,0.0,0.0,25.0
SUCO,0.0,1.0,0.0,0.0,25.0
AGPAT2,0.0,1.0,0.0,0.0,25.0
ANKRD37,0.0,1.0,0.0,0.0,25.0
HMGCS1,0.0,0.0,1.0,0.0,25.0
TNFAIP8,1.0,0.0,0.0,0.0,25.0
TMTC2,1.0,0.0,0.0,0.0,25.0
THY1,0.0,0.0,0.0,1.0,25.0
TEX10,0.0,0.0,1.0,0.0,25.0
