,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZNF644,1.0,1.0,1.0,1.0,100.0
TECPR1,1.0,1.0,1.0,1.0,100.0
OSBPL1A,1.0,1.0,1.0,1.0,100.0
NT5DC1,1.0,1.0,1.0,1.0,100.0
NOS1AP,1.0,1.0,1.0,1.0,100.0
N4BP2,1.0,1.0,1.0,1.0,100.0
MCF2L,1.0,1.0,1.0,1.0,100.0
MBD5,1.0,1.0,1.0,1.0,100.0
MARCH8,1.0,1.0,1.0,1.0,100.0
MARCH3,1.0,1.0,1.0,1.0,100.0
ACAP2,1.0,1.0,1.0,1.0,100.0
MAP2K6,1.0,1.0,1.0,1.0,100.0
LRRC4,1.0,1.0,1.0,1.0,100.0
TENM4,1.0,1.0,1.0,1.0,100.0
LMF1,1.0,1.0,1.0,1.0,100.0
TGIF1,1.0,1.0,1.0,1.0,100.0
KCNQ1,1.0,1.0,1.0,1.0,100.0
KCNIP1,1.0,1.0,1.0,1.0,100.0
TAF4,1.0,1.0,1.0,1.0,100.0
OSBPL9,1.0,1.0,1.0,1.0,100.0
PALD1,1.0,1.0,1.0,1.0,100.0
TMEM184B,1.0,1.0,1.0,1.0,100.0
PLAC1,1.0,1.0,1.0,1.0,100.0
SMIM14,1.0,1.0,1.0,1.0,100.0
SMARCC1,1.0,1.0,1.0,1.0,100.0
SLC25A24,1.0,1.0,1.0,1.0,100.0
SH3KBP1,1.0,1.0,1.0,1.0,100.0
TANC1,1.0,1.0,1.0,1.0,100.0
SFMBT2,1.0,1.0,1.0,1.0,100.0
TAOK3,1.0,1.0,1.0,1.0,100.0
ROCK1,1.0,1.0,1.0,1.0,100.0
RHOD,1.0,1.0,1.0,1.0,100.0
RGS12,1.0,1.0,1.0,1.0,100.0
RBM46,1.0,1.0,1.0,1.0,100.0
RAB40C,1.0,1.0,1.0,1.0,100.0
PRMT2,1.0,1.0,1.0,1.0,100.0
PRKAG2,1.0,1.0,1.0,1.0,100.0
PPP2R5C,1.0,1.0,1.0,1.0,100.0
TBC1D2B,1.0,1.0,1.0,1.0,100.0
PLCL2,1.0,1.0,1.0,1.0,100.0
KAT7,1.0,1.0,1.0,1.0,100.0
KCNA5,1.0,1.0,1.0,1.0,100.0
JADE2,1.0,1.0,1.0,1.0,100.0
EEF2K,1.0,1.0,1.0,1.0,100.0
HNRNPL,1.0,1.0,1.0,1.0,100.0
CTDSP2,1.0,1.0,1.0,1.0,100.0
CREBBP,1.0,1.0,1.0,1.0,100.0
CEP44,1.0,1.0,1.0,1.0,100.0
XRN1,1.0,1.0,1.0,1.0,100.0
ZCWPW1,1.0,1.0,1.0,1.0,100.0
CCDC187,1.0,1.0,1.0,1.0,100.0
CAST,1.0,1.0,1.0,1.0,100.0
BPTF,1.0,1.0,1.0,1.0,100.0
ATM,1.0,1.0,1.0,1.0,100.0
ZFHX3,1.0,1.0,1.0,1.0,100.0
ARHGAP27,1.0,1.0,1.0,1.0,100.0
ZNF611,1.0,1.0,1.0,1.0,100.0
ANOS1,1.0,1.0,1.0,1.0,100.0
AKAP9,1.0,1.0,1.0,1.0,100.0
AGPAT3,1.0,1.0,1.0,1.0,100.0
ACSF2,1.0,1.0,1.0,1.0,100.0
USP33,1.0,1.0,1.0,1.0,100.0
STX8,1.0,1.0,1.0,1.0,100.0
GTF2I,1.0,1.0,1.0,1.0,100.0
TRAPPC10,1.0,1.0,1.0,1.0,100.0
FBXL20,1.0,1.0,1.0,1.0,100.0
TTC7A,1.0,1.0,1.0,1.0,100.0
FOXP1,1.0,1.0,1.0,1.0,100.0
GAK,1.0,1.0,1.0,1.0,100.0
USP32,1.0,1.0,1.0,1.0,100.0
EHBP1,1.0,1.0,1.0,1.0,100.0
GOLGB1,1.0,1.0,1.0,1.0,100.0
ANKRD36C,0.0,1.0,1.0,1.0,75.0
MAML3,1.0,0.0,1.0,1.0,75.0
GALNT7,1.0,0.0,1.0,1.0,75.0
NCMAP,1.0,1.0,0.0,0.0,50.0
GAS7,0.0,0.0,1.0,1.0,50.0
LARS,1.0,1.0,0.0,0.0,50.0
BOD1L1,1.0,0.0,1.0,0.0,50.0
ARID4B,1.0,0.0,1.0,0.0,50.0
LRRK2,0.0,0.0,1.0,1.0,50.0
FOXJ3,0.0,0.0,1.0,1.0,50.0
FGGY,1.0,0.0,0.0,1.0,50.0
MYH9,0.0,1.0,1.0,0.0,50.0
XIST,0.0,0.0,1.0,0.0,25.0
WBP2NL,0.0,1.0,0.0,0.0,25.0
USP4,0.0,0.0,1.0,0.0,25.0
ABCC4,0.0,1.0,0.0,0.0,25.0
SYT6,0.0,1.0,0.0,0.0,25.0
SH3BGRL,1.0,0.0,0.0,0.0,25.0
APAF1,0.0,1.0,0.0,0.0,25.0
ARRB1,0.0,0.0,0.0,1.0,25.0
CCDC30,0.0,1.0,0.0,0.0,25.0
CEACAM21,0.0,0.0,1.0,0.0,25.0
CHD9,1.0,0.0,0.0,0.0,25.0
CSF3R,0.0,1.0,0.0,0.0,25.0
CTDSPL2,0.0,0.0,1.0,0.0,25.0
DNAJB2,0.0,0.0,1.0,0.0,25.0
GALNS,1.0,0.0,0.0,0.0,25.0
GPR107,1.0,0.0,0.0,0.0,25.0
GRK5,1.0,0.0,0.0,0.0,25.0
KANTR,0.0,1.0,0.0,0.0,25.0
LMBRD2,0.0,0.0,1.0,0.0,25.0
LPXN,0.0,0.0,1.0,0.0,25.0
P3H2,0.0,1.0,0.0,0.0,25.0
PLD3,1.0,0.0,0.0,0.0,25.0
RSRC2,1.0,0.0,0.0,0.0,25.0
MAPRE3,1.0,0.0,0.0,0.0,25.0
