,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZNF800,1.0,1.0,1.0,1.0,100.0
RAMP1,1.0,1.0,1.0,1.0,100.0
IAH1,1.0,1.0,1.0,1.0,100.0
LRRC37A2,1.0,1.0,1.0,1.0,100.0
EEF1D,1.0,1.0,1.0,1.0,100.0
RNF11,1.0,1.0,1.0,1.0,100.0
DSCAM,1.0,1.0,1.0,1.0,100.0
RNF130,1.0,1.0,1.0,1.0,100.0
IFRD1,1.0,1.0,1.0,1.0,100.0
SALL1,1.0,1.0,1.0,1.0,100.0
DEGS1,1.0,1.0,1.0,1.0,100.0
INTS6-AS1,1.0,1.0,1.0,1.0,100.0
IQGAP2,1.0,1.0,1.0,1.0,100.0
IRF2BP2,1.0,1.0,1.0,1.0,100.0
NEAT1,1.0,1.0,1.0,1.0,100.0
SLAIN1,1.0,1.0,1.0,1.0,100.0
OSBPL1A,1.0,1.0,1.0,1.0,100.0
EPB41,1.0,1.0,1.0,1.0,100.0
NPL,1.0,1.0,1.0,1.0,100.0
CNOT7,1.0,1.0,1.0,1.0,100.0
PTGR1,1.0,1.0,1.0,1.0,100.0
GTPBP10,1.0,1.0,1.0,1.0,100.0
PAQR3,1.0,1.0,1.0,1.0,100.0
PHC1,1.0,1.0,1.0,1.0,100.0
GPNMB,1.0,1.0,1.0,1.0,100.0
NR2C2,1.0,1.0,1.0,1.0,100.0
PNRC1,1.0,1.0,1.0,1.0,100.0
PPARG,1.0,1.0,1.0,1.0,100.0
PPP1CA,1.0,1.0,1.0,1.0,100.0
HMGN1,1.0,1.0,1.0,1.0,100.0
PPT1,1.0,1.0,1.0,1.0,100.0
PRDM1,1.0,1.0,1.0,1.0,100.0
PRKAG2,1.0,1.0,1.0,1.0,100.0
NR1D2,1.0,1.0,1.0,1.0,100.0
FMNL3,1.0,1.0,1.0,1.0,100.0
PSMD3,1.0,1.0,1.0,1.0,100.0
CPNE1,1.0,1.0,1.0,1.0,100.0
SLC35E3,1.0,1.0,1.0,1.0,100.0
CLCN3,1.0,1.0,1.0,1.0,100.0
UBQLN2,1.0,1.0,1.0,1.0,100.0
UGCG,1.0,1.0,1.0,1.0,100.0
CADM1,1.0,1.0,1.0,1.0,100.0
C4orf33,1.0,1.0,1.0,1.0,100.0
MITF,1.0,1.0,1.0,1.0,100.0
MIR3142HG,1.0,1.0,1.0,1.0,100.0
BNC2,1.0,1.0,1.0,1.0,100.0
ZBTB44,1.0,1.0,1.0,1.0,100.0
ASAH1,1.0,1.0,1.0,1.0,100.0
ZDHHC2,1.0,1.0,1.0,1.0,100.0
ZFP36L2,1.0,1.0,1.0,1.0,100.0
ZMIZ1,1.0,1.0,1.0,1.0,100.0
LILRB4,1.0,1.0,1.0,1.0,100.0
ZNF589,1.0,1.0,1.0,1.0,100.0
AGO3,1.0,1.0,1.0,1.0,100.0
ZNF630,1.0,1.0,1.0,1.0,100.0
NDC80,1.0,1.0,1.0,1.0,100.0
CAPG,1.0,1.0,1.0,1.0,100.0
UBAC1,1.0,1.0,1.0,1.0,100.0
TNFRSF14,1.0,1.0,1.0,1.0,100.0
NCKAP1,1.0,1.0,1.0,1.0,100.0
NAV1,1.0,1.0,1.0,1.0,100.0
NAP1L1,1.0,1.0,1.0,1.0,100.0
KAT2B,1.0,1.0,1.0,1.0,100.0
KDM3A,1.0,1.0,1.0,1.0,100.0
TSC22D3,1.0,1.0,1.0,1.0,100.0
GYPC,1.0,1.0,1.0,1.0,100.0
TNPO1,1.0,1.0,1.0,1.0,100.0
TOM1,1.0,1.0,1.0,1.0,100.0
MRPS6,1.0,1.0,1.0,1.0,100.0
KLHL8,1.0,1.0,1.0,1.0,100.0
MGAT1,1.0,1.0,1.0,0.0,75.0
ACTB,1.0,1.0,1.0,0.0,75.0
NAB1,0.0,1.0,1.0,1.0,75.0
NOL4L,1.0,0.0,1.0,1.0,75.0
MED4,1.0,1.0,1.0,0.0,75.0
NEK10,1.0,0.0,1.0,1.0,75.0
NRP2,1.0,1.0,1.0,0.0,75.0
N4BP1,1.0,1.0,1.0,0.0,75.0
RHOG,1.0,1.0,1.0,0.0,75.0
PAPOLA,1.0,1.0,1.0,0.0,75.0
SLC39A10,1.0,0.0,1.0,1.0,75.0
ZMYM2,1.0,0.0,1.0,1.0,75.0
ZKSCAN1,1.0,1.0,1.0,0.0,75.0
XRCC6,1.0,1.0,1.0,0.0,75.0
WDFY1,1.0,1.0,1.0,0.0,75.0
VEZF1,1.0,0.0,1.0,1.0,75.0
TPCN1,1.0,1.0,1.0,0.0,75.0
TP53INP1,1.0,0.0,1.0,1.0,75.0
TMTC2,1.0,1.0,1.0,0.0,75.0
TFEB,1.0,1.0,1.0,0.0,75.0
STXBP5-AS1,1.0,0.0,1.0,1.0,75.0
STRBP,1.0,0.0,1.0,1.0,75.0
SSU72,1.0,1.0,1.0,0.0,75.0
SNX18,1.0,1.0,1.0,0.0,75.0
SLC38A2,1.0,1.0,0.0,1.0,75.0
PCBP1,1.0,1.0,0.0,1.0,75.0
SFMBT2,1.0,1.0,0.0,1.0,75.0
SESN3,1.0,1.0,0.0,1.0,75.0
SERF2,1.0,1.0,0.0,1.0,75.0
SASH1,1.0,1.0,1.0,0.0,75.0
SARAF,1.0,1.0,1.0,0.0,75.0
RPS9,1.0,1.0,1.0,0.0,75.0
RPL28,1.0,1.0,0.0,1.0,75.0
RNF180,0.0,1.0,1.0,1.0,75.0
RAP2A,1.0,1.0,1.0,0.0,75.0
RAF1,1.0,1.0,0.0,1.0,75.0
PSAP,1.0,0.0,1.0,1.0,75.0
PPP1R10,1.0,1.0,1.0,0.0,75.0
PLEKHF2,1.0,0.0,1.0,1.0,75.0
MAFG,0.0,1.0,1.0,1.0,75.0
ABCA1,1.0,1.0,0.0,1.0,75.0
G2E3,1.0,1.0,1.0,0.0,75.0
CCDC186,1.0,1.0,1.0,0.0,75.0
DDX46,1.0,1.0,1.0,0.0,75.0
ID2,0.0,1.0,1.0,1.0,75.0
HERC3,1.0,0.0,1.0,1.0,75.0
FHIT,1.0,1.0,1.0,0.0,75.0
DGKH,1.0,0.0,1.0,1.0,75.0
ITM2B,1.0,1.0,1.0,0.0,75.0
CD74,1.0,0.0,1.0,1.0,75.0
KIF26B,1.0,1.0,0.0,1.0,75.0
CD164,1.0,0.0,1.0,1.0,75.0
HHEX,1.0,0.0,1.0,1.0,75.0
DUSP1,1.0,1.0,1.0,0.0,75.0
GOLIM4,1.0,0.0,1.0,1.0,75.0
CCDC93,1.0,1.0,1.0,0.0,75.0
BNIP2,1.0,1.0,1.0,0.0,75.0
GAB1,1.0,1.0,0.0,1.0,75.0
GNPDA1,0.0,1.0,1.0,1.0,75.0
ANP32A,1.0,0.0,1.0,1.0,75.0
AP2B1,1.0,1.0,1.0,0.0,75.0
FAM149A,1.0,1.0,0.0,1.0,75.0
CAMTA2,1.0,1.0,1.0,0.0,75.0
RMND5A,1.0,0.0,0.0,1.0,50.0
RPSA,1.0,0.0,0.0,1.0,50.0
SATB2,0.0,1.0,0.0,1.0,50.0
RALGAPA2,1.0,0.0,0.0,1.0,50.0
SAMD4A,1.0,1.0,0.0,0.0,50.0
RPS19,1.0,0.0,1.0,0.0,50.0
DHX35,0.0,1.0,1.0,0.0,50.0
RNF185,0.0,1.0,1.0,0.0,50.0
RAP2B,1.0,0.0,0.0,1.0,50.0
DLST,0.0,1.0,0.0,1.0,50.0
RAPGEF1,1.0,0.0,0.0,1.0,50.0
LNX2,1.0,0.0,0.0,1.0,50.0
RELB,0.0,1.0,1.0,0.0,50.0
EFCAB13,1.0,0.0,0.0,1.0,50.0
SDCBP,1.0,0.0,0.0,1.0,50.0
LPAR5,1.0,0.0,0.0,1.0,50.0
CYP27A1,1.0,0.0,0.0,1.0,50.0
TSNARE1,0.0,1.0,1.0,0.0,50.0
AGAP1,1.0,0.0,0.0,1.0,50.0
ARHGAP24,0.0,0.0,1.0,1.0,50.0
ARID4A,1.0,0.0,0.0,1.0,50.0
ZFAND5,0.0,1.0,0.0,1.0,50.0
ARL1,0.0,1.0,0.0,1.0,50.0
ATG7,1.0,0.0,1.0,0.0,50.0
ATP1A1,0.0,1.0,1.0,0.0,50.0
WIPF3,1.0,0.0,0.0,1.0,50.0
UBAP2L,1.0,1.0,0.0,0.0,50.0
TXNIP,1.0,0.0,0.0,1.0,50.0
CD46,1.0,1.0,0.0,0.0,50.0
CYB561A3,1.0,0.0,0.0,1.0,50.0
TANGO2,0.0,0.0,1.0,1.0,50.0
CEBPA,1.0,0.0,0.0,1.0,50.0
STK4,0.0,1.0,1.0,0.0,50.0
CEBPD,1.0,1.0,0.0,0.0,50.0
SRL,0.0,1.0,1.0,0.0,50.0
SPP1,1.0,0.0,1.0,0.0,50.0
SP3,1.0,1.0,0.0,0.0,50.0
CFLAR,1.0,0.0,0.0,1.0,50.0
SLC15A3,0.0,1.0,1.0,0.0,50.0
CTSZ,1.0,0.0,1.0,0.0,50.0
SORBS3,1.0,1.0,0.0,0.0,50.0
DOC2A,1.0,1.0,0.0,0.0,50.0
IRAK1,0.0,1.0,1.0,0.0,50.0
P2RX7,1.0,1.0,0.0,0.0,50.0
GRN,0.0,1.0,1.0,0.0,50.0
OSTM1,1.0,0.0,0.0,1.0,50.0
PECAM1,1.0,0.0,1.0,0.0,50.0
KIF5B,0.0,1.0,1.0,0.0,50.0
HIF3A,1.0,0.0,1.0,0.0,50.0
HPS3,0.0,1.0,1.0,0.0,50.0
LAMP1,0.0,1.0,1.0,0.0,50.0
PIK3CA,1.0,0.0,0.0,1.0,50.0
PILRA,1.0,0.0,1.0,0.0,50.0
NOTCH2,1.0,0.0,0.0,1.0,50.0
GTPBP1,1.0,0.0,0.0,1.0,50.0
IRF2BPL,1.0,1.0,0.0,0.0,50.0
PLXNC1,1.0,1.0,0.0,0.0,50.0
MECOM,1.0,1.0,0.0,0.0,50.0
MCFD2,1.0,0.0,0.0,1.0,50.0
GAB3,1.0,0.0,0.0,1.0,50.0
TLN1,0.0,0.0,1.0,0.0,25.0
TRIM14,0.0,0.0,1.0,0.0,25.0
TTC33,0.0,1.0,0.0,0.0,25.0
NDUFS7,0.0,0.0,0.0,1.0,25.0
MYO1E,0.0,1.0,0.0,0.0,25.0
ITGB2,1.0,0.0,0.0,0.0,25.0
CD9,0.0,0.0,1.0,0.0,25.0
NAA16,0.0,0.0,1.0,0.0,25.0
SYNGR2,1.0,0.0,0.0,0.0,25.0
IVNS1ABP,0.0,0.0,0.0,1.0,25.0
ITPK1,0.0,0.0,1.0,0.0,25.0
CD4,1.0,0.0,0.0,0.0,25.0
CD81,0.0,0.0,0.0,1.0,25.0
CD5,0.0,0.0,0.0,1.0,25.0
CD68,0.0,1.0,0.0,0.0,25.0
NACA,1.0,0.0,0.0,0.0,25.0
FOXP1,1.0,0.0,0.0,0.0,25.0
TTLL7,0.0,0.0,0.0,1.0,25.0
WDR82,1.0,0.0,0.0,0.0,25.0
LRRK2,0.0,0.0,0.0,1.0,25.0
ALOX12-AS1,0.0,1.0,0.0,0.0,25.0
LRSAM1,0.0,0.0,0.0,1.0,25.0
LTA4H,1.0,0.0,0.0,0.0,25.0
LTC4S,1.0,0.0,0.0,0.0,25.0
LINC00968,0.0,0.0,0.0,1.0,25.0
MED13L,0.0,0.0,0.0,1.0,25.0
LDB1,1.0,0.0,0.0,0.0,25.0
LAPTM5,1.0,0.0,0.0,0.0,25.0
LAMTOR1,0.0,0.0,1.0,0.0,25.0
MYO1D,0.0,1.0,0.0,0.0,25.0
VPS26A,0.0,1.0,0.0,0.0,25.0
BRK1,0.0,0.0,0.0,1.0,25.0
USP8,0.0,1.0,0.0,0.0,25.0
UFM1,1.0,0.0,0.0,0.0,25.0
UFL1,0.0,1.0,0.0,0.0,25.0
CBX7,0.0,1.0,0.0,0.0,25.0
KLHL24,0.0,0.0,0.0,1.0,25.0
MTHFR,0.0,1.0,0.0,0.0,25.0
IFNAR1,1.0,0.0,0.0,0.0,25.0
TYROBP,1.0,0.0,0.0,0.0,25.0
NFKBIA,0.0,1.0,0.0,0.0,25.0
SPOPL,0.0,0.0,0.0,1.0,25.0
RGS1,0.0,1.0,0.0,0.0,25.0
RPL3,0.0,0.0,0.0,1.0,25.0
DIRC3,1.0,0.0,0.0,0.0,25.0
RPL13A,0.0,0.0,1.0,0.0,25.0
GPSM3,0.0,0.0,1.0,0.0,25.0
RNF13,1.0,0.0,0.0,0.0,25.0
PLA2G7,0.0,1.0,0.0,0.0,25.0
PLXDC2,0.0,0.0,1.0,0.0,25.0
