,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
MED28,1.0,1.0,1.0,1.0,100.0
KLHL8,1.0,1.0,1.0,1.0,100.0
LITAF,1.0,1.0,1.0,1.0,100.0
LINC01001,1.0,1.0,1.0,1.0,100.0
LDHA,1.0,1.0,1.0,1.0,100.0
LCP2,1.0,1.0,1.0,1.0,100.0
LAPTM5,1.0,1.0,1.0,1.0,100.0
LAIR1,1.0,1.0,1.0,1.0,100.0
KRR1,1.0,1.0,1.0,1.0,100.0
KLHL6,1.0,1.0,1.0,1.0,100.0
HRH2,1.0,1.0,1.0,1.0,100.0
KHDRBS1,1.0,1.0,1.0,1.0,100.0
ITM2B,1.0,1.0,1.0,1.0,100.0
ITGB2,1.0,1.0,1.0,1.0,100.0
ITGA4,1.0,1.0,1.0,1.0,100.0
ITFG2,1.0,1.0,1.0,1.0,100.0
IRAK1,1.0,1.0,1.0,1.0,100.0
IL7,1.0,1.0,1.0,1.0,100.0
LTC4S,1.0,1.0,1.0,1.0,100.0
MAFG,1.0,1.0,1.0,1.0,100.0
MCPH1,1.0,1.0,1.0,1.0,100.0
MGAT1,1.0,1.0,1.0,1.0,100.0
OSCAR,1.0,1.0,1.0,1.0,100.0
NUP188,1.0,1.0,1.0,1.0,100.0
NINJ1,1.0,1.0,1.0,1.0,100.0
NFKBID,1.0,1.0,1.0,1.0,100.0
NEK6,1.0,1.0,1.0,1.0,100.0
NCL,1.0,1.0,1.0,1.0,100.0
NCK2,1.0,1.0,1.0,1.0,100.0
NACA,1.0,1.0,1.0,1.0,100.0
NAA50,1.0,1.0,1.0,1.0,100.0
MYL6,1.0,1.0,1.0,1.0,100.0
MYL12A,1.0,1.0,1.0,1.0,100.0
MYDGF,1.0,1.0,1.0,1.0,100.0
MTMR4,1.0,1.0,1.0,1.0,100.0
MRPS18B,1.0,1.0,1.0,1.0,100.0
MKNK1,1.0,1.0,1.0,1.0,100.0
HSPH1,1.0,1.0,1.0,1.0,100.0
HNRNPF,1.0,1.0,1.0,1.0,100.0
PAQR3,1.0,1.0,1.0,1.0,100.0
EIF5,1.0,1.0,1.0,1.0,100.0
FCGBP,1.0,1.0,1.0,1.0,100.0
FBXO34,1.0,1.0,1.0,1.0,100.0
FAM177B,1.0,1.0,1.0,1.0,100.0
FAM173A,1.0,1.0,1.0,1.0,100.0
ERP29,1.0,1.0,1.0,1.0,100.0
ERO1A,1.0,1.0,1.0,1.0,100.0
ELOVL1,1.0,1.0,1.0,1.0,100.0
EIF4A1,1.0,1.0,1.0,1.0,100.0
HLA-DPA1,1.0,1.0,1.0,1.0,100.0
EIF3A,1.0,1.0,1.0,1.0,100.0
EIF1,1.0,1.0,1.0,1.0,100.0
EEF2,1.0,1.0,1.0,1.0,100.0
EEF1B2,1.0,1.0,1.0,1.0,100.0
E2F3,1.0,1.0,1.0,1.0,100.0
DSE,1.0,1.0,1.0,1.0,100.0
DRAM2,1.0,1.0,1.0,1.0,100.0
FCGR3A,1.0,1.0,1.0,1.0,100.0
FGF13,1.0,1.0,1.0,1.0,100.0
FIS1,1.0,1.0,1.0,1.0,100.0
FXYD5,1.0,1.0,1.0,1.0,100.0
HINT3,1.0,1.0,1.0,1.0,100.0
HERPUD1,1.0,1.0,1.0,1.0,100.0
HCLS1,1.0,1.0,1.0,1.0,100.0
HCK,1.0,1.0,1.0,1.0,100.0
H3F3B,1.0,1.0,1.0,1.0,100.0
GUK1,1.0,1.0,1.0,1.0,100.0
GRB2,1.0,1.0,1.0,1.0,100.0
GPSM3,1.0,1.0,1.0,1.0,100.0
GPR84,1.0,1.0,1.0,1.0,100.0
GOLPH3,1.0,1.0,1.0,1.0,100.0
GNPDA1,1.0,1.0,1.0,1.0,100.0
GNAS,1.0,1.0,1.0,1.0,100.0
GLYR1,1.0,1.0,1.0,1.0,100.0
GLUD1,1.0,1.0,1.0,1.0,100.0
GAL3ST4,1.0,1.0,1.0,1.0,100.0
OSM,1.0,1.0,1.0,1.0,100.0
PARVB,1.0,1.0,1.0,1.0,100.0
DOK3,1.0,1.0,1.0,1.0,100.0
SNHG8,1.0,1.0,1.0,1.0,100.0
SYF2,1.0,1.0,1.0,1.0,100.0
STEAP3,1.0,1.0,1.0,1.0,100.0
STARD4-AS1,1.0,1.0,1.0,1.0,100.0
SSR3,1.0,1.0,1.0,1.0,100.0
SRSF7,1.0,1.0,1.0,1.0,100.0
SRGAP1,1.0,1.0,1.0,1.0,100.0
SRFBP1,1.0,1.0,1.0,1.0,100.0
SNHG15,1.0,1.0,1.0,1.0,100.0
SERF2,1.0,1.0,1.0,1.0,100.0
SLCO2B1,1.0,1.0,1.0,1.0,100.0
SLC31A1,1.0,1.0,1.0,1.0,100.0
SLC16A3,1.0,1.0,1.0,1.0,100.0
SKIL,1.0,1.0,1.0,1.0,100.0
SIRT6,1.0,1.0,1.0,1.0,100.0
SH3BP2,1.0,1.0,1.0,1.0,100.0
SF1,1.0,1.0,1.0,1.0,100.0
TAF12,1.0,1.0,1.0,1.0,100.0
TAF7,1.0,1.0,1.0,1.0,100.0
TCHP,1.0,1.0,1.0,1.0,100.0
THRAP3,1.0,1.0,1.0,1.0,100.0
ZDHHC5,1.0,1.0,1.0,1.0,100.0
YWHAB,1.0,1.0,1.0,1.0,100.0
WRB,1.0,1.0,1.0,1.0,100.0
WNT5A,1.0,1.0,1.0,1.0,100.0
UBE4A,1.0,1.0,1.0,1.0,100.0
TYROBP,1.0,1.0,1.0,1.0,100.0
TTN,1.0,1.0,1.0,1.0,100.0
TRIB1,1.0,1.0,1.0,1.0,100.0
TREM2,1.0,1.0,1.0,1.0,100.0
TPT1,1.0,1.0,1.0,1.0,100.0
TOLLIP,1.0,1.0,1.0,1.0,100.0
TMSB10,1.0,1.0,1.0,1.0,100.0
TMEM230,1.0,1.0,1.0,1.0,100.0
TMEM167B,1.0,1.0,1.0,1.0,100.0
TMBIM6,1.0,1.0,1.0,1.0,100.0
SERPING1,1.0,1.0,1.0,1.0,100.0
SDF4,1.0,1.0,1.0,1.0,100.0
PDE4A,1.0,1.0,1.0,1.0,100.0
PSMC4,1.0,1.0,1.0,1.0,100.0
RB1,1.0,1.0,1.0,1.0,100.0
RAB27A,1.0,1.0,1.0,1.0,100.0
PXN,1.0,1.0,1.0,1.0,100.0
PVT1,1.0,1.0,1.0,1.0,100.0
PTPN22,1.0,1.0,1.0,1.0,100.0
PTPN2,1.0,1.0,1.0,1.0,100.0
PTAFR,1.0,1.0,1.0,1.0,100.0
PSMA4,1.0,1.0,1.0,1.0,100.0
RPS9,1.0,1.0,1.0,1.0,100.0
PSAP,1.0,1.0,1.0,1.0,100.0
PPP4R1,1.0,1.0,1.0,1.0,100.0
PPIB,1.0,1.0,1.0,1.0,100.0
PPARD,1.0,1.0,1.0,1.0,100.0
PMVK,1.0,1.0,1.0,1.0,100.0
PIK3C2A,1.0,1.0,1.0,1.0,100.0
PDIA6,1.0,1.0,1.0,1.0,100.0
REEP3,1.0,1.0,1.0,1.0,100.0
RFC2,1.0,1.0,1.0,1.0,100.0
RGL2,1.0,1.0,1.0,1.0,100.0
RHOG,1.0,1.0,1.0,1.0,100.0
RPS3,1.0,1.0,1.0,1.0,100.0
RPS19,1.0,1.0,1.0,1.0,100.0
RPS16,1.0,1.0,1.0,1.0,100.0
RPS11,1.0,1.0,1.0,1.0,100.0
RPL8,1.0,1.0,1.0,1.0,100.0
RPL6,1.0,1.0,1.0,1.0,100.0
RPL41,1.0,1.0,1.0,1.0,100.0
RPL27,1.0,1.0,1.0,1.0,100.0
RPL21,1.0,1.0,1.0,1.0,100.0
RPL18,1.0,1.0,1.0,1.0,100.0
RPL15,1.0,1.0,1.0,1.0,100.0
RPL10,1.0,1.0,1.0,1.0,100.0
RNPS1,1.0,1.0,1.0,1.0,100.0
RNH1,1.0,1.0,1.0,1.0,100.0
RNF7,1.0,1.0,1.0,1.0,100.0
DRAM1,1.0,1.0,1.0,1.0,100.0
ZYX,1.0,1.0,1.0,1.0,100.0
CD68,1.0,1.0,1.0,1.0,100.0
BIN2,1.0,1.0,1.0,1.0,100.0
CD63,1.0,1.0,1.0,1.0,100.0
ARMCX3,1.0,1.0,1.0,1.0,100.0
AMBRA1,1.0,1.0,1.0,1.0,100.0
BNIP2,1.0,1.0,1.0,1.0,100.0
BROX,1.0,1.0,1.0,1.0,100.0
DAD1,1.0,1.0,1.0,1.0,100.0
ALOX5AP,1.0,1.0,1.0,1.0,100.0
BTG1,1.0,1.0,1.0,1.0,100.0
CHCHD7,1.0,1.0,1.0,1.0,100.0
C12orf40,1.0,1.0,1.0,1.0,100.0
CD164,1.0,1.0,1.0,1.0,100.0
DDX21,1.0,1.0,1.0,1.0,100.0
ARHGDIA,1.0,1.0,1.0,1.0,100.0
DDX3X,1.0,1.0,1.0,1.0,100.0
DDX5,1.0,1.0,1.0,1.0,100.0
CYTL1,1.0,1.0,1.0,1.0,100.0
CD74,1.0,1.0,1.0,1.0,100.0
