,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
MYRIP,1.0,1.0,1.0,1.0,100.0
HGF,1.0,1.0,1.0,1.0,100.0
MGAT1,1.0,1.0,1.0,1.0,100.0
MIS18BP1,1.0,1.0,1.0,1.0,100.0
MNDA,1.0,1.0,1.0,1.0,100.0
MTUS1,1.0,1.0,1.0,1.0,100.0
N4BP2L2,1.0,1.0,1.0,1.0,100.0
NEAT1,1.0,1.0,1.0,1.0,100.0
NFKBIA,1.0,1.0,1.0,1.0,100.0
NR4A2,1.0,1.0,1.0,1.0,100.0
ORMDL1,1.0,1.0,1.0,1.0,100.0
PAPOLG,1.0,1.0,1.0,1.0,100.0
PAQR3,1.0,1.0,1.0,1.0,100.0
PCMTD1,1.0,1.0,1.0,1.0,100.0
PDCD4,1.0,1.0,1.0,1.0,100.0
PDE4B,1.0,1.0,1.0,1.0,100.0
PDE4DIP,1.0,1.0,1.0,1.0,100.0
PDK4,1.0,1.0,1.0,1.0,100.0
PECAM1,1.0,1.0,1.0,1.0,100.0
PELI1,1.0,1.0,1.0,1.0,100.0
PIK3CA,1.0,1.0,1.0,1.0,100.0
PKN1,1.0,1.0,1.0,1.0,100.0
PKN2,1.0,1.0,1.0,1.0,100.0
PLD4,1.0,1.0,1.0,1.0,100.0
PLSCR1,1.0,1.0,1.0,1.0,100.0
METTL7A,1.0,1.0,1.0,1.0,100.0
MBNL2,1.0,1.0,1.0,1.0,100.0
MAT2A,1.0,1.0,1.0,1.0,100.0
IQGAP2,1.0,1.0,1.0,1.0,100.0
HLA-A,1.0,1.0,1.0,1.0,100.0
HLA-B,1.0,1.0,1.0,1.0,100.0
HLA-DRA,1.0,1.0,1.0,1.0,100.0
HMGB1,1.0,1.0,1.0,1.0,100.0
HMGN3,1.0,1.0,1.0,1.0,100.0
HNRNPH1,1.0,1.0,1.0,1.0,100.0
IER3,1.0,1.0,1.0,1.0,100.0
IGSF6,1.0,1.0,1.0,1.0,100.0
IL16,1.0,1.0,1.0,1.0,100.0
INSR,1.0,1.0,1.0,1.0,100.0
IRF7,1.0,1.0,1.0,1.0,100.0
MARCKS,1.0,1.0,1.0,1.0,100.0
ITM2B,1.0,1.0,1.0,1.0,100.0
KDM7A,1.0,1.0,1.0,1.0,100.0
KLHL21,1.0,1.0,1.0,1.0,100.0
KLHL24,1.0,1.0,1.0,1.0,100.0
KLHL6,1.0,1.0,1.0,1.0,100.0
LITAF,1.0,1.0,1.0,1.0,100.0
LRP4,1.0,1.0,1.0,1.0,100.0
MAK,1.0,1.0,1.0,1.0,100.0
MANBA,1.0,1.0,1.0,1.0,100.0
MAP3K8,1.0,1.0,1.0,1.0,100.0
PNRC1,1.0,1.0,1.0,1.0,100.0
PRDM1,1.0,1.0,1.0,1.0,100.0
PRKAG2,1.0,1.0,1.0,1.0,100.0
TNFAIP3,1.0,1.0,1.0,1.0,100.0
SPON1,1.0,1.0,1.0,1.0,100.0
SPRY1,1.0,1.0,1.0,1.0,100.0
SPSB3,1.0,1.0,1.0,1.0,100.0
SRGN,1.0,1.0,1.0,1.0,100.0
SSBP2,1.0,1.0,1.0,1.0,100.0
STAT6,1.0,1.0,1.0,1.0,100.0
STRADB,1.0,1.0,1.0,1.0,100.0
THEMIS2,1.0,1.0,1.0,1.0,100.0
TLR5,1.0,1.0,1.0,1.0,100.0
TMSB10,1.0,1.0,1.0,1.0,100.0
TNFRSF14,1.0,1.0,1.0,1.0,100.0
SMAP2,1.0,1.0,1.0,1.0,100.0
TSC22D3,1.0,1.0,1.0,1.0,100.0
TXNDC16,1.0,1.0,1.0,1.0,100.0
TXNIP,1.0,1.0,1.0,1.0,100.0
TXNRD1,1.0,1.0,1.0,1.0,100.0
TYROBP,1.0,1.0,1.0,1.0,100.0
UBB,1.0,1.0,1.0,1.0,100.0
UBR5-AS1,1.0,1.0,1.0,1.0,100.0
VMP1,1.0,1.0,1.0,1.0,100.0
YPEL3,1.0,1.0,1.0,1.0,100.0
ZBTB16,1.0,1.0,1.0,1.0,100.0
SORBS3,1.0,1.0,1.0,1.0,100.0
SLC40A1,1.0,1.0,1.0,1.0,100.0
PRKCQ,1.0,1.0,1.0,1.0,100.0
RPL29,1.0,1.0,1.0,1.0,100.0
PRKRA,1.0,1.0,1.0,1.0,100.0
RAB11A,1.0,1.0,1.0,1.0,100.0
REL,1.0,1.0,1.0,1.0,100.0
RELT,1.0,1.0,1.0,1.0,100.0
RGS1,1.0,1.0,1.0,1.0,100.0
RICTOR,1.0,1.0,1.0,1.0,100.0
RNASE6,1.0,1.0,1.0,1.0,100.0
RNF145,1.0,1.0,1.0,1.0,100.0
RPL11,1.0,1.0,1.0,1.0,100.0
RPL27,1.0,1.0,1.0,1.0,100.0
RPL8,1.0,1.0,1.0,1.0,100.0
SLC38A9,1.0,1.0,1.0,1.0,100.0
RPSA,1.0,1.0,1.0,1.0,100.0
RSRP1,1.0,1.0,1.0,1.0,100.0
SAP25,1.0,1.0,1.0,1.0,100.0
SAP30,1.0,1.0,1.0,1.0,100.0
SAT1,1.0,1.0,1.0,1.0,100.0
SBF2,1.0,1.0,1.0,1.0,100.0
SDCBP,1.0,1.0,1.0,1.0,100.0
SEC14L1,1.0,1.0,1.0,1.0,100.0
SERPINE1,1.0,1.0,1.0,1.0,100.0
SF1,1.0,1.0,1.0,1.0,100.0
HIF1A,1.0,1.0,1.0,1.0,100.0
ZNF630,1.0,1.0,1.0,1.0,100.0
ERI2,1.0,1.0,1.0,1.0,100.0
DPP4,1.0,1.0,1.0,1.0,100.0
DLEU7,1.0,1.0,1.0,1.0,100.0
DNAJB6,1.0,1.0,1.0,1.0,100.0
CD37,1.0,1.0,1.0,1.0,100.0
CD300LF,1.0,1.0,1.0,1.0,100.0
CCNO,1.0,1.0,1.0,1.0,100.0
CCNL1,1.0,1.0,1.0,1.0,100.0
CCND3,1.0,1.0,1.0,1.0,100.0
DUSP1,1.0,1.0,1.0,1.0,100.0
CD74,1.0,1.0,1.0,1.0,100.0
CCL5,1.0,1.0,1.0,1.0,100.0
DUSP16,1.0,1.0,1.0,1.0,100.0
CBX3,1.0,1.0,1.0,1.0,100.0
CARD8,1.0,1.0,1.0,1.0,100.0
EPAS1,1.0,1.0,1.0,1.0,100.0
COX5B,1.0,1.0,1.0,1.0,100.0
FAM111A,1.0,1.0,1.0,1.0,100.0
DEPTOR,1.0,1.0,1.0,1.0,100.0
CD86,1.0,1.0,1.0,1.0,100.0
C2CD2,1.0,1.0,1.0,1.0,100.0
CSGALNACT1,1.0,1.0,1.0,1.0,100.0
CLEC1A,1.0,1.0,1.0,1.0,100.0
CREBL2,1.0,1.0,1.0,1.0,100.0
CELF2,1.0,1.0,1.0,1.0,100.0
CREBRF,1.0,1.0,1.0,1.0,100.0
CREG1,1.0,1.0,1.0,1.0,100.0
CRIM1,1.0,1.0,1.0,1.0,100.0
CSF3R,1.0,1.0,1.0,1.0,100.0
CEBPD,1.0,1.0,1.0,1.0,100.0
DDIT4,1.0,1.0,1.0,1.0,100.0
CDKN1B,1.0,1.0,1.0,1.0,100.0
CTSH,1.0,1.0,1.0,1.0,100.0
CTSL,1.0,1.0,1.0,1.0,100.0
CXCL12,1.0,1.0,1.0,1.0,100.0
CXCR4,1.0,1.0,1.0,1.0,100.0
CYP27A1,1.0,1.0,1.0,1.0,100.0
