,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
SOCS6,1.0,1.0,1.0,1.0,100.0
RASSF3,1.0,1.0,1.0,1.0,100.0
TGS1,1.0,0.0,1.0,1.0,75.0
TRPC3,1.0,0.0,1.0,1.0,75.0
PDCD4,1.0,0.0,1.0,1.0,75.0
OTUD4,0.0,1.0,1.0,1.0,75.0
NFKB1,1.0,0.0,1.0,1.0,75.0
MPP1,0.0,1.0,1.0,1.0,75.0
LSM8,0.0,1.0,1.0,1.0,75.0
SLC1A4,1.0,0.0,1.0,1.0,75.0
RPS20,0.0,1.0,1.0,1.0,75.0
EXTL3,1.0,0.0,1.0,1.0,75.0
RPL13A,1.0,1.0,0.0,1.0,75.0
DBI,0.0,1.0,1.0,1.0,75.0
RPS4X,0.0,1.0,1.0,1.0,75.0
RPS14,0.0,1.0,1.0,1.0,75.0
CASC4,0.0,1.0,1.0,1.0,75.0
CFLAR,0.0,1.0,1.0,1.0,75.0
AP1G1,1.0,0.0,1.0,1.0,75.0
RPL28,0.0,1.0,1.0,1.0,75.0
TXNRD1,1.0,1.0,0.0,0.0,50.0
SNX24,1.0,0.0,0.0,1.0,50.0
RASGEF1B,1.0,0.0,0.0,1.0,50.0
PTRH2,0.0,0.0,1.0,1.0,50.0
C8orf59,0.0,0.0,1.0,1.0,50.0
SEC24C,0.0,0.0,1.0,1.0,50.0
KPNA1,0.0,0.0,1.0,1.0,50.0
LONP1,0.0,1.0,0.0,1.0,50.0
XRCC4,0.0,0.0,1.0,1.0,50.0
MIATNB,0.0,0.0,1.0,1.0,50.0
CLIC4,1.0,0.0,0.0,1.0,50.0
PRPF4B,1.0,0.0,0.0,1.0,50.0
RRBP1,1.0,0.0,0.0,1.0,50.0
PAPOLA,0.0,0.0,1.0,1.0,50.0
RPL8,0.0,0.0,1.0,1.0,50.0
PDLIM5,0.0,0.0,1.0,1.0,50.0
PEX2,0.0,0.0,1.0,1.0,50.0
RPS7,0.0,0.0,1.0,1.0,50.0
RPS6,0.0,0.0,1.0,1.0,50.0
RPL29,0.0,0.0,1.0,1.0,50.0
RPS19,0.0,0.0,1.0,1.0,50.0
HNRNPH3,1.0,0.0,0.0,1.0,50.0
CENPJ,0.0,0.0,1.0,1.0,50.0
RPL27A,0.0,0.0,1.0,1.0,50.0
CHSY3,0.0,0.0,1.0,1.0,50.0
COL4A3BP,0.0,0.0,1.0,1.0,50.0
CSTF3,0.0,0.0,1.0,1.0,50.0
CWC15,0.0,1.0,0.0,1.0,50.0
RPL27,0.0,0.0,1.0,1.0,50.0
DNAJC3,1.0,0.0,0.0,1.0,50.0
EIF2S2,0.0,0.0,1.0,1.0,50.0
STAT1,0.0,0.0,1.0,1.0,50.0
EIF4G1,1.0,0.0,0.0,1.0,50.0
TMEM248,0.0,1.0,0.0,1.0,50.0
RPL13,0.0,0.0,1.0,1.0,50.0
FAM210A,0.0,0.0,1.0,1.0,50.0
PNRC1,0.0,1.0,0.0,1.0,50.0
TENM4,1.0,0.0,0.0,1.0,50.0
FMNL2,1.0,0.0,0.0,1.0,50.0
RP2,0.0,0.0,1.0,1.0,50.0
RPL6,0.0,0.0,1.0,1.0,50.0
RPLP1,0.0,0.0,0.0,1.0,25.0
RPS16,0.0,0.0,0.0,1.0,25.0
RPS24,0.0,0.0,0.0,1.0,25.0
RPS15,0.0,0.0,0.0,1.0,25.0
RPS18,0.0,0.0,0.0,1.0,25.0
ACTR1A,1.0,0.0,0.0,0.0,25.0
RPS5,0.0,0.0,0.0,1.0,25.0
RPS8,0.0,0.0,1.0,0.0,25.0
ZNF281,0.0,0.0,0.0,1.0,25.0
ZDHHC2,1.0,0.0,0.0,0.0,25.0
WIPF3,1.0,0.0,0.0,0.0,25.0
WDR33,1.0,0.0,0.0,0.0,25.0
VIM,0.0,0.0,0.0,1.0,25.0
UBE2G2,0.0,0.0,0.0,1.0,25.0
TXNDC15,1.0,0.0,0.0,0.0,25.0
TMSB4X,0.0,0.0,0.0,1.0,25.0
TMEM30A,0.0,0.0,1.0,0.0,25.0
TMEM263,0.0,0.0,0.0,1.0,25.0
THOC3,0.0,0.0,1.0,0.0,25.0
TARS,0.0,0.0,0.0,1.0,25.0
TAF1B,0.0,0.0,1.0,0.0,25.0
SRSF2,1.0,0.0,0.0,0.0,25.0
SPEN,0.0,0.0,0.0,1.0,25.0
RPL7,1.0,0.0,0.0,0.0,25.0
SMAD7,0.0,0.0,0.0,1.0,25.0
SLC39A10,0.0,0.0,0.0,1.0,25.0
SCFD2,0.0,0.0,0.0,1.0,25.0
SMC4,1.0,0.0,0.0,0.0,25.0
PRIM1,1.0,0.0,0.0,0.0,25.0
RPL5,0.0,0.0,0.0,1.0,25.0
DNAJC21,1.0,0.0,0.0,0.0,25.0
HLA-DQB1,0.0,1.0,0.0,0.0,25.0
GTF2IRD1,1.0,0.0,0.0,0.0,25.0
GPATCH2L,0.0,0.0,1.0,0.0,25.0
FEZ2,0.0,0.0,0.0,1.0,25.0
FASTK,1.0,0.0,0.0,0.0,25.0
ELF1,1.0,0.0,0.0,0.0,25.0
EIF5,1.0,0.0,0.0,0.0,25.0
EIF4H,1.0,0.0,0.0,0.0,25.0
EEF2,1.0,0.0,0.0,0.0,25.0
CMPK1,1.0,0.0,0.0,0.0,25.0
RPL36,0.0,0.0,0.0,1.0,25.0
CLK4,1.0,0.0,0.0,0.0,25.0
CIRBP,1.0,0.0,0.0,0.0,25.0
CDC42EP3,0.0,0.0,0.0,1.0,25.0
CCDC174,1.0,0.0,0.0,0.0,25.0
CAPN7,0.0,0.0,0.0,1.0,25.0
BET1,1.0,0.0,0.0,0.0,25.0
ARL5B,0.0,0.0,1.0,0.0,25.0
ARF4,0.0,0.0,1.0,0.0,25.0
ANO6,0.0,0.0,1.0,0.0,25.0
HPS1,0.0,0.0,1.0,0.0,25.0
HS6ST1,0.0,0.0,1.0,0.0,25.0
HSPA8,0.0,0.0,0.0,1.0,25.0
HSPH1,0.0,0.0,1.0,0.0,25.0
RPL32,0.0,0.0,0.0,1.0,25.0
RPL3,0.0,0.0,0.0,1.0,25.0
RPL21,0.0,0.0,1.0,0.0,25.0
RNF141,0.0,0.0,0.0,1.0,25.0
RBCK1,0.0,0.0,1.0,0.0,25.0
PSMD14,0.0,0.0,1.0,0.0,25.0
ADD1,1.0,0.0,0.0,0.0,25.0
POLM,1.0,0.0,0.0,0.0,25.0
PNN,0.0,1.0,0.0,0.0,25.0
PLEKHF2,0.0,0.0,0.0,1.0,25.0
PFN1,0.0,0.0,1.0,0.0,25.0
PDCD11,0.0,0.0,1.0,0.0,25.0
NFYC,0.0,0.0,0.0,1.0,25.0
NACA,0.0,1.0,0.0,0.0,25.0
KNTC1,0.0,0.0,0.0,1.0,25.0
KMT5B,1.0,0.0,0.0,0.0,25.0
KCTD12,0.0,0.0,1.0,0.0,25.0
ITGA5,0.0,0.0,0.0,1.0,25.0
INTS4,0.0,0.0,1.0,0.0,25.0
ZNF384,0.0,0.0,0.0,1.0,25.0
