,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZNF532,1.0,1.0,1.0,1.0,100.0
METTL24,1.0,1.0,1.0,1.0,100.0
TBC1D8,1.0,1.0,1.0,1.0,100.0
TCP11L1,1.0,1.0,1.0,1.0,100.0
ADGRE2,1.0,1.0,1.0,1.0,100.0
MAML3,1.0,1.0,1.0,1.0,100.0
TM7SF3,1.0,1.0,1.0,1.0,100.0
LEPR,1.0,1.0,1.0,1.0,100.0
KMT2E,1.0,1.0,1.0,1.0,100.0
TMEM165,1.0,1.0,1.0,1.0,100.0
KIZ,1.0,1.0,1.0,1.0,100.0
KIF5B,1.0,1.0,1.0,1.0,100.0
KCNMA1,1.0,1.0,1.0,1.0,100.0
ITSN2,1.0,1.0,1.0,1.0,100.0
SMAD2,1.0,1.0,1.0,1.0,100.0
HNRNPF,1.0,1.0,1.0,1.0,100.0
UBE2N,1.0,1.0,1.0,1.0,100.0
MEMO1,1.0,1.0,1.0,1.0,100.0
TBC1D14,1.0,1.0,1.0,1.0,100.0
HERC4,1.0,1.0,1.0,1.0,100.0
MKLN1,1.0,1.0,1.0,1.0,100.0
SGK3,1.0,1.0,1.0,1.0,100.0
SGCZ,1.0,1.0,1.0,1.0,100.0
SNCA,1.0,1.0,1.0,1.0,100.0
SNX19,1.0,1.0,1.0,1.0,100.0
RBPJ,1.0,1.0,1.0,1.0,100.0
RB1CC1,1.0,1.0,1.0,1.0,100.0
PRKAG2,1.0,1.0,1.0,1.0,100.0
SSBP2,1.0,1.0,1.0,1.0,100.0
PELI1,1.0,1.0,1.0,1.0,100.0
PCED1B,1.0,1.0,1.0,1.0,100.0
OTUD4,1.0,1.0,1.0,1.0,100.0
NUFIP2,1.0,1.0,1.0,1.0,100.0
NEK7,1.0,1.0,1.0,1.0,100.0
NCOA5,1.0,1.0,1.0,1.0,100.0
MOB3B,1.0,1.0,1.0,1.0,100.0
HIPK3,1.0,1.0,1.0,1.0,100.0
TPST2,1.0,1.0,1.0,1.0,100.0
HECTD4,1.0,1.0,1.0,1.0,100.0
CAMTA1,1.0,1.0,1.0,1.0,100.0
CRBN,1.0,1.0,1.0,1.0,100.0
ZC3H6,1.0,1.0,1.0,1.0,100.0
CHSY1,1.0,1.0,1.0,1.0,100.0
GPR155,1.0,1.0,1.0,1.0,100.0
CCDC68,1.0,1.0,1.0,1.0,100.0
CAST,1.0,1.0,1.0,1.0,100.0
ZMIZ2,1.0,1.0,1.0,1.0,100.0
CTTNBP2,1.0,1.0,1.0,1.0,100.0
BAZ2B,1.0,1.0,1.0,1.0,100.0
ASXL1,1.0,1.0,1.0,1.0,100.0
ARID2,1.0,1.0,1.0,1.0,100.0
ARHGAP24,1.0,1.0,1.0,1.0,100.0
AGL,1.0,1.0,1.0,1.0,100.0
ADNP,1.0,1.0,1.0,1.0,100.0
CREBRF,1.0,1.0,1.0,1.0,100.0
ZFX,1.0,1.0,1.0,1.0,100.0
CUL1,1.0,1.0,1.0,1.0,100.0
ELF2,1.0,1.0,1.0,1.0,100.0
FOXO1,1.0,1.0,1.0,1.0,100.0
FNDC3A,1.0,1.0,1.0,1.0,100.0
FAM168B,1.0,1.0,1.0,1.0,100.0
EPHB2,1.0,1.0,1.0,1.0,100.0
ELMSAN1,1.0,1.0,1.0,1.0,100.0
ELMO1,1.0,1.0,1.0,1.0,100.0
SLC22A23,1.0,1.0,1.0,1.0,100.0
VOPP1,1.0,1.0,1.0,1.0,100.0
CUX1,1.0,1.0,1.0,1.0,100.0
DICER1,1.0,1.0,1.0,1.0,100.0
RALGPS2,1.0,1.0,1.0,0.0,75.0
SETD1B,1.0,1.0,0.0,1.0,75.0
UBXN2B,1.0,0.0,1.0,1.0,75.0
CELF2,1.0,0.0,1.0,1.0,75.0
PPM1K,1.0,1.0,1.0,0.0,75.0
MED13L,0.0,1.0,1.0,1.0,75.0
EPB41L3,1.0,1.0,1.0,0.0,75.0
AKNA,0.0,0.0,1.0,1.0,50.0
SEC14L1,0.0,0.0,1.0,1.0,50.0
PHYKPL,0.0,0.0,1.0,1.0,50.0
CYP27A1,0.0,0.0,1.0,1.0,50.0
ZNF33B,0.0,0.0,1.0,0.0,25.0
STAM,0.0,0.0,1.0,0.0,25.0
TANK,0.0,0.0,1.0,0.0,25.0
ADAMTS10,0.0,0.0,1.0,0.0,25.0
RNF149,0.0,1.0,0.0,0.0,25.0
IAH1,0.0,0.0,1.0,0.0,25.0
ATF6,0.0,0.0,1.0,0.0,25.0
BMF,0.0,0.0,1.0,0.0,25.0
CHST11,0.0,1.0,0.0,0.0,25.0
CLEC2D,0.0,0.0,1.0,0.0,25.0
DTX2,0.0,0.0,1.0,0.0,25.0
FMNL1,0.0,0.0,1.0,0.0,25.0
HMGN2,0.0,0.0,1.0,0.0,25.0
KLHDC10,0.0,0.0,1.0,0.0,25.0
RNF11,0.0,0.0,1.0,0.0,25.0
LRSAM1,0.0,0.0,1.0,0.0,25.0
MBOAT1,0.0,0.0,1.0,0.0,25.0
MED28,0.0,0.0,1.0,0.0,25.0
METTL8,0.0,0.0,1.0,0.0,25.0
NFATC3,0.0,0.0,1.0,0.0,25.0
PDE4A,0.0,0.0,1.0,0.0,25.0
PPARA,0.0,0.0,1.0,0.0,25.0
MAP4K5,0.0,0.0,1.0,0.0,25.0
