,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ABI3,1.0,1.0,1.0,1.0,100.0
ORC5,1.0,1.0,1.0,1.0,100.0
PRIMPOL,1.0,1.0,1.0,1.0,100.0
PRDX3,1.0,1.0,1.0,1.0,100.0
PPT1,1.0,1.0,1.0,1.0,100.0
PPP3CA,1.0,1.0,1.0,1.0,100.0
PPP2R5A,1.0,1.0,1.0,1.0,100.0
PPP1R10,1.0,1.0,1.0,1.0,100.0
PPCDC,1.0,1.0,1.0,1.0,100.0
PPARG,1.0,1.0,1.0,1.0,100.0
PNPLA8,1.0,1.0,1.0,1.0,100.0
PNN,1.0,1.0,1.0,1.0,100.0
PISD,1.0,1.0,1.0,1.0,100.0
PIK3CG,1.0,1.0,1.0,1.0,100.0
PIAS2,1.0,1.0,1.0,1.0,100.0
PHTF1,1.0,1.0,1.0,1.0,100.0
PGGT1B,1.0,1.0,1.0,1.0,100.0
PEX6,1.0,1.0,1.0,1.0,100.0
PEX2,1.0,1.0,1.0,1.0,100.0
PDE6D,1.0,1.0,1.0,1.0,100.0
PDCD6,1.0,1.0,1.0,1.0,100.0
PCLO,1.0,1.0,1.0,1.0,100.0
PCF11,1.0,1.0,1.0,1.0,100.0
PARVB,1.0,1.0,1.0,1.0,100.0
PARP16,1.0,1.0,1.0,1.0,100.0
PARG,1.0,1.0,1.0,1.0,100.0
PAPOLA,1.0,1.0,1.0,1.0,100.0
PAK1,1.0,1.0,1.0,1.0,100.0
OSBPL6,1.0,1.0,1.0,1.0,100.0
PRKCD,1.0,1.0,1.0,1.0,100.0
PRMT3,1.0,1.0,1.0,1.0,100.0
PRPF38A,1.0,1.0,1.0,1.0,100.0
RBM19,1.0,1.0,1.0,1.0,100.0
RNF138,1.0,1.0,1.0,1.0,100.0
RNF121,1.0,1.0,1.0,1.0,100.0
RNASET2,1.0,1.0,1.0,1.0,100.0
RIOK3,1.0,1.0,1.0,1.0,100.0
RIF1,1.0,1.0,1.0,1.0,100.0
RGP1,1.0,1.0,1.0,1.0,100.0
RFC1,1.0,1.0,1.0,1.0,100.0
REEP3,1.0,1.0,1.0,1.0,100.0
RCC1,1.0,1.0,1.0,1.0,100.0
RCBTB1,1.0,1.0,1.0,1.0,100.0
RCAN3,1.0,1.0,1.0,1.0,100.0
RBM28,1.0,1.0,1.0,1.0,100.0
RBCK1,1.0,1.0,1.0,1.0,100.0
PRPF38B,1.0,1.0,1.0,1.0,100.0
RB1CC1,1.0,1.0,1.0,1.0,100.0
RASGEF1B,1.0,1.0,1.0,1.0,100.0
RAD23A,1.0,1.0,1.0,1.0,100.0
RAB40C,1.0,1.0,1.0,1.0,100.0
RAB39A,1.0,1.0,1.0,1.0,100.0
RAB30-AS1,1.0,1.0,1.0,1.0,100.0
QRFPR,1.0,1.0,1.0,1.0,100.0
PURB,1.0,1.0,1.0,1.0,100.0
PSTPIP1,1.0,1.0,1.0,1.0,100.0
PRRG4,1.0,1.0,1.0,1.0,100.0
PRR14L,1.0,1.0,1.0,1.0,100.0
PRPF8,1.0,1.0,1.0,1.0,100.0
OSBPL3,1.0,1.0,1.0,1.0,100.0
OGDH,1.0,1.0,1.0,1.0,100.0
RNF4,1.0,1.0,1.0,1.0,100.0
OFD1,1.0,1.0,1.0,1.0,100.0
MED15,1.0,1.0,1.0,1.0,100.0
MECP2,1.0,1.0,1.0,1.0,100.0
MCMBP,1.0,1.0,1.0,1.0,100.0
MCM5,1.0,1.0,1.0,1.0,100.0
MCF2L,1.0,1.0,1.0,1.0,100.0
MBOAT1,1.0,1.0,1.0,1.0,100.0
MAP3K4,1.0,1.0,1.0,1.0,100.0
MAP2K4,1.0,1.0,1.0,1.0,100.0
LYSMD3,1.0,1.0,1.0,1.0,100.0
LRRK2,1.0,1.0,1.0,1.0,100.0
LRRC8B,1.0,1.0,1.0,1.0,100.0
LRRC58,1.0,1.0,1.0,1.0,100.0
LRRC37B,1.0,1.0,1.0,1.0,100.0
LPL,1.0,1.0,1.0,1.0,100.0
LMBRD2,1.0,1.0,1.0,1.0,100.0
LINS1,1.0,1.0,1.0,1.0,100.0
LHFPL2,1.0,1.0,1.0,1.0,100.0
LEMD3,1.0,1.0,1.0,1.0,100.0
LCMT1,1.0,1.0,1.0,1.0,100.0
LATS1,1.0,1.0,1.0,1.0,100.0
KRR1,1.0,1.0,1.0,1.0,100.0
KRCC1,1.0,1.0,1.0,1.0,100.0
KLHL20,1.0,1.0,1.0,1.0,100.0
KLHL18,1.0,1.0,1.0,1.0,100.0
KIF2A,1.0,1.0,1.0,1.0,100.0
KIF27,1.0,1.0,1.0,1.0,100.0
KIAA1551,1.0,1.0,1.0,1.0,100.0
METTL15,1.0,1.0,1.0,1.0,100.0
MFN1,1.0,1.0,1.0,1.0,100.0
MFSD4B,1.0,1.0,1.0,1.0,100.0
NABP1,1.0,1.0,1.0,1.0,100.0
NUDCD3,1.0,1.0,1.0,1.0,100.0
NUCB2,1.0,1.0,1.0,1.0,100.0
NSRP1,1.0,1.0,1.0,1.0,100.0
NRF1,1.0,1.0,1.0,1.0,100.0
NR2F2,1.0,1.0,1.0,1.0,100.0
NPM1,1.0,1.0,1.0,1.0,100.0
NORAD,1.0,1.0,1.0,1.0,100.0
NLGN4Y,1.0,1.0,1.0,1.0,100.0
NFKB1,1.0,1.0,1.0,1.0,100.0
NDUFS8,1.0,1.0,1.0,1.0,100.0
NCOA5,1.0,1.0,1.0,1.0,100.0
NCBP1,1.0,1.0,1.0,1.0,100.0
NAA50,1.0,1.0,1.0,1.0,100.0
MFSD8,1.0,1.0,1.0,1.0,100.0
ACBD5,1.0,1.0,1.0,1.0,100.0
MTMR9,1.0,1.0,1.0,1.0,100.0
MTMR8,1.0,1.0,1.0,1.0,100.0
MTIF2,1.0,1.0,1.0,1.0,100.0
MTHFD1,1.0,1.0,1.0,1.0,100.0
MTDH,1.0,1.0,1.0,1.0,100.0
MRPL52,1.0,1.0,1.0,1.0,100.0
MRPL42,1.0,1.0,1.0,1.0,100.0
MIRLET7BHG,1.0,1.0,1.0,1.0,100.0
MIOS,1.0,1.0,1.0,1.0,100.0
MIER3,1.0,1.0,1.0,1.0,100.0
MICAL1,1.0,1.0,1.0,1.0,100.0
RNF220,1.0,1.0,1.0,1.0,100.0
RNF7,1.0,1.0,1.0,1.0,100.0
KBTBD12,1.0,1.0,1.0,1.0,100.0
TDRD7,1.0,1.0,1.0,1.0,100.0
USPL1,1.0,1.0,1.0,1.0,100.0
USP3,1.0,1.0,1.0,1.0,100.0
USP24,1.0,1.0,1.0,1.0,100.0
UNC5B,1.0,1.0,1.0,1.0,100.0
UGT2B17,1.0,1.0,1.0,1.0,100.0
UBR1,1.0,1.0,1.0,1.0,100.0
UBE2G2,1.0,1.0,1.0,1.0,100.0
UBE2G1,1.0,1.0,1.0,1.0,100.0
TXNL1,1.0,1.0,1.0,1.0,100.0
TTYH3,1.0,1.0,1.0,1.0,100.0
TTN-AS1,1.0,1.0,1.0,1.0,100.0
TRMT13,1.0,1.0,1.0,1.0,100.0
TRAPPC8,1.0,1.0,1.0,1.0,100.0
TRAF3IP3,1.0,1.0,1.0,1.0,100.0
TP53I11,1.0,1.0,1.0,1.0,100.0
TP53BP2,1.0,1.0,1.0,1.0,100.0
TNK2,1.0,1.0,1.0,1.0,100.0
TMTC4,1.0,1.0,1.0,1.0,100.0
TMPO,1.0,1.0,1.0,1.0,100.0
TMEM68,1.0,1.0,1.0,1.0,100.0
TMED10,1.0,1.0,1.0,1.0,100.0
TM9SF4,1.0,1.0,1.0,1.0,100.0
TLE3,1.0,1.0,1.0,1.0,100.0
THOC5,1.0,1.0,1.0,1.0,100.0
