,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
PIK3CA,1.0,1.0,1.0,1.0,100.0
EFCAB2,1.0,1.0,1.0,1.0,100.0
PRRC2C,1.0,1.0,1.0,1.0,100.0
HERC1,1.0,1.0,1.0,1.0,100.0
NCOA3,1.0,1.0,1.0,1.0,100.0
NFKB1,1.0,1.0,1.0,1.0,100.0
SRPK2,1.0,1.0,1.0,1.0,100.0
SSH2,1.0,1.0,1.0,1.0,100.0
GAK,1.0,1.0,1.0,1.0,100.0
FOXP1,1.0,1.0,1.0,1.0,100.0
FNBP1,1.0,1.0,1.0,1.0,100.0
FGGY,1.0,1.0,1.0,1.0,100.0
FBXL4,1.0,1.0,1.0,1.0,100.0
STAG2,1.0,1.0,1.0,1.0,100.0
FAM110B,1.0,1.0,1.0,1.0,100.0
EPC1,1.0,1.0,1.0,1.0,100.0
NR1D2,1.0,1.0,1.0,1.0,100.0
TBC1D4,1.0,1.0,1.0,1.0,100.0
RDX,1.0,1.0,1.0,1.0,100.0
HMBOX1,1.0,1.0,1.0,1.0,100.0
SNX27,1.0,1.0,1.0,1.0,100.0
HP1BP3,1.0,1.0,1.0,1.0,100.0
SCAMP1,1.0,1.0,1.0,1.0,100.0
MARCH7,1.0,1.0,1.0,1.0,100.0
MAP3K3,1.0,1.0,1.0,1.0,100.0
MFSD14C,1.0,1.0,1.0,1.0,100.0
MAML3,1.0,1.0,1.0,1.0,100.0
RC3H2,1.0,1.0,1.0,1.0,100.0
MLLT10,1.0,1.0,1.0,1.0,100.0
LPAR1,1.0,1.0,1.0,1.0,100.0
KIF13B,1.0,1.0,1.0,1.0,100.0
SLC4A7,1.0,1.0,1.0,1.0,100.0
KDM7A,1.0,1.0,1.0,1.0,100.0
KCNJ2,1.0,1.0,1.0,1.0,100.0
ACSL3,1.0,1.0,1.0,1.0,100.0
MTMR3,1.0,1.0,1.0,1.0,100.0
JARID2,1.0,1.0,1.0,1.0,100.0
JADE2,1.0,1.0,1.0,1.0,100.0
IRF2,1.0,1.0,1.0,1.0,100.0
NR2C2,1.0,1.0,1.0,1.0,100.0
TBK1,1.0,1.0,1.0,1.0,100.0
DTX2,1.0,1.0,1.0,1.0,100.0
USP33,1.0,1.0,1.0,1.0,100.0
CAND1,1.0,1.0,1.0,1.0,100.0
PAK1,1.0,1.0,1.0,1.0,100.0
USP9X,1.0,1.0,1.0,1.0,100.0
PCED1B,1.0,1.0,1.0,1.0,100.0
B3GNT2,1.0,1.0,1.0,1.0,100.0
VEZF1,1.0,1.0,1.0,1.0,100.0
VPS54,1.0,1.0,1.0,1.0,100.0
WASL,1.0,1.0,1.0,1.0,100.0
WDR37,1.0,1.0,1.0,1.0,100.0
WDR60,1.0,1.0,1.0,1.0,100.0
ZBTB18,1.0,1.0,1.0,1.0,100.0
APC,1.0,1.0,1.0,1.0,100.0
ANP32B,1.0,1.0,1.0,1.0,100.0
ZC3H4,1.0,1.0,1.0,1.0,100.0
AHI1,1.0,1.0,1.0,1.0,100.0
ADAM10,1.0,1.0,1.0,1.0,100.0
ACVR1B,1.0,1.0,1.0,1.0,100.0
