,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
SAMD3,1.0,1.0,1.0,1.0,100.0
RAB3IP,1.0,1.0,1.0,1.0,100.0
FYN,1.0,1.0,1.0,1.0,100.0
RBSN,1.0,1.0,1.0,1.0,100.0
FLI1,1.0,1.0,1.0,1.0,100.0
EPSTI1,1.0,1.0,1.0,1.0,100.0
ELK3,1.0,1.0,1.0,1.0,100.0
DYNLT1,1.0,1.0,1.0,1.0,100.0
DTNB,1.0,1.0,1.0,1.0,100.0
RPL23,1.0,1.0,1.0,1.0,100.0
MIR4435-2HG,1.0,1.0,1.0,1.0,100.0
DEPDC1B,1.0,1.0,1.0,1.0,100.0
SKAP1,1.0,1.0,1.0,1.0,100.0
CTNNA1,1.0,1.0,1.0,1.0,100.0
SLFN12L,1.0,1.0,1.0,1.0,100.0
CMTM3,1.0,1.0,1.0,1.0,100.0
CHSY1,1.0,1.0,1.0,1.0,100.0
RASSF3,1.0,1.0,1.0,1.0,100.0
HIVEP3,1.0,1.0,1.0,1.0,100.0
STXBP5,1.0,1.0,1.0,1.0,100.0
PUDP,1.0,1.0,1.0,1.0,100.0
ACSL4,1.0,1.0,1.0,1.0,100.0
MYL9,1.0,1.0,1.0,1.0,100.0
NAT10,1.0,1.0,1.0,1.0,100.0
NINJ2,1.0,1.0,1.0,1.0,100.0
NME7,1.0,1.0,1.0,1.0,100.0
PARP8,1.0,1.0,1.0,1.0,100.0
PCGF5,1.0,1.0,1.0,1.0,100.0
LDLRAD4,1.0,1.0,1.0,1.0,100.0
KIFC3,1.0,1.0,1.0,1.0,100.0
KIFC2,1.0,1.0,1.0,1.0,100.0
JAK3,1.0,1.0,1.0,1.0,100.0
ITGAV,1.0,1.0,1.0,1.0,100.0
PKNOX1,1.0,1.0,1.0,1.0,100.0
PLEKHA2,1.0,1.0,1.0,1.0,100.0
PRKAG1,1.0,1.0,1.0,1.0,100.0
CHST11,1.0,1.0,1.0,1.0,100.0
MLLT3,1.0,1.0,1.0,1.0,100.0
C3orf67,1.0,1.0,1.0,1.0,100.0
ALG13,1.0,1.0,1.0,1.0,100.0
XRN1,1.0,1.0,1.0,1.0,100.0
TP53I11,1.0,1.0,1.0,1.0,100.0
BARD1,1.0,1.0,1.0,1.0,100.0
TMC8,1.0,1.0,1.0,1.0,100.0
CALCB,1.0,1.0,1.0,1.0,100.0
ATL2,1.0,1.0,1.0,1.0,100.0
TMEM267,1.0,1.0,1.0,1.0,100.0
CDC42SE1,1.0,1.0,1.0,1.0,100.0
CDH2,1.0,1.0,1.0,1.0,100.0
TTC39C,1.0,1.0,1.0,1.0,100.0
ACSL5,1.0,1.0,1.0,1.0,100.0
TNFSF8,1.0,1.0,1.0,1.0,100.0
TBCD,0.0,1.0,1.0,1.0,75.0
C15orf53,0.0,1.0,1.0,1.0,75.0
GPRIN3,1.0,0.0,1.0,1.0,75.0
AATK,1.0,1.0,1.0,0.0,75.0
PPP2R5C,1.0,1.0,0.0,1.0,75.0
ANK3,1.0,0.0,1.0,1.0,75.0
PDCD6,1.0,1.0,1.0,0.0,75.0
EXTL2,1.0,0.0,1.0,1.0,75.0
POLR3E,0.0,1.0,1.0,1.0,75.0
PMEPA1,1.0,0.0,1.0,1.0,75.0
PLCB1,0.0,1.0,1.0,1.0,75.0
TTC39B,0.0,1.0,1.0,1.0,75.0
WAS,1.0,1.0,1.0,0.0,75.0
UBP1,0.0,1.0,1.0,1.0,75.0
RCAN3,0.0,1.0,1.0,1.0,75.0
C1orf159,0.0,1.0,1.0,1.0,75.0
EXOC6,1.0,1.0,1.0,0.0,75.0
DHRS3,0.0,1.0,1.0,1.0,75.0
SYNE3,0.0,1.0,1.0,1.0,75.0
MPP5,1.0,0.0,1.0,1.0,75.0
ACVR1B,0.0,1.0,1.0,1.0,75.0
NEIL3,1.0,1.0,0.0,1.0,75.0
CD96,1.0,0.0,1.0,1.0,75.0
SLC38A1,1.0,0.0,1.0,1.0,75.0
TMEM200A,0.0,1.0,1.0,1.0,75.0
CBLB,0.0,1.0,1.0,1.0,75.0
CAST,0.0,1.0,1.0,1.0,75.0
DPYSL2,1.0,0.0,1.0,1.0,75.0
DTNA,0.0,1.0,1.0,1.0,75.0
TNFAIP8,0.0,1.0,1.0,1.0,75.0
NUP210,0.0,1.0,1.0,1.0,75.0
PDPN,0.0,1.0,1.0,1.0,75.0
RNF144A,1.0,0.0,1.0,1.0,75.0
ETS1,1.0,0.0,1.0,1.0,75.0
WDTC1,0.0,1.0,1.0,0.0,50.0
WDR1,0.0,0.0,1.0,1.0,50.0
WDR49,0.0,0.0,1.0,1.0,50.0
ZNF235,0.0,1.0,1.0,0.0,50.0
PDE4B,0.0,1.0,1.0,0.0,50.0
TGFBR3,1.0,0.0,0.0,1.0,50.0
