,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZSWIM6,1.0,1.0,1.0,1.0,100.0
MINK1,1.0,1.0,1.0,1.0,100.0
MIER1,1.0,1.0,1.0,1.0,100.0
MIATNB,1.0,1.0,1.0,1.0,100.0
MGAT5,1.0,1.0,1.0,1.0,100.0
TMEM165,1.0,1.0,1.0,1.0,100.0
METAP1D,1.0,1.0,1.0,1.0,100.0
TMEM241,1.0,1.0,1.0,1.0,100.0
ME2,1.0,1.0,1.0,1.0,100.0
MCCC1,1.0,1.0,1.0,1.0,100.0
MARK2,1.0,1.0,1.0,1.0,100.0
TNFAIP8,1.0,1.0,1.0,1.0,100.0
MARCH2,1.0,1.0,1.0,1.0,100.0
MAPKAP1,1.0,1.0,1.0,1.0,100.0
MAP3K8,1.0,1.0,1.0,1.0,100.0
MAP3K1,1.0,1.0,1.0,1.0,100.0
MAP2K1,1.0,1.0,1.0,1.0,100.0
TNFRSF1B,1.0,1.0,1.0,1.0,100.0
TNFSF10,1.0,1.0,1.0,1.0,100.0
TPM3,1.0,1.0,1.0,1.0,100.0
LY96,1.0,1.0,1.0,1.0,100.0
LPGAT1,1.0,1.0,1.0,1.0,100.0
LMO7,1.0,1.0,1.0,1.0,100.0
LMO2,1.0,1.0,1.0,1.0,100.0
LMNB1,1.0,1.0,1.0,1.0,100.0
MILR1,1.0,1.0,1.0,1.0,100.0
MIOS,1.0,1.0,1.0,1.0,100.0
TPM4,1.0,1.0,1.0,1.0,100.0
MLKL,1.0,1.0,1.0,1.0,100.0
NLGN4Y,1.0,1.0,1.0,1.0,100.0
NFKB1,1.0,1.0,1.0,1.0,100.0
NFATC2,1.0,1.0,1.0,1.0,100.0
NF1,1.0,1.0,1.0,1.0,100.0
NEK1,1.0,1.0,1.0,1.0,100.0
NEDD9,1.0,1.0,1.0,1.0,100.0
TM9SF3,1.0,1.0,1.0,1.0,100.0
NCOR2,1.0,1.0,1.0,1.0,100.0
NCF4,1.0,1.0,1.0,1.0,100.0
NCF1,1.0,1.0,1.0,1.0,100.0
NASP,1.0,1.0,1.0,1.0,100.0
NAA50,1.0,1.0,1.0,1.0,100.0
MYO1F,1.0,1.0,1.0,1.0,100.0
MYH9,1.0,1.0,1.0,1.0,100.0
MTPN,1.0,1.0,1.0,1.0,100.0
MTMR1,1.0,1.0,1.0,1.0,100.0
MTM1,1.0,1.0,1.0,1.0,100.0
MTF1,1.0,1.0,1.0,1.0,100.0
MTERF1,1.0,1.0,1.0,1.0,100.0
MSRA,1.0,1.0,1.0,1.0,100.0
MRPL1,1.0,1.0,1.0,1.0,100.0
MNT,1.0,1.0,1.0,1.0,100.0
MLXIP,1.0,1.0,1.0,1.0,100.0
LITAF,1.0,1.0,1.0,1.0,100.0
LIMK1,1.0,1.0,1.0,1.0,100.0
USP7,1.0,1.0,1.0,1.0,100.0
IFNGR2,1.0,1.0,1.0,1.0,100.0
TSG101,1.0,1.0,1.0,1.0,100.0
ICK,1.0,1.0,1.0,1.0,100.0
ICAM1,1.0,1.0,1.0,1.0,100.0
HSPA6,1.0,1.0,1.0,1.0,100.0
HSDL2,1.0,1.0,1.0,1.0,100.0
HSD17B12,1.0,1.0,1.0,1.0,100.0
HRH2,1.0,1.0,1.0,1.0,100.0
TTC7A,1.0,1.0,1.0,1.0,100.0
HIPK3,1.0,1.0,1.0,1.0,100.0
HEXDC,1.0,1.0,1.0,1.0,100.0
HDLBP,1.0,1.0,1.0,1.0,100.0
HCLS1,1.0,1.0,1.0,1.0,100.0
HAMP,1.0,1.0,1.0,1.0,100.0
GSPT1,1.0,1.0,1.0,1.0,100.0
GRB2,1.0,1.0,1.0,1.0,100.0
GRAMD4,1.0,1.0,1.0,1.0,100.0
GNAI3,1.0,1.0,1.0,1.0,100.0
GNAI2,1.0,1.0,1.0,1.0,100.0
GMDS,1.0,1.0,1.0,1.0,100.0
GLUL,1.0,1.0,1.0,1.0,100.0
GLUD1,1.0,1.0,1.0,1.0,100.0
UGCG,1.0,1.0,1.0,1.0,100.0
UHRF1BP1,1.0,1.0,1.0,1.0,100.0
IFNAR1,1.0,1.0,1.0,1.0,100.0
IGF2R,1.0,1.0,1.0,1.0,100.0
LIMA1,1.0,1.0,1.0,1.0,100.0
TRPS1,1.0,1.0,1.0,1.0,100.0
LILRB1,1.0,1.0,1.0,1.0,100.0
LDLRAD3,1.0,1.0,1.0,1.0,100.0
LATS1,1.0,1.0,1.0,1.0,100.0
TRAF3,1.0,1.0,1.0,1.0,100.0
KNTC1,1.0,1.0,1.0,1.0,100.0
KLHL2,1.0,1.0,1.0,1.0,100.0
TRERF1,1.0,1.0,1.0,1.0,100.0
KIAA0930,1.0,1.0,1.0,1.0,100.0
SPPL2A,1.0,1.0,1.0,1.0,100.0
KCNMA1,1.0,1.0,1.0,1.0,100.0
KCNK6,1.0,1.0,1.0,1.0,100.0
KCMF1,1.0,1.0,1.0,1.0,100.0
TRIM25,1.0,1.0,1.0,1.0,100.0
JDP2,1.0,1.0,1.0,1.0,100.0
IPCEF1,1.0,1.0,1.0,1.0,100.0
TRPC4AP,1.0,1.0,1.0,1.0,100.0
INPP4A,1.0,1.0,1.0,1.0,100.0
IL21R,1.0,1.0,1.0,1.0,100.0
IL1B,1.0,1.0,1.0,1.0,100.0
IL18R1,1.0,1.0,1.0,1.0,100.0
IL15RA,1.0,1.0,1.0,1.0,100.0
IKZF2,1.0,1.0,1.0,1.0,100.0
IKZF1,1.0,1.0,1.0,1.0,100.0
TLN1,1.0,1.0,1.0,1.0,100.0
NUP153,1.0,1.0,1.0,1.0,100.0
NUP210,1.0,1.0,1.0,1.0,100.0
SEMA6B,1.0,1.0,1.0,1.0,100.0
SEC23IP,1.0,1.0,1.0,1.0,100.0
SBNO2,1.0,1.0,1.0,1.0,100.0
S100A8,1.0,1.0,1.0,1.0,100.0
RUNX1,1.0,1.0,1.0,1.0,100.0
RUFY3,1.0,1.0,1.0,1.0,100.0
RPS6KA1,1.0,1.0,1.0,1.0,100.0
RPAP2,1.0,1.0,1.0,1.0,100.0
RP2,1.0,1.0,1.0,1.0,100.0
ROR2,1.0,1.0,1.0,1.0,100.0
STC2,1.0,1.0,1.0,1.0,100.0
RLIM,1.0,1.0,1.0,1.0,100.0
RIN3,1.0,1.0,1.0,1.0,100.0
RFWD3,1.0,1.0,1.0,1.0,100.0
REEP3,1.0,1.0,1.0,1.0,100.0
RBMS1,1.0,1.0,1.0,1.0,100.0
RBM47,1.0,1.0,1.0,1.0,100.0
STEAP3,1.0,1.0,1.0,1.0,100.0
STK3,1.0,1.0,1.0,1.0,100.0
RASA2,1.0,1.0,1.0,1.0,100.0
RAP1A,1.0,1.0,1.0,1.0,100.0
RANBP9,1.0,1.0,1.0,1.0,100.0
RALGPS2,1.0,1.0,1.0,1.0,100.0
RAI1,1.0,1.0,1.0,1.0,100.0
SEL1L3,1.0,1.0,1.0,1.0,100.0
SEPT9,1.0,1.0,1.0,1.0,100.0
OGDH,1.0,1.0,1.0,1.0,100.0
SERGEF,1.0,1.0,1.0,1.0,100.0
SP100,1.0,1.0,1.0,1.0,100.0
SOCS3,1.0,1.0,1.0,1.0,100.0
SNX7,1.0,1.0,1.0,1.0,100.0
SPRED2,1.0,1.0,1.0,1.0,100.0
SREBF1,1.0,1.0,1.0,1.0,100.0
SMIM4,1.0,1.0,1.0,1.0,100.0
SMARCD3,1.0,1.0,1.0,1.0,100.0
SMAD7,1.0,1.0,1.0,1.0,100.0
SREK1,1.0,1.0,1.0,1.0,100.0
SLC7A1,1.0,1.0,1.0,1.0,100.0
SLC4A8,1.0,1.0,1.0,1.0,100.0
SLC39A1,1.0,1.0,1.0,1.0,100.0
SLC36A4,1.0,1.0,1.0,1.0,100.0
SLC25A33,1.0,1.0,1.0,1.0,100.0
SLC12A6,1.0,1.0,1.0,1.0,100.0
SSH2,1.0,1.0,1.0,1.0,100.0
SSR2,1.0,1.0,1.0,1.0,100.0
SIL1,1.0,1.0,1.0,1.0,100.0
SIK3,1.0,1.0,1.0,1.0,100.0
SIGLEC10,1.0,1.0,1.0,1.0,100.0
SH3TC1,1.0,1.0,1.0,1.0,100.0
SFI1,1.0,1.0,1.0,1.0,100.0
SETBP1,1.0,1.0,1.0,1.0,100.0
RABL2B,1.0,1.0,1.0,1.0,100.0
RAB6A,1.0,1.0,1.0,1.0,100.0
RAB39A,1.0,1.0,1.0,1.0,100.0
RAB28,1.0,1.0,1.0,1.0,100.0
PIK3AP1,1.0,1.0,1.0,1.0,100.0
TCAIM,1.0,1.0,1.0,1.0,100.0
PHF21A,1.0,1.0,1.0,1.0,100.0
PGGT1B,1.0,1.0,1.0,1.0,100.0
PFKFB3,1.0,1.0,1.0,1.0,100.0
TCF4,1.0,1.0,1.0,1.0,100.0
PDIK1L,1.0,1.0,1.0,1.0,100.0
PDIA6,1.0,1.0,1.0,1.0,100.0
PDE1B,1.0,1.0,1.0,1.0,100.0
PDCD6,1.0,1.0,1.0,1.0,100.0
PCNX1,1.0,1.0,1.0,1.0,100.0
TCP11L1,1.0,1.0,1.0,1.0,100.0
TEP1,1.0,1.0,1.0,1.0,100.0
PBX2,1.0,1.0,1.0,1.0,100.0
TFEB,1.0,1.0,1.0,1.0,100.0
PARP14,1.0,1.0,1.0,1.0,100.0
TFG,1.0,1.0,1.0,1.0,100.0
PAM,1.0,1.0,1.0,1.0,100.0
PALD1,1.0,1.0,1.0,1.0,100.0
PAK2,1.0,1.0,1.0,1.0,100.0
PAK1,1.0,1.0,1.0,1.0,100.0
OSBP,1.0,1.0,1.0,1.0,100.0
OLA1,1.0,1.0,1.0,1.0,100.0
TBL1XR1,1.0,1.0,1.0,1.0,100.0
TBC1D8,1.0,1.0,1.0,1.0,100.0
TBC1D30,1.0,1.0,1.0,1.0,100.0
PPP2R2A,1.0,1.0,1.0,1.0,100.0
RAB27A,1.0,1.0,1.0,1.0,100.0
RAB12,1.0,1.0,1.0,1.0,100.0
QKI,1.0,1.0,1.0,1.0,100.0
PYGL,1.0,1.0,1.0,1.0,100.0
PTPN7,1.0,1.0,1.0,1.0,100.0
PTPN2,1.0,1.0,1.0,1.0,100.0
PRR16,1.0,1.0,1.0,1.0,100.0
PRKCD,1.0,1.0,1.0,1.0,100.0
SYNE3,1.0,1.0,1.0,1.0,100.0
PPP6R2,1.0,1.0,1.0,1.0,100.0
PPP1R3B,1.0,1.0,1.0,1.0,100.0
PITPNA,1.0,1.0,1.0,1.0,100.0
PPP1R12A,1.0,1.0,1.0,1.0,100.0
PPP1CB,1.0,1.0,1.0,1.0,100.0
PPFIBP2,1.0,1.0,1.0,1.0,100.0
TAOK3,1.0,1.0,1.0,1.0,100.0
TBC1D14,1.0,1.0,1.0,1.0,100.0
PLEC,1.0,1.0,1.0,1.0,100.0
PLAGL1,1.0,1.0,1.0,1.0,100.0
PLAC8,1.0,1.0,1.0,1.0,100.0
PLA2G4A,1.0,1.0,1.0,1.0,100.0
TBC1D2B,1.0,1.0,1.0,1.0,100.0
USP3,1.0,1.0,1.0,1.0,100.0
KIAA0100,1.0,1.0,1.0,1.0,100.0
SP140L,1.0,1.0,1.0,1.0,100.0
CHST11,1.0,1.0,1.0,1.0,100.0
ZNF195,1.0,1.0,1.0,1.0,100.0
DUSP22,1.0,1.0,1.0,1.0,100.0
CMC1,1.0,1.0,1.0,1.0,100.0
EBPL,1.0,1.0,1.0,1.0,100.0
ECSIT,1.0,1.0,1.0,1.0,100.0
EDEM1,1.0,1.0,1.0,1.0,100.0
APPL1,1.0,1.0,1.0,1.0,100.0
CLEC5A,1.0,1.0,1.0,1.0,100.0
CLASRP,1.0,1.0,1.0,1.0,100.0
CIITA,1.0,1.0,1.0,1.0,100.0
EIF3H,1.0,1.0,1.0,1.0,100.0
EIF4EBP2,1.0,1.0,1.0,1.0,100.0
EIF4G1,1.0,1.0,1.0,1.0,100.0
CHSY1,1.0,1.0,1.0,1.0,100.0
ANOS1,1.0,1.0,1.0,1.0,100.0
BCAR3,1.0,1.0,1.0,1.0,100.0
CHIC2,1.0,1.0,1.0,1.0,100.0
CHI3L2,1.0,1.0,1.0,1.0,100.0
ELOVL6,1.0,1.0,1.0,1.0,100.0
XRN1,1.0,1.0,1.0,1.0,100.0
BCL2,1.0,1.0,1.0,1.0,100.0
EPB41L3,1.0,1.0,1.0,1.0,100.0
