,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
NCOA5,1.0,1.0,1.0,1.0,100.0
HNRNPD,1.0,1.0,1.0,1.0,100.0
NCALD,1.0,1.0,1.0,1.0,100.0
MICAL2,1.0,1.0,1.0,1.0,100.0
KLHL8,1.0,1.0,1.0,1.0,100.0
KIAA0513,1.0,1.0,1.0,1.0,100.0
TNRC6B,1.0,1.0,1.0,1.0,100.0
JADE2,1.0,1.0,1.0,1.0,100.0
INPP4A,1.0,1.0,1.0,1.0,100.0
IMMP2L,1.0,1.0,1.0,1.0,100.0
SMAD5,1.0,1.0,1.0,1.0,100.0
FAM13A,1.0,1.0,1.0,1.0,100.0
HDAC9,1.0,1.0,1.0,1.0,100.0
GSE1,1.0,1.0,1.0,1.0,100.0
GRAMD1B,1.0,1.0,1.0,1.0,100.0
GCNT1,1.0,1.0,1.0,1.0,100.0
FOXP2,1.0,1.0,1.0,1.0,100.0
FOXP1,1.0,1.0,1.0,1.0,100.0
FOXO3,1.0,1.0,1.0,1.0,100.0
FOXN3,1.0,1.0,1.0,1.0,100.0
NEDD4L,1.0,1.0,1.0,1.0,100.0
NF1,1.0,1.0,1.0,1.0,100.0
ORC4,1.0,1.0,1.0,1.0,100.0
PCAT6,1.0,1.0,1.0,1.0,100.0
SMAP2,1.0,1.0,1.0,1.0,100.0
SH3KBP1,1.0,1.0,1.0,1.0,100.0
SH2D4A,1.0,1.0,1.0,1.0,100.0
SPIDR,1.0,1.0,1.0,1.0,100.0
SERGEF,1.0,1.0,1.0,1.0,100.0
SAMD4A,1.0,1.0,1.0,1.0,100.0
SRGAP2,1.0,1.0,1.0,1.0,100.0
RNF38,1.0,1.0,1.0,1.0,100.0
SSBP2,1.0,1.0,1.0,1.0,100.0
