,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
SH3PXD2B,1.0,1.0,1.0,1.0,100.0
ACSL1,1.0,1.0,1.0,1.0,100.0
DDX10,1.0,1.0,1.0,1.0,100.0
FOSL2,1.0,1.0,1.0,1.0,100.0
HIF1A,1.0,1.0,1.0,1.0,100.0
JARID2,1.0,1.0,1.0,1.0,100.0
TBC1D14,1.0,1.0,1.0,1.0,100.0
ZFR,1.0,1.0,1.0,1.0,100.0
NEK6,1.0,1.0,1.0,0.0,75.0
SAP30BP,1.0,0.0,1.0,1.0,75.0
DDX1,1.0,1.0,1.0,0.0,75.0
PARVB,1.0,1.0,1.0,0.0,75.0
EBF1,1.0,0.0,1.0,1.0,75.0
ERI1,1.0,0.0,1.0,1.0,75.0
FAM129A,1.0,1.0,1.0,0.0,75.0
SIPA1L1,1.0,1.0,0.0,1.0,75.0
FNDC3B,1.0,1.0,1.0,0.0,75.0
NUP58,0.0,1.0,1.0,1.0,75.0
GLUL,1.0,1.0,1.0,0.0,75.0
SH3BP5,1.0,0.0,1.0,1.0,75.0
SEPT9,1.0,1.0,1.0,0.0,75.0
PPFIA2,1.0,0.0,1.0,1.0,75.0
RNF138,1.0,0.0,1.0,1.0,75.0
NEAT1,1.0,1.0,1.0,0.0,75.0
ITGA5,1.0,0.0,1.0,1.0,75.0
RIT1,1.0,0.0,1.0,1.0,75.0
CHST15,1.0,1.0,1.0,0.0,75.0
RBMS1,1.0,0.0,1.0,1.0,75.0
LITAF,1.0,1.0,1.0,0.0,75.0
LPP,1.0,1.0,1.0,0.0,75.0
RANBP3L,1.0,1.0,1.0,0.0,75.0
PPP1CB,1.0,0.0,1.0,1.0,75.0
MICAL2,1.0,1.0,1.0,0.0,75.0
RAB27A,1.0,1.0,1.0,0.0,75.0
PXN,1.0,1.0,1.0,0.0,75.0
MRPS6,1.0,1.0,1.0,0.0,75.0
KIFC3,1.0,1.0,1.0,0.0,75.0
ABHD3,1.0,1.0,1.0,0.0,75.0
PGK1,1.0,0.0,1.0,1.0,75.0
ZAP70,1.0,0.0,1.0,1.0,75.0
CD163,1.0,1.0,0.0,1.0,75.0
TMEM163,1.0,1.0,1.0,0.0,75.0
BCL6,1.0,1.0,1.0,0.0,75.0
TMEM132D,1.0,1.0,0.0,1.0,75.0
BACH1,1.0,1.0,1.0,0.0,75.0
ATP8A2,1.0,0.0,1.0,1.0,75.0
ADGRE2,0.0,0.0,1.0,1.0,50.0
HECW2,1.0,0.0,0.0,1.0,50.0
NTRK3,1.0,0.0,0.0,1.0,50.0
IL1B,1.0,0.0,0.0,1.0,50.0
IL15,1.0,1.0,0.0,0.0,50.0
NUP35,1.0,0.0,0.0,1.0,50.0
HSP90AA1,1.0,1.0,0.0,0.0,50.0
HPS4,0.0,0.0,1.0,1.0,50.0
GTF2H2,1.0,1.0,0.0,0.0,50.0
WIPI1,0.0,0.0,1.0,1.0,50.0
GTDC1,1.0,1.0,0.0,0.0,50.0
GRAMD4,1.0,1.0,0.0,0.0,50.0
PDIA4,1.0,1.0,0.0,0.0,50.0
SEC63,1.0,1.0,0.0,0.0,50.0
CARS,1.0,0.0,0.0,1.0,50.0
GIPC2,0.0,0.0,1.0,1.0,50.0
