,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
PDE4B,1.0,1.0,1.0,1.0,100.0
FOXP1,1.0,1.0,1.0,1.0,100.0
CUL3,1.0,1.0,1.0,1.0,100.0
THRB,1.0,1.0,1.0,1.0,100.0
IRS2,1.0,1.0,1.0,1.0,100.0
ADNP,1.0,1.0,1.0,1.0,100.0
L3MBTL3,1.0,1.0,1.0,1.0,100.0
SRGAP2-AS1,1.0,1.0,1.0,1.0,100.0
QKI,1.0,1.0,1.0,1.0,100.0
KIF1B,1.0,1.0,1.0,1.0,100.0
EPB41L3,1.0,1.0,1.0,1.0,100.0
KCNMB4,1.0,1.0,1.0,1.0,100.0
KCMF1,1.0,1.0,1.0,1.0,100.0
FAM110B,1.0,1.0,1.0,1.0,100.0
FAM135A,1.0,1.0,1.0,1.0,100.0
FAM49B,1.0,1.0,1.0,1.0,100.0
SLC20A2,1.0,1.0,1.0,1.0,100.0
OSBPL1A,1.0,1.0,1.0,1.0,100.0
FNBP1L,1.0,1.0,1.0,1.0,100.0
LRIG1,1.0,1.0,1.0,1.0,100.0
LRRK2,1.0,1.0,1.0,1.0,100.0
CREBRF,1.0,1.0,1.0,1.0,100.0
BMPR1B,1.0,1.0,1.0,1.0,100.0
RORA,1.0,1.0,1.0,1.0,100.0
NT5C2,1.0,1.0,1.0,1.0,100.0
ARHGAP24,1.0,1.0,1.0,1.0,100.0
ZNF804A,1.0,1.0,1.0,1.0,100.0
NR4A2,1.0,1.0,1.0,1.0,100.0
ATXN1,1.0,1.0,1.0,1.0,100.0
AZIN1,1.0,1.0,1.0,1.0,100.0
NPY5R,1.0,1.0,1.0,1.0,100.0
RREB1,1.0,1.0,1.0,1.0,100.0
SCRN1,1.0,1.0,1.0,1.0,100.0
CADM1,1.0,1.0,1.0,1.0,100.0
UGCG,1.0,1.0,1.0,1.0,100.0
HIF1A,1.0,1.0,1.0,1.0,100.0
N4BP2,1.0,1.0,1.0,1.0,100.0
CDK19,1.0,1.0,1.0,1.0,100.0
MAP3K1,1.0,1.0,1.0,1.0,100.0
TMEM263,1.0,1.0,1.0,1.0,100.0
JDP2,1.0,1.0,1.0,1.0,100.0
ITPR1,1.0,1.0,1.0,0.0,75.0
PRKAR1A,1.0,1.0,1.0,0.0,75.0
KAT2B,1.0,1.0,1.0,0.0,75.0
LAIR1,1.0,1.0,1.0,0.0,75.0
RHOBTB3,1.0,1.0,1.0,0.0,75.0
LYN,1.0,1.0,1.0,0.0,75.0
NABP1,1.0,1.0,1.0,0.0,75.0
NFKBIZ,1.0,1.0,1.0,0.0,75.0
PLXNC1,1.0,1.0,1.0,0.0,75.0
RHOB,1.0,1.0,1.0,0.0,75.0
LINC00884,1.0,1.0,1.0,0.0,75.0
FNBP1,1.0,1.0,1.0,0.0,75.0
SMG7,1.0,1.0,1.0,0.0,75.0
COLEC12,1.0,1.0,1.0,0.0,75.0
CUEDC1,1.0,1.0,1.0,0.0,75.0
CUL2,1.0,1.0,1.0,0.0,75.0
STK39,1.0,1.0,1.0,0.0,75.0
RNF24,1.0,1.0,1.0,0.0,75.0
DLEU7,0.0,1.0,1.0,1.0,75.0
SRGN,1.0,0.0,1.0,1.0,75.0
SLMAP,1.0,1.0,1.0,0.0,75.0
BTBD10,1.0,1.0,1.0,0.0,75.0
VPS26A,1.0,1.0,1.0,0.0,75.0
FOXN2,1.0,0.0,1.0,1.0,75.0
APPL1,1.0,1.0,1.0,0.0,75.0
SEC23A,1.0,1.0,1.0,0.0,75.0
ALG6,1.0,1.0,1.0,0.0,75.0
