,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
AAMDC,1.0,1.0,1.0,1.0,100.0
MED13L,1.0,1.0,1.0,1.0,100.0
NAV2,1.0,1.0,1.0,1.0,100.0
NCK1,1.0,1.0,1.0,1.0,100.0
NCOA2,1.0,1.0,1.0,1.0,100.0
NOS1AP,1.0,1.0,1.0,1.0,100.0
NOVA1,1.0,1.0,1.0,1.0,100.0
NR1D2,1.0,1.0,1.0,1.0,100.0
PARP8,1.0,1.0,1.0,1.0,100.0
PCMTD1,1.0,1.0,1.0,1.0,100.0
PDPK1,1.0,1.0,1.0,1.0,100.0
PELI2,1.0,1.0,1.0,1.0,100.0
PGM5,1.0,1.0,1.0,1.0,100.0
PHC1,1.0,1.0,1.0,1.0,100.0
PHIP,1.0,1.0,1.0,1.0,100.0
PIP5K1B,1.0,1.0,1.0,1.0,100.0
PKD2L1,1.0,1.0,1.0,1.0,100.0
MFHAS1,1.0,1.0,1.0,1.0,100.0
MCM3AP,1.0,1.0,1.0,1.0,100.0
IGF2BP3,1.0,1.0,1.0,1.0,100.0
MAN2A2,1.0,1.0,1.0,1.0,100.0
IMMP2L,1.0,1.0,1.0,1.0,100.0
ITM2C,1.0,1.0,1.0,1.0,100.0
JAK1,1.0,1.0,1.0,1.0,100.0
KAT7,1.0,1.0,1.0,1.0,100.0
KCNMA1,1.0,1.0,1.0,1.0,100.0
KIAA1324L,1.0,1.0,1.0,1.0,100.0
KIF1BP,1.0,1.0,1.0,1.0,100.0
ACTA2,1.0,1.0,1.0,1.0,100.0
KLHL21,1.0,1.0,1.0,1.0,100.0
KLHL24,1.0,1.0,1.0,1.0,100.0
KLHL8,1.0,1.0,1.0,1.0,100.0
KPNA4,1.0,1.0,1.0,1.0,100.0
LHPP,1.0,1.0,1.0,1.0,100.0
MAGI1,1.0,1.0,1.0,1.0,100.0
MAML2,1.0,1.0,1.0,1.0,100.0
PLCL1,1.0,1.0,1.0,1.0,100.0
PPP1CB,1.0,1.0,1.0,1.0,100.0
