,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
NRP2,1.0,1.0,1.0,1.0,100.0
FUT8,1.0,1.0,1.0,1.0,100.0
RPS9,1.0,1.0,1.0,1.0,100.0
RPS6,1.0,1.0,1.0,1.0,100.0
RPS27A,1.0,1.0,1.0,1.0,100.0
RPS24,1.0,1.0,1.0,1.0,100.0
RPS19,1.0,1.0,1.0,1.0,100.0
RPS15,1.0,1.0,1.0,1.0,100.0
FUT10,1.0,1.0,1.0,1.0,100.0
GABPA,1.0,1.0,1.0,1.0,100.0
FBXO28,1.0,1.0,1.0,1.0,100.0
GALM,1.0,1.0,1.0,1.0,100.0
GATAD1,1.0,1.0,1.0,1.0,100.0
RPLP1,1.0,1.0,1.0,1.0,100.0
RPL5,1.0,1.0,1.0,1.0,100.0
GIT2,1.0,1.0,1.0,1.0,100.0
RPL32,1.0,1.0,1.0,1.0,100.0
GOPC,1.0,1.0,1.0,1.0,100.0
FBXO8,1.0,1.0,1.0,1.0,100.0
FAM98B,1.0,1.0,1.0,1.0,100.0
RPL18,1.0,1.0,1.0,1.0,100.0
SENP1,1.0,1.0,1.0,1.0,100.0
SMCO4,1.0,1.0,1.0,1.0,100.0
DOCK5,1.0,1.0,1.0,1.0,100.0
DPY19L4,1.0,1.0,1.0,1.0,100.0
SLC39A10,1.0,1.0,1.0,1.0,100.0
SLC20A2,1.0,1.0,1.0,1.0,100.0
SETD5,1.0,1.0,1.0,1.0,100.0
SESN1,1.0,1.0,1.0,1.0,100.0
EML5,1.0,1.0,1.0,1.0,100.0
FAM50A,1.0,1.0,1.0,1.0,100.0
ERC2,1.0,1.0,1.0,1.0,100.0
SCRN1,1.0,1.0,1.0,1.0,100.0
ESRRB,1.0,1.0,1.0,1.0,100.0
EVI5L,1.0,1.0,1.0,1.0,100.0
EXOC5,1.0,1.0,1.0,1.0,100.0
FAM204A,1.0,1.0,1.0,1.0,100.0
FAM3C,1.0,1.0,1.0,1.0,100.0
GTF2H2,1.0,1.0,1.0,1.0,100.0
HARS,1.0,1.0,1.0,1.0,100.0
SPAG9,1.0,1.0,1.0,1.0,100.0
MAN1A1,1.0,1.0,1.0,1.0,100.0
LEKR1,1.0,1.0,1.0,1.0,100.0
PMS1,1.0,1.0,1.0,1.0,100.0
PHF20L1,1.0,1.0,1.0,1.0,100.0
