,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
MTMR4,1.0,1.0,1.0,1.0,100.0
WNT5A,1.0,1.0,1.0,1.0,100.0
CNRIP1,1.0,1.0,1.0,1.0,100.0
USP12,1.0,1.0,1.0,1.0,100.0
COX20,1.0,1.0,1.0,1.0,100.0
DDX50,1.0,1.0,1.0,1.0,100.0
DNM1L,1.0,1.0,1.0,1.0,100.0
GABPB1,1.0,1.0,1.0,1.0,100.0
GMDS,1.0,1.0,1.0,1.0,100.0
TBCA,1.0,1.0,1.0,1.0,100.0
MAP3K1,1.0,1.0,1.0,1.0,100.0
SS18,1.0,1.0,1.0,1.0,100.0
MGAT1,1.0,1.0,1.0,1.0,100.0
MKNK1,1.0,1.0,1.0,1.0,100.0
SPG21,1.0,1.0,1.0,1.0,100.0
SLC39A10,1.0,1.0,1.0,1.0,100.0
SH3GLB1,1.0,1.0,1.0,1.0,100.0
PDPN,1.0,1.0,1.0,1.0,100.0
PELI2,1.0,1.0,1.0,1.0,100.0
PLEKHO1,1.0,1.0,1.0,1.0,100.0
RAB27A,1.0,1.0,1.0,1.0,100.0
RAI1,1.0,1.0,1.0,1.0,100.0
RASGEF1B,1.0,1.0,1.0,1.0,100.0
CBX5,1.0,1.0,1.0,1.0,100.0
RERE,1.0,1.0,1.0,1.0,100.0
ZNF516,1.0,1.0,1.0,1.0,100.0
AGL,1.0,1.0,1.0,1.0,100.0
WDSUB1,0.0,1.0,1.0,1.0,75.0
ARID5B,0.0,1.0,1.0,1.0,75.0
HIBCH,0.0,1.0,1.0,1.0,75.0
IKZF3,0.0,1.0,1.0,1.0,75.0
KCTD20,1.0,1.0,1.0,0.0,75.0
LAP3,1.0,1.0,1.0,0.0,75.0
LINGO1,0.0,1.0,1.0,1.0,75.0
LSG1,0.0,1.0,1.0,1.0,75.0
MAP2K2,1.0,1.0,0.0,1.0,75.0
SSB,0.0,1.0,1.0,1.0,75.0
DIRC2,1.0,1.0,1.0,0.0,75.0
SPIDR,1.0,1.0,1.0,0.0,75.0
SLC39A1,1.0,0.0,1.0,1.0,75.0
PCNX1,1.0,1.0,1.0,0.0,75.0
RP2,1.0,1.0,0.0,1.0,75.0
ZNF331,1.0,1.0,1.0,0.0,75.0
ACAP2,1.0,1.0,0.0,1.0,75.0
TTF2,1.0,1.0,0.0,1.0,75.0
LATS1,1.0,1.0,1.0,0.0,75.0
WWP1,1.0,1.0,0.0,1.0,75.0
CHRNA1,1.0,0.0,1.0,1.0,75.0
CKAP5,1.0,1.0,1.0,0.0,75.0
DCP1A,1.0,1.0,0.0,1.0,75.0
DDI2,1.0,1.0,0.0,1.0,75.0
CRADD,1.0,1.0,1.0,0.0,75.0
C19orf12,1.0,1.0,0.0,1.0,75.0
PVT1,0.0,0.0,1.0,1.0,50.0
NAA16,0.0,0.0,1.0,1.0,50.0
BRF1,0.0,0.0,1.0,1.0,50.0
MAP2K7,0.0,1.0,1.0,0.0,50.0
UGCG,1.0,1.0,0.0,0.0,50.0
SSX2IP,0.0,0.0,1.0,1.0,50.0
MCTP1,1.0,0.0,1.0,0.0,50.0
ZDHHC17,1.0,0.0,1.0,0.0,50.0
ZMYM4,1.0,0.0,1.0,0.0,50.0
SRGAP2C,0.0,1.0,1.0,0.0,50.0
MRPS36,0.0,1.0,1.0,0.0,50.0
REEP3,0.0,0.0,1.0,1.0,50.0
ANKRD36,0.0,1.0,1.0,0.0,50.0
ABL1,0.0,0.0,1.0,1.0,50.0
SPESP1,0.0,1.0,1.0,0.0,50.0
CBFB,0.0,1.0,0.0,1.0,50.0
PRDM2,1.0,0.0,1.0,0.0,50.0
NAGK,0.0,1.0,1.0,0.0,50.0
NAPG,0.0,1.0,1.0,0.0,50.0
ARL14EP,0.0,1.0,1.0,0.0,50.0
NBR1,0.0,1.0,1.0,0.0,50.0
ANKRD13D,0.0,1.0,1.0,0.0,50.0
OSBPL8,1.0,0.0,1.0,0.0,50.0
ZNF12,0.0,1.0,1.0,0.0,50.0
PCNX4,0.0,0.0,1.0,1.0,50.0
RUVBL1,1.0,0.0,0.0,1.0,50.0
ADGRL2,0.0,1.0,1.0,0.0,50.0
CDC42SE2,0.0,1.0,0.0,1.0,50.0
WDR33,1.0,1.0,0.0,0.0,50.0
NBPF11,0.0,1.0,1.0,0.0,50.0
DIDO1,0.0,1.0,1.0,0.0,50.0
EXOC4,0.0,1.0,1.0,0.0,50.0
TPD52L2,1.0,1.0,0.0,0.0,50.0
IMMP2L,1.0,0.0,1.0,0.0,50.0
IRF4,1.0,0.0,0.0,1.0,50.0
KIAA1551,0.0,1.0,1.0,0.0,50.0
TMEM30A,0.0,1.0,1.0,0.0,50.0
EFCAB2,0.0,0.0,1.0,1.0,50.0
HECTD4,0.0,1.0,1.0,0.0,50.0
BECN1,1.0,1.0,0.0,0.0,50.0
CRLS1,0.0,1.0,0.0,1.0,50.0
FGL2,0.0,1.0,1.0,0.0,50.0
GPR155,0.0,1.0,1.0,0.0,50.0
UBXN2B,1.0,0.0,1.0,0.0,50.0
IFT74,0.0,1.0,1.0,0.0,50.0
RPRD1A,0.0,1.0,0.0,0.0,25.0
VAV1,0.0,0.0,1.0,0.0,25.0
TRIM14,1.0,0.0,0.0,0.0,25.0
RTF1,0.0,0.0,1.0,0.0,25.0
USP47,0.0,0.0,0.0,1.0,25.0
SYMPK,0.0,1.0,0.0,0.0,25.0
ZBED4,0.0,0.0,1.0,0.0,25.0
ROBO3,0.0,0.0,0.0,1.0,25.0
TRIM38,0.0,0.0,1.0,0.0,25.0
RNF44,0.0,0.0,0.0,1.0,25.0
RNF135,0.0,0.0,1.0,0.0,25.0
RIC8B,1.0,0.0,0.0,0.0,25.0
TXNDC11,0.0,0.0,1.0,0.0,25.0
UBE2N,0.0,0.0,1.0,0.0,25.0
XPO7,0.0,0.0,1.0,0.0,25.0
SFXN4,1.0,0.0,0.0,0.0,25.0
SLFN12L,0.0,0.0,1.0,0.0,25.0
TOR3A,0.0,0.0,0.0,1.0,25.0
SLC14A2,0.0,1.0,0.0,0.0,25.0
WDR75,0.0,0.0,0.0,1.0,25.0
STAU2,0.0,0.0,1.0,0.0,25.0
STAT6,0.0,1.0,0.0,0.0,25.0
XPO6,0.0,0.0,0.0,1.0,25.0
TC2N,0.0,0.0,0.0,1.0,25.0
TCP11L1,0.0,1.0,0.0,0.0,25.0
TESK2,0.0,0.0,0.0,1.0,25.0
USP28,1.0,0.0,0.0,0.0,25.0
ZC3H15,0.0,1.0,0.0,0.0,25.0
TLK1,0.0,0.0,0.0,1.0,25.0
URB1,0.0,1.0,0.0,0.0,25.0
TLK2,0.0,0.0,1.0,0.0,25.0
SNX6,1.0,0.0,0.0,0.0,25.0
RFTN1,1.0,0.0,0.0,0.0,25.0
TMEM164,1.0,0.0,0.0,0.0,25.0
TMEM200A,0.0,1.0,0.0,0.0,25.0
