,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ABI2,1.0,1.0,1.0,1.0,100.0
OTUD5,1.0,1.0,1.0,1.0,100.0
NAGLU,1.0,1.0,1.0,1.0,100.0
NBPF12,1.0,1.0,1.0,1.0,100.0
NEK7,1.0,1.0,1.0,1.0,100.0
NORAD,1.0,1.0,1.0,1.0,100.0
NPC1,1.0,1.0,1.0,1.0,100.0
NSMCE1,1.0,1.0,1.0,1.0,100.0
NSUN5,1.0,1.0,1.0,1.0,100.0
OLA1,1.0,1.0,1.0,1.0,100.0
ORC2,1.0,1.0,1.0,1.0,100.0
PBRM1,1.0,1.0,1.0,1.0,100.0
MTERF4,1.0,1.0,1.0,1.0,100.0
PCF11,1.0,1.0,1.0,1.0,100.0
PDCD2,1.0,1.0,1.0,1.0,100.0
PGGT1B,1.0,1.0,1.0,1.0,100.0
POLE2,1.0,1.0,1.0,1.0,100.0
POLK,1.0,1.0,1.0,1.0,100.0
PPIP5K2,1.0,1.0,1.0,1.0,100.0
PPP1CB,1.0,1.0,1.0,1.0,100.0
PPP1R15B,1.0,1.0,1.0,1.0,100.0
PRIM2,1.0,1.0,1.0,1.0,100.0
N4BP2,1.0,1.0,1.0,1.0,100.0
MRPL48,1.0,1.0,1.0,1.0,100.0
PYGL,1.0,1.0,1.0,1.0,100.0
LINC00854,1.0,1.0,1.0,1.0,100.0
HPS1,1.0,1.0,1.0,1.0,100.0
HSD17B4,1.0,1.0,1.0,1.0,100.0
IL7,1.0,1.0,1.0,1.0,100.0
IMMT,1.0,1.0,1.0,1.0,100.0
IMPACT,1.0,1.0,1.0,1.0,100.0
INTU,1.0,1.0,1.0,1.0,100.0
ITPR2,1.0,1.0,1.0,1.0,100.0
KATNA1,1.0,1.0,1.0,1.0,100.0
LINC00476,1.0,1.0,1.0,1.0,100.0
LINC01122,1.0,1.0,1.0,1.0,100.0
MRPL3,1.0,1.0,1.0,1.0,100.0
LMBRD2,1.0,1.0,1.0,1.0,100.0
LONP2,1.0,1.0,1.0,1.0,100.0
LYPLA1,1.0,1.0,1.0,1.0,100.0
M6PR,1.0,1.0,1.0,1.0,100.0
MAP3K7,1.0,1.0,1.0,1.0,100.0
MAP3K8,1.0,1.0,1.0,1.0,100.0
MFSD4B,1.0,1.0,1.0,1.0,100.0
MORC3,1.0,1.0,1.0,1.0,100.0
MPHOSPH6,1.0,1.0,1.0,1.0,100.0
PTP4A1,1.0,1.0,1.0,1.0,100.0
RBM4,1.0,1.0,1.0,1.0,100.0
HECW2,1.0,1.0,1.0,1.0,100.0
ZNF175,1.0,1.0,1.0,1.0,100.0
VOPP1,1.0,1.0,1.0,1.0,100.0
VPS26A,1.0,1.0,1.0,1.0,100.0
VPS36,1.0,1.0,1.0,1.0,100.0
VPS39,1.0,1.0,1.0,1.0,100.0
ZBTB43,1.0,1.0,1.0,1.0,100.0
ZC3H13,1.0,1.0,1.0,1.0,100.0
ZFP62,1.0,1.0,1.0,1.0,100.0
ZKSCAN8,1.0,1.0,1.0,1.0,100.0
ZNF100,1.0,1.0,1.0,1.0,100.0
ZNF217,1.0,1.0,1.0,1.0,100.0
UVSSA,1.0,1.0,1.0,1.0,100.0
ZNF266,1.0,1.0,1.0,1.0,100.0
ZNF267,1.0,1.0,1.0,1.0,100.0
ZNF277,1.0,1.0,1.0,1.0,100.0
ZNF397,1.0,1.0,1.0,1.0,100.0
ZNF43,1.0,1.0,1.0,1.0,100.0
ZNF562,1.0,1.0,1.0,1.0,100.0
ZNF75D,1.0,1.0,1.0,1.0,100.0
ZNF800,1.0,1.0,1.0,1.0,100.0
ZNF92,1.0,1.0,1.0,1.0,100.0
VAPB,1.0,1.0,1.0,1.0,100.0
UTP6,1.0,1.0,1.0,1.0,100.0
RCC2,1.0,1.0,1.0,1.0,100.0
SLC26A2,1.0,1.0,1.0,1.0,100.0
RNASEH2B-AS1,1.0,1.0,1.0,1.0,100.0
RNF220,1.0,1.0,1.0,1.0,100.0
RNF41,1.0,1.0,1.0,1.0,100.0
RPA2,1.0,1.0,1.0,1.0,100.0
RPF1,1.0,1.0,1.0,1.0,100.0
