,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
PAXBP1,1.0,1.0,1.0,1.0,100.0
FBXW2,1.0,1.0,1.0,1.0,100.0
MPDZ,1.0,1.0,1.0,1.0,100.0
MARCH8,1.0,1.0,1.0,1.0,100.0
MAP4K3,1.0,1.0,1.0,1.0,100.0
MAML1,1.0,1.0,1.0,1.0,100.0
MAK,1.0,1.0,1.0,1.0,100.0
RNF34,1.0,1.0,1.0,1.0,100.0
RPA2,1.0,1.0,1.0,1.0,100.0
SEC63,1.0,1.0,1.0,1.0,100.0
SENP5,1.0,1.0,1.0,1.0,100.0
SFSWAP,1.0,1.0,1.0,1.0,100.0
H2AFZ,1.0,1.0,1.0,1.0,100.0
SUB1,1.0,1.0,1.0,1.0,100.0
NDEL1,1.0,1.0,1.0,1.0,100.0
NVL,1.0,1.0,1.0,1.0,100.0
CBWD3,1.0,1.0,1.0,1.0,100.0
ATR,1.0,1.0,1.0,1.0,100.0
ANAPC1,1.0,1.0,1.0,1.0,100.0
WRB,1.0,1.0,1.0,1.0,100.0
ZFR,1.0,1.0,1.0,1.0,100.0
XPOT,1.0,1.0,1.0,1.0,100.0
CLCN3,1.0,1.0,1.0,1.0,100.0
FARS2,1.0,1.0,1.0,1.0,100.0
ZDBF2,1.0,1.0,1.0,1.0,100.0
ZNF267,1.0,1.0,1.0,0.0,75.0
RB1,1.0,1.0,1.0,0.0,75.0
USP15,1.0,1.0,1.0,0.0,75.0
ZBTB11,1.0,1.0,1.0,0.0,75.0
RNGTT,1.0,1.0,1.0,0.0,75.0
XBP1,1.0,1.0,1.0,0.0,75.0
SHQ1,1.0,1.0,1.0,0.0,75.0
WASL,0.0,1.0,1.0,1.0,75.0
TMEM267,1.0,1.0,1.0,0.0,75.0
UGGT2,1.0,1.0,1.0,0.0,75.0
ZNF432,1.0,1.0,1.0,0.0,75.0
HADH,0.0,1.0,1.0,1.0,75.0
HDAC9,1.0,1.0,1.0,0.0,75.0
BACH1,1.0,1.0,1.0,0.0,75.0
DENND1B,1.0,1.0,1.0,0.0,75.0
ZNF331,1.0,0.0,1.0,0.0,50.0
NELL2,1.0,0.0,0.0,1.0,50.0
PC,0.0,0.0,0.0,1.0,25.0
TAMM41,1.0,0.0,0.0,0.0,25.0
TMEM220,1.0,0.0,0.0,0.0,25.0
GNL2,1.0,0.0,0.0,0.0,25.0
TSPAN3,1.0,0.0,0.0,0.0,25.0
GMEB1,1.0,0.0,0.0,0.0,25.0
G3BP2,1.0,0.0,0.0,0.0,25.0
OXSR1,1.0,0.0,0.0,0.0,25.0
DCP1A,1.0,0.0,0.0,0.0,25.0
CSRP1,1.0,0.0,0.0,0.0,25.0
COPA,0.0,0.0,0.0,1.0,25.0
OSBPL11,0.0,0.0,0.0,1.0,25.0
ARRDC3-AS1,0.0,0.0,0.0,1.0,25.0
ZFAT,0.0,0.0,0.0,1.0,25.0
ARFGEF3,0.0,0.0,0.0,1.0,25.0
ZNF146,1.0,0.0,0.0,0.0,25.0
ZNF189,0.0,0.0,0.0,1.0,25.0
APC,1.0,0.0,0.0,0.0,25.0
NARS2,1.0,0.0,0.0,0.0,25.0
TDRD1,0.0,0.0,0.0,1.0,25.0
GUF1,1.0,0.0,0.0,0.0,25.0
PCMT1,1.0,0.0,0.0,0.0,25.0
SRPK1,0.0,0.0,0.0,1.0,25.0
PDCD11,0.0,0.0,0.0,1.0,25.0
PDCD6IP,0.0,0.0,0.0,1.0,25.0
PPP1R15A,1.0,0.0,0.0,0.0,25.0
MARCH5,1.0,0.0,0.0,0.0,25.0
RLF,0.0,0.0,0.0,1.0,25.0
RNF111,1.0,0.0,0.0,0.0,25.0
LRRIQ3,1.0,0.0,0.0,0.0,25.0
LMO3,0.0,0.0,0.0,1.0,25.0
LINC00278,0.0,0.0,0.0,1.0,25.0
RPIA,0.0,0.0,0.0,1.0,25.0
KRAS,1.0,0.0,0.0,0.0,25.0
KLHDC1,1.0,0.0,0.0,0.0,25.0
SERPINB5,1.0,0.0,0.0,0.0,25.0
SFMBT1,1.0,0.0,0.0,0.0,25.0
AMMECR1L,1.0,0.0,0.0,0.0,25.0
NFYC,1.0,0.0,0.0,0.0,25.0
SLC15A4,0.0,0.0,0.0,1.0,25.0
ALG1,1.0,0.0,0.0,0.0,25.0
