,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
CTSC,1.0,1.0,1.0,1.0,100.0
ZFP90,1.0,0.0,1.0,1.0,75.0
TBCA,1.0,0.0,1.0,1.0,75.0
SSBP2,0.0,1.0,1.0,1.0,75.0
RASGEF1B,1.0,0.0,1.0,1.0,75.0
RAB3GAP1,1.0,0.0,1.0,1.0,75.0
PYGL,0.0,1.0,1.0,1.0,75.0
FBXW8,0.0,1.0,0.0,1.0,50.0
TRIB1,1.0,0.0,1.0,0.0,50.0
RPS16,1.0,0.0,0.0,1.0,50.0
ACBD5,1.0,0.0,0.0,1.0,50.0
NLRC5,0.0,0.0,1.0,1.0,50.0
LRRC58,1.0,0.0,1.0,0.0,50.0
LINGO1,0.0,1.0,0.0,1.0,50.0
HNRNPU,0.0,0.0,1.0,1.0,50.0
HDAC2,1.0,0.0,0.0,1.0,50.0
PDE4DIP,0.0,1.0,0.0,1.0,50.0
EPRS,1.0,0.0,1.0,0.0,50.0
CELF2-AS2,0.0,1.0,0.0,1.0,50.0
DCTN4,0.0,1.0,0.0,1.0,50.0
C11orf49,1.0,0.0,1.0,0.0,50.0
CHD1L,1.0,0.0,1.0,0.0,50.0
FAM20C,0.0,0.0,0.0,1.0,25.0
ST3GAL5,0.0,0.0,1.0,0.0,25.0
RPS20,0.0,0.0,0.0,1.0,25.0
SBNO2,0.0,0.0,0.0,1.0,25.0
SLC6A6,0.0,0.0,0.0,1.0,25.0
SNW1,0.0,0.0,0.0,1.0,25.0
SNX27,1.0,0.0,0.0,0.0,25.0
SRBD1,0.0,0.0,0.0,1.0,25.0
CARNMT1,0.0,0.0,0.0,1.0,25.0
TBC1D19,1.0,0.0,0.0,0.0,25.0
STAT1,1.0,0.0,0.0,0.0,25.0
RPL5,0.0,0.0,0.0,1.0,25.0
ATP10D,0.0,0.0,0.0,1.0,25.0
TRIP11,0.0,0.0,0.0,1.0,25.0
TTC37,0.0,0.0,0.0,1.0,25.0
UBE2N,0.0,0.0,1.0,0.0,25.0
USP48,1.0,0.0,0.0,0.0,25.0
VRK2,1.0,0.0,0.0,0.0,25.0
ZDHHC5,0.0,0.0,1.0,0.0,25.0
CCDC7,1.0,0.0,0.0,0.0,25.0
RBM41,0.0,0.0,0.0,1.0,25.0
RPL13,0.0,0.0,0.0,1.0,25.0
METTL9,0.0,0.0,1.0,0.0,25.0
HBS1L,0.0,0.0,0.0,1.0,25.0
FAM177A1,1.0,0.0,0.0,0.0,25.0
LDHA,0.0,0.0,0.0,1.0,25.0
LEMD3,0.0,0.0,1.0,0.0,25.0
LEPR,0.0,0.0,0.0,1.0,25.0
EPC2,0.0,0.0,0.0,1.0,25.0
LRRK2,0.0,0.0,1.0,0.0,25.0
MED4,0.0,0.0,0.0,1.0,25.0
MFSD14B,1.0,0.0,0.0,0.0,25.0
RIMKLB,0.0,0.0,0.0,1.0,25.0
CWC22,1.0,0.0,0.0,0.0,25.0
PHF14,0.0,0.0,0.0,1.0,25.0
PHF20L1,1.0,0.0,0.0,0.0,25.0
PITPNB,0.0,0.0,0.0,1.0,25.0
CENPF,0.0,0.0,0.0,1.0,25.0
RACGAP1,0.0,0.0,1.0,0.0,25.0
CCNH,0.0,0.0,0.0,1.0,25.0
FMR1,0.0,0.0,1.0,0.0,25.0
ABCB7,0.0,0.0,0.0,1.0,25.0
