,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZXDC,1.0,1.0,1.0,1.0,100.0
TCAF1,1.0,1.0,1.0,1.0,100.0
PCMT1,1.0,1.0,1.0,1.0,100.0
LTBP3,1.0,1.0,1.0,1.0,100.0
CBX6,1.0,1.0,1.0,1.0,100.0
SUPT20H,1.0,1.0,1.0,1.0,100.0
SNX19,1.0,1.0,1.0,1.0,100.0
UBE2E3,1.0,1.0,1.0,1.0,100.0
SMAD7,1.0,1.0,1.0,1.0,100.0
SLC36A4,1.0,1.0,1.0,1.0,100.0
MIER1,1.0,1.0,1.0,1.0,100.0
RP2,1.0,1.0,1.0,1.0,100.0
PHF3,1.0,1.0,1.0,1.0,100.0
NCOA2,1.0,1.0,1.0,1.0,100.0
PIP4K2B,1.0,1.0,1.0,1.0,100.0
ZNF804A,1.0,1.0,1.0,1.0,100.0
INSM1,1.0,1.0,1.0,1.0,100.0
TBK1,1.0,1.0,1.0,1.0,100.0
SIN3A,1.0,1.0,0.0,1.0,75.0
FOXK1,1.0,1.0,1.0,0.0,75.0
RBM17,1.0,0.0,1.0,1.0,75.0
ACSL3,1.0,0.0,1.0,1.0,75.0
TBC1D30,1.0,0.0,1.0,1.0,75.0
DNAJC21,1.0,0.0,1.0,1.0,75.0
CDK17,1.0,1.0,0.0,1.0,75.0
CUL2,1.0,1.0,0.0,1.0,75.0
VPS13D,1.0,0.0,1.0,1.0,75.0
ADAM32,1.0,1.0,0.0,1.0,75.0
AGL,1.0,0.0,1.0,1.0,75.0
AK5,1.0,1.0,0.0,1.0,75.0
APC,1.0,0.0,1.0,1.0,75.0
ZNF431,1.0,1.0,0.0,1.0,75.0
WDR5,1.0,0.0,1.0,1.0,75.0
METAP1D,1.0,0.0,1.0,1.0,75.0
P4HA1,1.0,1.0,0.0,1.0,75.0
TMEM260,1.0,1.0,0.0,1.0,75.0
TMEM184B,1.0,0.0,1.0,1.0,75.0
RAPGEF4,1.0,1.0,0.0,1.0,75.0
NOD1,1.0,0.0,0.0,1.0,50.0
PPP1R3B,0.0,1.0,0.0,1.0,50.0
NEIL3,1.0,1.0,0.0,0.0,50.0
