,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZSWIM6,1.0,1.0,1.0,1.0,100.0
PFKFB3,1.0,1.0,1.0,1.0,100.0
PRKCH,1.0,1.0,1.0,1.0,100.0
PPP4R1,1.0,1.0,1.0,1.0,100.0
EPB41L3,1.0,1.0,1.0,1.0,100.0
PPP1R3B,1.0,1.0,1.0,1.0,100.0
ETV6,1.0,1.0,1.0,1.0,100.0
PIM1,1.0,1.0,1.0,1.0,100.0
EZR,1.0,1.0,1.0,1.0,100.0
PGM3,1.0,1.0,1.0,1.0,100.0
FAM129A,1.0,1.0,1.0,1.0,100.0
CUL1,1.0,1.0,1.0,1.0,100.0
PCNX1,1.0,1.0,1.0,1.0,100.0
PATL1,1.0,1.0,1.0,1.0,100.0
PARP9,1.0,1.0,1.0,1.0,100.0
PARD3B,1.0,1.0,1.0,1.0,100.0
FBXL17,1.0,1.0,1.0,1.0,100.0
FBXL4,1.0,1.0,1.0,1.0,100.0
FBXL5,1.0,1.0,1.0,1.0,100.0
PAG1,1.0,1.0,1.0,1.0,100.0
PRKD3,1.0,1.0,1.0,1.0,100.0
PTK2,1.0,1.0,1.0,1.0,100.0
PTPN2,1.0,1.0,1.0,1.0,100.0
PTPRE,1.0,1.0,1.0,1.0,100.0
RNF149,1.0,1.0,1.0,1.0,100.0
DCP1A,1.0,1.0,1.0,1.0,100.0
DCTN4,1.0,1.0,1.0,1.0,100.0
RGS6,1.0,1.0,1.0,1.0,100.0
REXO1,1.0,1.0,1.0,1.0,100.0
RBPJ,1.0,1.0,1.0,1.0,100.0
RBMS1,1.0,1.0,1.0,1.0,100.0
RBM47,1.0,1.0,1.0,1.0,100.0
RBBP7,1.0,1.0,1.0,1.0,100.0
DGKZ,1.0,1.0,1.0,1.0,100.0
DMTF1,1.0,1.0,1.0,1.0,100.0
RASA2,1.0,1.0,1.0,1.0,100.0
RABGAP1L,1.0,1.0,1.0,1.0,100.0
PYGL,1.0,1.0,1.0,1.0,100.0
EBAG9,1.0,1.0,1.0,1.0,100.0
EDEM1,1.0,1.0,1.0,1.0,100.0
