,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
CRTAP,1.0,1.0,1.0,1.0,100.0
EIF1,1.0,1.0,1.0,1.0,100.0
CADPS2,1.0,1.0,1.0,1.0,100.0
SRPRB,1.0,1.0,1.0,1.0,100.0
PSMD3,1.0,1.0,1.0,1.0,100.0
STK38L,1.0,1.0,1.0,1.0,100.0
DUSP1,1.0,1.0,1.0,1.0,100.0
SMARCA1,1.0,1.0,1.0,1.0,100.0
ARG2,1.0,1.0,1.0,1.0,100.0
UBQLN2,1.0,1.0,1.0,1.0,100.0
XRCC6,1.0,1.0,1.0,1.0,100.0
MAGT1,1.0,1.0,1.0,1.0,100.0
MTIF3,1.0,1.0,0.0,1.0,75.0
PDE4A,0.0,1.0,1.0,1.0,75.0
PGLYRP1,1.0,1.0,1.0,0.0,75.0
SAMD3,1.0,1.0,0.0,1.0,75.0
MFHAS1,1.0,1.0,0.0,1.0,75.0
DLL4,1.0,1.0,0.0,1.0,75.0
RIT1,1.0,1.0,0.0,1.0,75.0
IRF2BPL,1.0,0.0,1.0,1.0,75.0
RNF19A,1.0,1.0,1.0,0.0,75.0
LINC00511,1.0,1.0,0.0,1.0,75.0
RNF19B,1.0,0.0,1.0,1.0,75.0
PQLC1,0.0,1.0,1.0,1.0,75.0
AACS,1.0,1.0,0.0,1.0,75.0
LMTK2,1.0,1.0,0.0,1.0,75.0
SMIM19,1.0,1.0,0.0,1.0,75.0
ATOH8,1.0,1.0,0.0,1.0,75.0
STYX,1.0,1.0,0.0,1.0,75.0
STK25,1.0,1.0,0.0,1.0,75.0
SPCS3,0.0,1.0,1.0,1.0,75.0
ATF3,1.0,1.0,1.0,0.0,75.0
ACTG1,1.0,1.0,0.0,1.0,75.0
MFSD14C,1.0,1.0,0.0,0.0,50.0
WDR11,0.0,1.0,0.0,1.0,50.0
MNT,1.0,1.0,0.0,0.0,50.0
TXNL4A,1.0,0.0,0.0,1.0,50.0
TBX15,1.0,0.0,0.0,1.0,50.0
METAP1,1.0,0.0,0.0,1.0,50.0
MYO5B,1.0,0.0,0.0,1.0,50.0
NAMPT,1.0,0.0,0.0,1.0,50.0
NLGN4Y,0.0,1.0,0.0,1.0,50.0
NOL11,1.0,1.0,0.0,0.0,50.0
ZNF529,1.0,0.0,0.0,1.0,50.0
NTRK3,1.0,0.0,0.0,1.0,50.0
ACAP3,1.0,0.0,0.0,1.0,50.0
OTUD4,1.0,0.0,1.0,0.0,50.0
MYL6,0.0,1.0,0.0,1.0,50.0
SC5D,1.0,0.0,0.0,1.0,50.0
PHC1,1.0,0.0,0.0,1.0,50.0
SBF2-AS1,1.0,0.0,0.0,1.0,50.0
PLCB1,1.0,0.0,0.0,1.0,50.0
PLCG2,1.0,0.0,0.0,1.0,50.0
PPFIA2,1.0,0.0,0.0,1.0,50.0
PPIF,1.0,1.0,0.0,0.0,50.0
STOM,0.0,1.0,0.0,1.0,50.0
REV1,1.0,0.0,1.0,0.0,50.0
STARD4,0.0,1.0,0.0,1.0,50.0
SS18,0.0,1.0,1.0,0.0,50.0
SNX9,1.0,0.0,0.0,1.0,50.0
RPS2,0.0,0.0,1.0,1.0,50.0
RPS7,0.0,1.0,0.0,1.0,50.0
S100A11,1.0,0.0,0.0,1.0,50.0
SLC1A5,1.0,1.0,0.0,0.0,50.0
PIK3C2B,0.0,1.0,1.0,0.0,50.0
OLA1,0.0,1.0,1.0,0.0,50.0
ZNF766,1.0,0.0,0.0,1.0,50.0
HSPA6,1.0,1.0,0.0,0.0,50.0
CFL1,0.0,1.0,0.0,1.0,50.0
FGF20,1.0,1.0,0.0,0.0,50.0
FKBP4,1.0,0.0,0.0,1.0,50.0
EEF1D,0.0,1.0,1.0,0.0,50.0
EDRF1,1.0,0.0,0.0,1.0,50.0
GPR155,1.0,0.0,0.0,1.0,50.0
CMSS1,1.0,0.0,0.0,1.0,50.0
C9orf135,1.0,0.0,0.0,1.0,50.0
EDEM3,0.0,0.0,1.0,1.0,50.0
FCF1,1.0,0.0,0.0,1.0,50.0
ANAPC5,0.0,1.0,1.0,0.0,50.0
COX19,1.0,0.0,0.0,1.0,50.0
ACTR2,1.0,0.0,0.0,1.0,50.0
RPS3A,0.0,0.0,0.0,1.0,25.0
SIN3A,0.0,1.0,0.0,0.0,25.0
CCNL2,0.0,0.0,0.0,1.0,25.0
SLC7A2,0.0,0.0,0.0,1.0,25.0
SLC26A2,0.0,0.0,1.0,0.0,25.0
CYFIP2,0.0,1.0,0.0,0.0,25.0
SLC1A4,0.0,1.0,0.0,0.0,25.0
CPSF2,1.0,0.0,0.0,0.0,25.0
SLC12A7,0.0,0.0,0.0,1.0,25.0
RPL3,0.0,1.0,0.0,0.0,25.0
RPS11,0.0,0.0,0.0,1.0,25.0
SESTD1,1.0,0.0,0.0,0.0,25.0
RPS14,0.0,1.0,0.0,0.0,25.0
CLIC1,0.0,1.0,0.0,0.0,25.0
RPS18,0.0,1.0,0.0,0.0,25.0
COG4,0.0,0.0,0.0,1.0,25.0
COMMD1,0.0,0.0,0.0,1.0,25.0
CNFN,0.0,1.0,0.0,0.0,25.0
C1QB,0.0,1.0,0.0,0.0,25.0
SNED1,1.0,0.0,0.0,0.0,25.0
SNX8,0.0,0.0,0.0,1.0,25.0
ACSL5,0.0,0.0,0.0,1.0,25.0
ZNF365,0.0,0.0,0.0,1.0,25.0
ALOX5AP,0.0,0.0,1.0,0.0,25.0
UNC45A,0.0,1.0,0.0,0.0,25.0
UCK2,0.0,0.0,1.0,0.0,25.0
UBQLN1,0.0,0.0,0.0,1.0,25.0
ARL5B,0.0,0.0,0.0,1.0,25.0
TRAPPC2,0.0,0.0,0.0,1.0,25.0
TRABD,0.0,0.0,0.0,1.0,25.0
TMEM126B,0.0,1.0,0.0,0.0,25.0
ASH2L,0.0,0.0,0.0,1.0,25.0
AVEN,0.0,1.0,0.0,0.0,25.0
B3GNTL1,0.0,0.0,0.0,1.0,25.0
B4GALT5,0.0,0.0,0.0,1.0,25.0
BATF3,1.0,0.0,0.0,0.0,25.0
BAX,0.0,0.0,0.0,1.0,25.0
SSBP1,0.0,0.0,0.0,1.0,25.0
BLVRB,0.0,1.0,0.0,0.0,25.0
BTBD1,1.0,0.0,0.0,0.0,25.0
SRM,0.0,0.0,0.0,1.0,25.0
SRGN,0.0,0.0,0.0,1.0,25.0
BZW1,1.0,0.0,0.0,0.0,25.0
RGCC,0.0,0.0,0.0,1.0,25.0
DGKE,0.0,0.0,0.0,1.0,25.0
LDHB,0.0,0.0,0.0,1.0,25.0
DNAJA1,0.0,1.0,0.0,0.0,25.0
RCBTB1,1.0,0.0,0.0,0.0,25.0
PDZD2,0.0,1.0,0.0,0.0,25.0
PDE6D,0.0,0.0,0.0,1.0,25.0
PCNX4,0.0,0.0,1.0,0.0,25.0
FILIP1L,0.0,0.0,0.0,1.0,25.0
GMFG,0.0,1.0,0.0,0.0,25.0
NOP58,0.0,1.0,0.0,0.0,25.0
GNAS-AS1,0.0,0.0,0.0,1.0,25.0
NKAIN3,0.0,0.0,1.0,0.0,25.0
NFAT5,1.0,0.0,0.0,0.0,25.0
NDUFAF7,0.0,0.0,0.0,1.0,25.0
HHEX,1.0,0.0,0.0,0.0,25.0
HLA-DQB1,1.0,0.0,0.0,0.0,25.0
HSP90B1,0.0,1.0,0.0,0.0,25.0
HSPA5,0.0,1.0,0.0,0.0,25.0
IFNAR1,1.0,0.0,0.0,0.0,25.0
MFSD1,0.0,0.0,0.0,1.0,25.0
ILF2,0.0,0.0,0.0,1.0,25.0
INO80E,0.0,0.0,0.0,1.0,25.0
MAX,0.0,0.0,0.0,1.0,25.0
KLHDC3,0.0,0.0,0.0,1.0,25.0
LAPTM5,0.0,0.0,0.0,1.0,25.0
LDHA,0.0,1.0,0.0,0.0,25.0
LIMK2,0.0,1.0,0.0,0.0,25.0
PGD,1.0,0.0,0.0,0.0,25.0
PGK1,0.0,0.0,0.0,1.0,25.0
FCGR3A,1.0,0.0,0.0,0.0,25.0
PPP2CB,1.0,0.0,0.0,0.0,25.0
