,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
FBXO9,1.0,1.0,1.0,1.0,100.0
BRD3,1.0,1.0,1.0,1.0,100.0
KLHL8,1.0,1.0,1.0,1.0,100.0
TRNAU1AP,1.0,1.0,1.0,1.0,100.0
KAT2B,1.0,1.0,1.0,1.0,100.0
ING4,1.0,1.0,1.0,1.0,100.0
HINT1,1.0,1.0,1.0,1.0,100.0
TACC1,1.0,1.0,1.0,1.0,100.0
SSR3,1.0,1.0,1.0,1.0,100.0
CARHSP1,1.0,1.0,1.0,1.0,100.0
NEK7,1.0,1.0,1.0,1.0,100.0
UTP23,1.0,1.0,1.0,1.0,100.0
RNPC3,1.0,1.0,1.0,1.0,100.0
FMNL3,1.0,1.0,1.0,1.0,100.0
ZBTB8OS,1.0,1.0,1.0,1.0,100.0
RHOBTB3,1.0,1.0,1.0,1.0,100.0
EEF2K,1.0,1.0,1.0,1.0,100.0
RBM12B,1.0,1.0,1.0,1.0,100.0
KIAA1586,1.0,1.0,1.0,1.0,100.0
SNED1,0.0,1.0,1.0,1.0,75.0
KCNE3,1.0,1.0,0.0,1.0,75.0
RAD23A,1.0,1.0,1.0,0.0,75.0
FOXP1,1.0,1.0,1.0,0.0,75.0
SMIM19,1.0,1.0,0.0,1.0,75.0
HACD3,1.0,0.0,1.0,1.0,75.0
LAPTM4A,1.0,1.0,1.0,0.0,75.0
SFI1,1.0,1.0,1.0,0.0,75.0
SNX19,0.0,1.0,1.0,1.0,75.0
MPP5,1.0,1.0,0.0,1.0,75.0
MRPS21,1.0,1.0,1.0,0.0,75.0
NDUFS6,1.0,0.0,1.0,1.0,75.0
NEIL3,1.0,1.0,0.0,1.0,75.0
NOL11,1.0,1.0,0.0,1.0,75.0
RPP30,1.0,1.0,1.0,0.0,75.0
PPIF,1.0,1.0,0.0,1.0,75.0
PRMT9,1.0,1.0,1.0,0.0,75.0
ABCD4,1.0,1.0,0.0,1.0,75.0
RAB3IP,1.0,1.0,0.0,1.0,75.0
CMTR2,1.0,1.0,0.0,1.0,75.0
CEP63,0.0,1.0,1.0,1.0,75.0
DNAJC21,1.0,1.0,0.0,1.0,75.0
TFPI,1.0,1.0,1.0,0.0,75.0
USP3-AS1,1.0,1.0,0.0,1.0,75.0
CASK,0.0,1.0,1.0,0.0,50.0
CHMP4B,1.0,0.0,1.0,0.0,50.0
SPATA5L1,1.0,1.0,0.0,0.0,50.0
SCYL2,0.0,1.0,1.0,0.0,50.0
CHD3,0.0,1.0,1.0,0.0,50.0
MRPS5,1.0,0.0,1.0,0.0,50.0
SAMD1,1.0,1.0,0.0,0.0,50.0
ERO1B,0.0,1.0,1.0,0.0,50.0
KLHL20,0.0,1.0,1.0,0.0,50.0
BRINP1,1.0,1.0,0.0,0.0,50.0
NR5A2,1.0,1.0,0.0,0.0,50.0
RPL15,1.0,1.0,0.0,0.0,50.0
AZIN1,0.0,1.0,0.0,1.0,50.0
PLEKHM1,1.0,1.0,0.0,0.0,50.0
ZNF706,0.0,0.0,1.0,1.0,50.0
ACVR2A,0.0,1.0,0.0,1.0,50.0
NEK1,0.0,0.0,1.0,1.0,50.0
METTL8,1.0,0.0,1.0,0.0,50.0
KIF3A,0.0,1.0,1.0,0.0,50.0
SMIM8,1.0,1.0,0.0,0.0,50.0
FAM219B,0.0,1.0,0.0,1.0,50.0
SNRK,1.0,0.0,1.0,0.0,50.0
DTNB,1.0,0.0,1.0,0.0,50.0
DPY19L3,0.0,1.0,1.0,0.0,50.0
DECR1,1.0,1.0,0.0,0.0,50.0
HIPK1,0.0,1.0,1.0,0.0,50.0
HMGN3,1.0,0.0,0.0,1.0,50.0
