,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
NEDD9,1.0,1.0,1.0,1.0,100.0
PRKAR1B,1.0,1.0,1.0,1.0,100.0
PPP3CC,1.0,1.0,1.0,1.0,100.0
PPP2R2A,1.0,1.0,1.0,1.0,100.0
PPP1CB,1.0,1.0,1.0,1.0,100.0
PPM1G,1.0,1.0,1.0,1.0,100.0
PPM1B,1.0,1.0,1.0,1.0,100.0
POLG2,1.0,1.0,1.0,1.0,100.0
PNPT1,1.0,1.0,1.0,1.0,100.0
PLEKHO1,1.0,1.0,1.0,1.0,100.0
PHIP,1.0,1.0,1.0,1.0,100.0
PGPEP1,1.0,1.0,1.0,1.0,100.0
PELI2,1.0,1.0,1.0,1.0,100.0
PECAM1,1.0,1.0,1.0,1.0,100.0
PDXK,1.0,1.0,1.0,1.0,100.0
PARP9,1.0,1.0,1.0,1.0,100.0
PARP4,1.0,1.0,1.0,1.0,100.0
OLA1,1.0,1.0,1.0,1.0,100.0
NUDCD3,1.0,1.0,1.0,1.0,100.0
PRKAB2,1.0,1.0,1.0,1.0,100.0
PRKCD,1.0,1.0,1.0,1.0,100.0
IRF2,1.0,1.0,1.0,1.0,100.0
PRKCE,1.0,1.0,1.0,1.0,100.0
RCN2,1.0,1.0,1.0,1.0,100.0
RBBP6,1.0,1.0,1.0,1.0,100.0
RASGEF1B,1.0,1.0,1.0,1.0,100.0
RAI1,1.0,1.0,1.0,1.0,100.0
RACGAP1,1.0,1.0,1.0,1.0,100.0
RAB9A,1.0,1.0,1.0,1.0,100.0
RAB39A,1.0,1.0,1.0,1.0,100.0
RAB12,1.0,1.0,1.0,1.0,100.0
R3HCC1L,1.0,1.0,1.0,1.0,100.0
PUDP,1.0,1.0,1.0,1.0,100.0
PTBP1,1.0,1.0,1.0,1.0,100.0
PSMD1,1.0,1.0,1.0,1.0,100.0
PSMA4,1.0,1.0,1.0,1.0,100.0
PRR14L,1.0,1.0,1.0,1.0,100.0
PRR12,1.0,1.0,1.0,1.0,100.0
PRMT9,1.0,1.0,1.0,1.0,100.0
PRKRIP1,1.0,1.0,1.0,1.0,100.0
NSMAF,1.0,1.0,1.0,1.0,100.0
NSF,1.0,1.0,1.0,1.0,100.0
NLRC5,1.0,1.0,1.0,1.0,100.0
NFATC1,1.0,1.0,1.0,1.0,100.0
MADD,1.0,1.0,1.0,1.0,100.0
MAD1L1,1.0,1.0,1.0,1.0,100.0
LYPLAL1,1.0,1.0,1.0,1.0,100.0
LSG1,1.0,1.0,1.0,1.0,100.0
LRRK2,1.0,1.0,1.0,1.0,100.0
LRIF1,1.0,1.0,1.0,1.0,100.0
LMO2,1.0,1.0,1.0,1.0,100.0
LINGO1,1.0,1.0,1.0,1.0,100.0
KMT2C,1.0,1.0,1.0,1.0,100.0
KMO,1.0,1.0,1.0,1.0,100.0
KLHL3,1.0,1.0,1.0,1.0,100.0
KLHL2,1.0,1.0,1.0,1.0,100.0
KHDRBS1,1.0,1.0,1.0,1.0,100.0
KCND2,1.0,1.0,1.0,1.0,100.0
KAT6A,1.0,1.0,1.0,1.0,100.0
JDP2,1.0,1.0,1.0,1.0,100.0
JADE2,1.0,1.0,1.0,1.0,100.0
MAML3,1.0,1.0,1.0,1.0,100.0
MAP3K1,1.0,1.0,1.0,1.0,100.0
MAP3K4,1.0,1.0,1.0,1.0,100.0
MX1,1.0,1.0,1.0,1.0,100.0
ABCD3,1.0,1.0,1.0,1.0,100.0
NEDD4,1.0,1.0,1.0,1.0,100.0
NEAT1,1.0,1.0,1.0,1.0,100.0
NBEAL1,1.0,1.0,1.0,1.0,100.0
NAAA,1.0,1.0,1.0,1.0,100.0
NAA50,1.0,1.0,1.0,1.0,100.0
NAA16,1.0,1.0,1.0,1.0,100.0
MRPS21,1.0,1.0,1.0,1.0,100.0
MAP3K7,1.0,1.0,1.0,1.0,100.0
MNT,1.0,1.0,1.0,1.0,100.0
MMP14,1.0,1.0,1.0,1.0,100.0
MICU2,1.0,1.0,1.0,1.0,100.0
METAP1D,1.0,1.0,1.0,1.0,100.0
MDN1,1.0,1.0,1.0,1.0,100.0
MARCH8,1.0,1.0,1.0,1.0,100.0
MARCH2,1.0,1.0,1.0,1.0,100.0
