,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZNF331,1.0,1.0,1.0,1.0,100.0
SERF2,1.0,1.0,1.0,1.0,100.0
SAP30,1.0,1.0,1.0,1.0,100.0
S100A8,1.0,1.0,1.0,1.0,100.0
RPS2,1.0,1.0,1.0,1.0,100.0
COX4I1,1.0,1.0,1.0,1.0,100.0
RPL34,1.0,1.0,1.0,1.0,100.0
CTPS1,1.0,1.0,1.0,1.0,100.0
RGS7,1.0,1.0,1.0,1.0,100.0
REL,1.0,1.0,1.0,1.0,100.0
DACH1,1.0,1.0,1.0,1.0,100.0
RAPGEF5,1.0,1.0,1.0,1.0,100.0
RAB21,1.0,1.0,1.0,1.0,100.0
DUSP1,1.0,1.0,1.0,1.0,100.0
PPP1R3C,1.0,1.0,1.0,1.0,100.0
POM121,1.0,1.0,1.0,1.0,100.0
GFOD1,1.0,1.0,1.0,1.0,100.0
MRPL18,1.0,1.0,1.0,1.0,100.0
GTF3A,1.0,1.0,1.0,1.0,100.0
LDHA,1.0,1.0,1.0,1.0,100.0
KIF6,1.0,1.0,1.0,1.0,100.0
SBNO2,1.0,1.0,1.0,1.0,100.0
RPL10,1.0,1.0,1.0,1.0,100.0
HNRNPH2,1.0,1.0,1.0,1.0,100.0
UGT8,1.0,1.0,1.0,1.0,100.0
SH3BP5,1.0,1.0,1.0,1.0,100.0
SGK1,1.0,1.0,1.0,1.0,100.0
TOMM20,1.0,1.0,1.0,1.0,100.0
SPP1,1.0,1.0,1.0,1.0,100.0
TIMM23,1.0,1.0,1.0,1.0,100.0
STOM,1.0,1.0,1.0,1.0,100.0
ERO1A,1.0,1.0,1.0,0.0,75.0
PGK1,1.0,1.0,1.0,0.0,75.0
GPI,1.0,1.0,1.0,0.0,75.0
LPAR6,1.0,1.0,1.0,0.0,75.0
RAPGEF1,1.0,1.0,1.0,0.0,75.0
TMEM144,1.0,1.0,1.0,0.0,75.0
DIRC3,1.0,1.0,1.0,0.0,75.0
DHX32,1.0,1.0,1.0,0.0,75.0
PDE4B,1.0,1.0,0.0,1.0,75.0
SLC20A1,1.0,1.0,1.0,0.0,75.0
SRGN,1.0,1.0,1.0,0.0,75.0
HAMP,1.0,0.0,1.0,1.0,75.0
RPS19,1.0,1.0,0.0,1.0,75.0
HIF1A-AS2,1.0,1.0,1.0,0.0,75.0
CEBPD,1.0,1.0,0.0,1.0,75.0
RPS4X,1.0,1.0,1.0,0.0,75.0
YEATS2,1.0,1.0,1.0,0.0,75.0
SLC16A3,1.0,0.0,1.0,1.0,75.0
NAMPT,1.0,1.0,0.0,0.0,50.0
NPC2,1.0,0.0,0.0,1.0,50.0
UBE2Z,1.0,0.0,0.0,1.0,50.0
NR4A3,1.0,0.0,0.0,1.0,50.0
NAGK,1.0,1.0,0.0,0.0,50.0
UGCG,1.0,0.0,1.0,0.0,50.0
ZFP36L1,1.0,0.0,0.0,1.0,50.0
LAP3,1.0,0.0,1.0,0.0,50.0
LINC01146,0.0,1.0,0.0,1.0,50.0
SERPINE1,1.0,0.0,0.0,1.0,50.0
PELI1,1.0,0.0,1.0,0.0,50.0
PFN1,0.0,1.0,0.0,1.0,50.0
PLIN2,1.0,0.0,1.0,0.0,50.0
TUBA1B,1.0,0.0,0.0,1.0,50.0
TREM2,1.0,0.0,0.0,1.0,50.0
PTBP1,0.0,1.0,1.0,0.0,50.0
TPD52L2,1.0,0.0,0.0,1.0,50.0
RASSF5,1.0,0.0,0.0,1.0,50.0
SUCO,1.0,0.0,1.0,0.0,50.0
HLA-DRB5,1.0,0.0,0.0,1.0,50.0
SRGAP3,1.0,1.0,0.0,0.0,50.0
SLC25A46,0.0,1.0,1.0,0.0,50.0
S100A11,0.0,1.0,0.0,1.0,50.0
SEC23IP,1.0,0.0,1.0,0.0,50.0
PTMA,1.0,0.0,0.0,1.0,50.0
ABAT,1.0,0.0,0.0,1.0,50.0
DOK1,1.0,0.0,0.0,1.0,50.0
