,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
JUND,1.0,1.0,1.0,1.0,100.0
BCL2L1,1.0,1.0,1.0,1.0,100.0
DTNA,1.0,1.0,1.0,1.0,100.0
EIF1,1.0,1.0,1.0,1.0,100.0
CD81,1.0,1.0,1.0,1.0,100.0
CBWD1,1.0,1.0,1.0,1.0,100.0
HSPH1,1.0,1.0,1.0,1.0,100.0
PNRC1,1.0,1.0,1.0,1.0,100.0
CNDP2,1.0,1.0,1.0,1.0,100.0
DNAJA1,1.0,1.0,1.0,1.0,100.0
APBB1,1.0,1.0,1.0,1.0,100.0
TSC22D4,1.0,1.0,1.0,1.0,100.0
TUBA1B,1.0,1.0,1.0,1.0,100.0
SPTBN1,1.0,0.0,1.0,1.0,75.0
ZNF618,0.0,1.0,1.0,1.0,75.0
UBAP2L,1.0,0.0,1.0,1.0,75.0
FTL,1.0,1.0,0.0,1.0,75.0
TXNRD1,0.0,1.0,1.0,1.0,75.0
HIPK1,0.0,1.0,1.0,1.0,75.0
HP1BP3,1.0,0.0,1.0,1.0,75.0
HSP90AA1,1.0,0.0,1.0,1.0,75.0
HSPA1A,1.0,0.0,1.0,1.0,75.0
HSPA1B,1.0,0.0,1.0,1.0,75.0
HSPA8,1.0,1.0,0.0,1.0,75.0
JUNB,1.0,1.0,0.0,1.0,75.0
SNRK,0.0,1.0,1.0,1.0,75.0
PKM,0.0,1.0,1.0,1.0,75.0
PLEKHO1,1.0,1.0,1.0,0.0,75.0
PTGES3,1.0,1.0,1.0,0.0,75.0
TMED8,1.0,0.0,1.0,1.0,75.0
TGS1,1.0,1.0,1.0,0.0,75.0
RAB1B,1.0,1.0,1.0,0.0,75.0
RNF138,1.0,0.0,1.0,1.0,75.0
RPL11,1.0,1.0,1.0,0.0,75.0
RPL19,1.0,1.0,0.0,1.0,75.0
RPL27A,0.0,1.0,1.0,1.0,75.0
S100A11,1.0,0.0,1.0,1.0,75.0
RAB11B,1.0,0.0,1.0,1.0,75.0
ZXDC,1.0,1.0,0.0,1.0,75.0
ACTB,1.0,1.0,1.0,0.0,75.0
ATP6V1B2,1.0,1.0,1.0,0.0,75.0
APOE,1.0,1.0,1.0,0.0,75.0
CD163L1,1.0,1.0,1.0,0.0,75.0
CDKN1A,0.0,1.0,1.0,1.0,75.0
BID,0.0,1.0,1.0,1.0,75.0
ADGRE2,1.0,0.0,1.0,1.0,75.0
ACBD5,0.0,1.0,0.0,1.0,50.0
TAF7,0.0,1.0,1.0,0.0,50.0
RNH1,1.0,0.0,1.0,0.0,50.0
RPS3,0.0,1.0,1.0,0.0,50.0
CD163,0.0,1.0,1.0,0.0,50.0
TLE3,1.0,0.0,1.0,0.0,50.0
CCNI,0.0,0.0,1.0,1.0,50.0
IRF2BPL,0.0,0.0,1.0,1.0,50.0
CD58,0.0,1.0,1.0,0.0,50.0
HNRNPK,0.0,1.0,0.0,1.0,50.0
IQGAP1,1.0,0.0,1.0,0.0,50.0
SUN2,0.0,0.0,1.0,1.0,50.0
PGK1,0.0,1.0,0.0,1.0,50.0
RPS13,0.0,0.0,1.0,1.0,50.0
CALR,1.0,1.0,0.0,0.0,50.0
PCSK1N,1.0,0.0,0.0,1.0,50.0
KLF13,0.0,1.0,1.0,0.0,50.0
STARD4,0.0,0.0,1.0,1.0,50.0
STAMBPL1,0.0,1.0,0.0,1.0,50.0
MAP1B,0.0,1.0,1.0,0.0,50.0
SPP1,0.0,1.0,0.0,1.0,50.0
OLFM2,0.0,1.0,0.0,1.0,50.0
NUPR1,0.0,0.0,1.0,1.0,50.0
SIGLEC9,0.0,1.0,1.0,0.0,50.0
HLA-DPA1,0.0,0.0,1.0,1.0,50.0
ARMCX3,1.0,0.0,0.0,1.0,50.0
DYNLL2,0.0,0.0,1.0,1.0,50.0
CEP57,1.0,0.0,1.0,0.0,50.0
VHL,0.0,0.0,1.0,1.0,50.0
CSTF3,0.0,1.0,1.0,0.0,50.0
VAV2,0.0,1.0,1.0,0.0,50.0
ATP1A1,0.0,1.0,0.0,1.0,50.0
CFL1,0.0,1.0,1.0,0.0,50.0
DUSP1,1.0,0.0,0.0,1.0,50.0
TMSB4X,0.0,0.0,1.0,1.0,50.0
ECSIT,0.0,0.0,1.0,1.0,50.0
AGPS,0.0,0.0,1.0,1.0,50.0
TUBA1A,0.0,1.0,0.0,1.0,50.0
BRI3,1.0,0.0,1.0,0.0,50.0
RBM17,0.0,0.0,1.0,1.0,50.0
CMTM3,0.0,1.0,1.0,0.0,50.0
FKBP4,0.0,1.0,1.0,0.0,50.0
GALNT11,0.0,0.0,1.0,1.0,50.0
GNAS,1.0,0.0,1.0,0.0,50.0
PPP2CB,0.0,1.0,0.0,1.0,50.0
ATP2B4,0.0,1.0,1.0,0.0,50.0
SH3PXD2B,0.0,1.0,0.0,0.0,25.0
RPL13A,0.0,0.0,0.0,1.0,25.0
RPL18,0.0,1.0,0.0,0.0,25.0
SIPA1,0.0,0.0,0.0,1.0,25.0
SACS,0.0,0.0,0.0,1.0,25.0
ATL3,0.0,0.0,1.0,0.0,25.0
RPL28,0.0,0.0,1.0,0.0,25.0
RPL3,0.0,1.0,0.0,0.0,25.0
RPLP1,0.0,0.0,0.0,1.0,25.0
TBC1D15,1.0,0.0,0.0,0.0,25.0
SOCS4,0.0,0.0,0.0,1.0,25.0
TRABD,0.0,1.0,0.0,0.0,25.0
ACSL3,0.0,0.0,0.0,1.0,25.0
ZER1,0.0,0.0,0.0,1.0,25.0
ZBTB10,0.0,0.0,0.0,1.0,25.0
YWHAZ,0.0,0.0,0.0,1.0,25.0
YWHAH,0.0,0.0,1.0,0.0,25.0
VIM,1.0,0.0,0.0,0.0,25.0
UBALD2,0.0,0.0,0.0,1.0,25.0
TSPYL1,1.0,0.0,0.0,0.0,25.0
APOC1,0.0,0.0,0.0,1.0,25.0
TOLLIP,0.0,0.0,0.0,1.0,25.0
SOS1,1.0,0.0,0.0,0.0,25.0
