,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
SOCS6,1.0,1.0,1.0,1.0,100.0
ALDH18A1,1.0,1.0,1.0,1.0,100.0
ZNF618,1.0,1.0,1.0,1.0,100.0
OLR1,1.0,1.0,1.0,1.0,100.0
TMSB4X,1.0,1.0,1.0,1.0,100.0
UBC,1.0,1.0,1.0,1.0,100.0
ZFP36L2,1.0,1.0,1.0,1.0,100.0
SFMBT2,1.0,0.0,1.0,1.0,75.0
DDX6,1.0,0.0,1.0,1.0,75.0
DUSP1,1.0,0.0,1.0,1.0,75.0
MCF2L,1.0,0.0,1.0,1.0,75.0
CSNK1G2,1.0,0.0,1.0,1.0,75.0
MARCKS,1.0,1.0,0.0,1.0,75.0
FGFR2,1.0,0.0,1.0,1.0,75.0
COX20,1.0,0.0,1.0,1.0,75.0
STMN1,1.0,1.0,0.0,1.0,75.0
TCHP,1.0,0.0,1.0,1.0,75.0
DDX3X,1.0,0.0,1.0,1.0,75.0
PSMG2,1.0,0.0,1.0,1.0,75.0
MYL12B,1.0,0.0,1.0,1.0,75.0
ZDBF2,1.0,0.0,1.0,1.0,75.0
PIK3CA,1.0,1.0,0.0,1.0,75.0
RGS1,1.0,0.0,1.0,1.0,75.0
RCL1,1.0,0.0,1.0,1.0,75.0
RCBTB2,1.0,0.0,1.0,1.0,75.0
ZFP30,1.0,1.0,1.0,0.0,75.0
TCP11L1,1.0,1.0,0.0,0.0,50.0
PDE3B,1.0,0.0,0.0,1.0,50.0
PLEKHA2,0.0,0.0,1.0,1.0,50.0
PHRF1,1.0,0.0,0.0,1.0,50.0
INSIG1,1.0,0.0,1.0,0.0,50.0
SMAD3,1.0,0.0,0.0,1.0,50.0
JAZF1,1.0,0.0,0.0,1.0,50.0
