,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
PPP4R1,1.0,1.0,0.0,1.0,75.0
UBE2J1,0.0,1.0,1.0,1.0,75.0
MARCH1,1.0,1.0,0.0,1.0,75.0
ZXDC,1.0,0.0,1.0,0.0,50.0
KLHL2,0.0,0.0,1.0,1.0,50.0
RBMS1,0.0,1.0,0.0,1.0,50.0
HECA,0.0,0.0,1.0,1.0,50.0
KIF5B,0.0,0.0,1.0,1.0,50.0
ERC2,0.0,1.0,0.0,1.0,50.0
KLF3,0.0,1.0,0.0,1.0,50.0
TCF12,0.0,1.0,1.0,0.0,50.0
VKORC1L1,0.0,0.0,1.0,1.0,50.0
AZIN1,0.0,1.0,0.0,1.0,50.0
EXTL3,0.0,0.0,1.0,1.0,50.0
TPM3,1.0,0.0,0.0,1.0,50.0
NUFIP2,0.0,0.0,0.0,1.0,25.0
PANK2,0.0,0.0,1.0,0.0,25.0
PCMTD1,0.0,0.0,0.0,1.0,25.0
PIKFYVE,0.0,0.0,0.0,1.0,25.0
ORMDL1,0.0,0.0,1.0,0.0,25.0
PLSCR1,0.0,0.0,0.0,1.0,25.0
PPP2R5A,0.0,0.0,0.0,1.0,25.0
NSF,0.0,0.0,0.0,1.0,25.0
PTAR1,0.0,0.0,0.0,1.0,25.0
RASA2,1.0,0.0,0.0,0.0,25.0
NFYC,0.0,0.0,0.0,1.0,25.0
RHOBTB3,0.0,0.0,0.0,1.0,25.0
PAK2,0.0,0.0,0.0,1.0,25.0
SEC23A,0.0,0.0,0.0,1.0,25.0
SAMD8,0.0,0.0,0.0,1.0,25.0
TBC1D8,0.0,0.0,0.0,1.0,25.0
ZNF83,0.0,0.0,1.0,0.0,25.0
ZDHHC5,0.0,0.0,1.0,0.0,25.0
UBXN4,0.0,0.0,0.0,1.0,25.0
TMEM263,0.0,0.0,0.0,1.0,25.0
TLR2,0.0,0.0,0.0,1.0,25.0
TLK1,0.0,0.0,0.0,1.0,25.0
TFEB,0.0,0.0,1.0,0.0,25.0
TEX10,0.0,0.0,1.0,0.0,25.0
TBK1,0.0,0.0,0.0,1.0,25.0
TAF4,0.0,0.0,0.0,1.0,25.0
SDCBP,0.0,0.0,0.0,1.0,25.0
STT3B,0.0,0.0,0.0,1.0,25.0
SRGAP2-AS1,0.0,0.0,0.0,1.0,25.0
SNX19,0.0,0.0,1.0,0.0,25.0
SMARCA1,0.0,0.0,0.0,1.0,25.0
SLC12A9,0.0,0.0,0.0,1.0,25.0
SIRPA,0.0,0.0,0.0,1.0,25.0
SETD3,0.0,0.0,0.0,1.0,25.0
SETBP1,0.0,0.0,0.0,1.0,25.0
NDFIP1,0.0,0.0,0.0,1.0,25.0
NETO2,0.0,0.0,0.0,1.0,25.0
ADAM9,0.0,0.0,0.0,1.0,25.0
NCOA7,0.0,0.0,0.0,1.0,25.0
MYOF,0.0,0.0,1.0,0.0,25.0
DDX6,0.0,0.0,0.0,1.0,25.0
DCAF5,0.0,0.0,0.0,1.0,25.0
CYLD,0.0,0.0,0.0,1.0,25.0
CUL4A,0.0,0.0,0.0,1.0,25.0
CUL3,0.0,0.0,0.0,1.0,25.0
CTTNBP2,0.0,0.0,0.0,1.0,25.0
CTBP2,0.0,0.0,1.0,0.0,25.0
CHD1,0.0,0.0,0.0,1.0,25.0
CEBPD,0.0,0.0,1.0,0.0,25.0
CDYL,0.0,1.0,0.0,0.0,25.0
CD93,1.0,0.0,0.0,0.0,25.0
CBWD6,0.0,0.0,1.0,0.0,25.0
CBWD3,0.0,0.0,1.0,0.0,25.0
C9orf84,1.0,0.0,0.0,0.0,25.0
C1GALT1,0.0,0.0,0.0,1.0,25.0
C11orf65,1.0,0.0,0.0,0.0,25.0
ARID4A,0.0,0.0,0.0,1.0,25.0
ANXA4,0.0,0.0,0.0,1.0,25.0
ALOX5AP,0.0,0.0,0.0,1.0,25.0
DECR1,0.0,0.0,0.0,1.0,25.0
DEK,0.0,1.0,0.0,0.0,25.0
DICER1,0.0,0.0,0.0,1.0,25.0
GTF2IRD2B,0.0,0.0,0.0,1.0,25.0
MSR1,1.0,0.0,0.0,0.0,25.0
MIER1,0.0,0.0,0.0,1.0,25.0
ALKBH3,1.0,0.0,0.0,0.0,25.0
MAP3K8,1.0,0.0,0.0,0.0,25.0
LEPR,0.0,0.0,0.0,1.0,25.0
KIAA2026,0.0,0.0,0.0,1.0,25.0
INTS6,0.0,0.0,1.0,0.0,25.0
HEXB,0.0,0.0,1.0,0.0,25.0
GPBP1,0.0,0.0,0.0,1.0,25.0
DRAM2,0.0,0.0,0.0,1.0,25.0
GPAT4,0.0,0.0,0.0,1.0,25.0
GNG12-AS1,0.0,0.0,0.0,1.0,25.0
GAA,0.0,0.0,0.0,1.0,25.0
FRS2,0.0,0.0,0.0,1.0,25.0
FNBP1,0.0,0.0,0.0,1.0,25.0
EPN2,0.0,0.0,0.0,1.0,25.0
ELMSAN1,0.0,0.0,0.0,1.0,25.0
EIF4E,0.0,0.0,0.0,1.0,25.0
MFN1,0.0,0.0,0.0,1.0,25.0
