,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZNF92,1.0,1.0,1.0,1.0,100.0
ERGIC2,1.0,1.0,1.0,1.0,100.0
FOXJ3,1.0,1.0,1.0,1.0,100.0
PNKP,1.0,1.0,1.0,1.0,100.0
PPP1CC,1.0,1.0,1.0,1.0,100.0
FCGR3A,1.0,1.0,1.0,1.0,100.0
FCGBP,1.0,1.0,1.0,1.0,100.0
PPP1R3B,1.0,1.0,1.0,1.0,100.0
FAM185A,1.0,1.0,1.0,1.0,100.0
FAM129A,1.0,1.0,1.0,1.0,100.0
FAM126B,1.0,1.0,1.0,1.0,100.0
FAM117B,1.0,1.0,1.0,1.0,100.0
FAM114A1,1.0,1.0,1.0,1.0,100.0
PRMT1,1.0,1.0,1.0,1.0,100.0
ETV6,1.0,1.0,1.0,1.0,100.0
ETF1,1.0,1.0,1.0,1.0,100.0
ERC2,1.0,1.0,1.0,1.0,100.0
DHX8,1.0,1.0,1.0,1.0,100.0
EPHA6,1.0,1.0,1.0,1.0,100.0
EIF3A,1.0,1.0,1.0,1.0,100.0
PSMG4,1.0,1.0,1.0,1.0,100.0
EGR4,1.0,1.0,1.0,1.0,100.0
EFCAB13,1.0,1.0,1.0,1.0,100.0
EBPL,1.0,1.0,1.0,1.0,100.0
PSTPIP1,1.0,1.0,1.0,1.0,100.0
PTBP1,1.0,1.0,1.0,1.0,100.0
PTPN1,1.0,1.0,1.0,1.0,100.0
PTRH2,1.0,1.0,1.0,1.0,100.0
RAB11A,1.0,1.0,1.0,1.0,100.0
LINC01193,1.0,1.0,1.0,1.0,100.0
RAD54L2,1.0,1.0,1.0,1.0,100.0
RFWD3,1.0,1.0,1.0,1.0,100.0
PLD1,1.0,1.0,1.0,1.0,100.0
PISD,1.0,1.0,1.0,1.0,100.0
PHYKPL,1.0,1.0,1.0,1.0,100.0
PCGF3,1.0,1.0,1.0,1.0,100.0
LINC01483,1.0,1.0,1.0,1.0,100.0
LEMD3,1.0,1.0,1.0,1.0,100.0
LPCAT3,1.0,1.0,1.0,1.0,100.0
MANBAL,1.0,1.0,1.0,1.0,100.0
L3MBTL2,1.0,1.0,1.0,1.0,100.0
MLLT1,1.0,1.0,1.0,1.0,100.0
MORF4L2,1.0,1.0,1.0,1.0,100.0
KCTD5,1.0,1.0,1.0,1.0,100.0
MPRIP,1.0,1.0,1.0,1.0,100.0
MRPL3,1.0,1.0,1.0,1.0,100.0
MTIF3,1.0,1.0,1.0,1.0,100.0
IKZF5,1.0,1.0,1.0,1.0,100.0
MTMR4,1.0,1.0,1.0,1.0,100.0
HPRT1,1.0,1.0,1.0,1.0,100.0
NARF,1.0,1.0,1.0,1.0,100.0
NDEL1,1.0,1.0,1.0,1.0,100.0
HMGXB4,1.0,1.0,1.0,1.0,100.0
HLA-DRA,1.0,1.0,1.0,1.0,100.0
NEK11,1.0,1.0,1.0,1.0,100.0
HIST1H2BD,1.0,1.0,1.0,1.0,100.0
HERPUD1,1.0,1.0,1.0,1.0,100.0
NUP50,1.0,1.0,1.0,1.0,100.0
ORMDL1,1.0,1.0,1.0,1.0,100.0
OSBP,1.0,1.0,1.0,1.0,100.0
OXSR1,1.0,1.0,1.0,1.0,100.0
GSR,1.0,1.0,1.0,1.0,100.0
GRB2,1.0,1.0,1.0,1.0,100.0
GRAMD4,1.0,1.0,1.0,1.0,100.0
PARVB,1.0,1.0,1.0,1.0,100.0
RNF141,1.0,1.0,1.0,1.0,100.0
DNAJA2,1.0,1.0,1.0,1.0,100.0
RNF169,1.0,1.0,1.0,1.0,100.0
SP2-AS1,1.0,1.0,1.0,1.0,100.0
SRPRA,1.0,1.0,1.0,1.0,100.0
SALL1,1.0,1.0,1.0,1.0,100.0
TAPT1,1.0,1.0,1.0,1.0,100.0
TBRG1,1.0,1.0,1.0,1.0,100.0
TESC,1.0,1.0,1.0,1.0,100.0
THEMIS,1.0,1.0,1.0,1.0,100.0
BARD1,1.0,1.0,1.0,1.0,100.0
TMEM163,1.0,1.0,1.0,1.0,100.0
B4GALT4,1.0,1.0,1.0,1.0,100.0
AZI2,1.0,1.0,1.0,1.0,100.0
TMEM267,1.0,1.0,1.0,1.0,100.0
ATP2A2,1.0,1.0,1.0,1.0,100.0
TNFAIP3,1.0,1.0,1.0,1.0,100.0
ATL3,1.0,1.0,1.0,1.0,100.0
TRAPPC12,1.0,1.0,1.0,1.0,100.0
ASPM,1.0,1.0,1.0,1.0,100.0
ASCC3,1.0,1.0,1.0,1.0,100.0
TRIM5,1.0,1.0,1.0,1.0,100.0
TUBGCP5,1.0,1.0,1.0,1.0,100.0
ARHGAP26,1.0,1.0,1.0,1.0,100.0
USP10,1.0,1.0,1.0,1.0,100.0
USP7,1.0,1.0,1.0,1.0,100.0
VKORC1L1,1.0,1.0,1.0,1.0,100.0
APC,1.0,1.0,1.0,1.0,100.0
VRK2,1.0,1.0,1.0,1.0,100.0
AP4S1,1.0,1.0,1.0,1.0,100.0
VSIG4,1.0,1.0,1.0,1.0,100.0
ANKRD36C,1.0,1.0,1.0,1.0,100.0
ZNF41,1.0,1.0,1.0,1.0,100.0
SPNS3,1.0,1.0,1.0,1.0,100.0
LINC00476,1.0,1.0,1.0,1.0,100.0
C1orf159,1.0,1.0,1.0,1.0,100.0
SLA,1.0,1.0,1.0,1.0,100.0
C22orf34,1.0,1.0,1.0,1.0,100.0
SLC36A1,1.0,1.0,1.0,1.0,100.0
CEP89,1.0,1.0,1.0,1.0,100.0
SLC2A3,1.0,1.0,1.0,1.0,100.0
CNOT1,1.0,1.0,1.0,1.0,100.0
SLC1A4,1.0,1.0,1.0,1.0,100.0
SKAP1,1.0,1.0,1.0,1.0,100.0
SNRPB2,1.0,1.0,1.0,1.0,100.0
SHOC2,1.0,1.0,1.0,1.0,100.0
SEL1L,1.0,1.0,1.0,1.0,100.0
CYTIP,1.0,1.0,1.0,1.0,100.0
SCO1,1.0,1.0,1.0,1.0,100.0
DDIT4,1.0,1.0,1.0,1.0,100.0
SBNO2,1.0,1.0,1.0,1.0,100.0
SMG1,1.0,1.0,1.0,1.0,100.0
CEBPG,1.0,1.0,1.0,1.0,100.0
CCNYL1,1.0,1.0,1.0,1.0,100.0
C7orf50,1.0,1.0,1.0,1.0,100.0
