,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
FNDC3B,1.0,1.0,1.0,1.0,100.0
FMN1,1.0,1.0,1.0,1.0,100.0
NEAT1,1.0,1.0,1.0,1.0,100.0
PARVB,1.0,1.0,1.0,1.0,100.0
LITAF,1.0,1.0,1.0,1.0,100.0
MAFG,1.0,1.0,1.0,1.0,100.0
SLC11A2,1.0,1.0,1.0,1.0,100.0
PLXNA1,1.0,1.0,1.0,1.0,100.0
GALNT10,1.0,1.0,1.0,1.0,100.0
HSPH1,1.0,1.0,1.0,1.0,100.0
RPL37A,1.0,1.0,0.0,1.0,75.0
PCBP1,1.0,0.0,1.0,1.0,75.0
ERI3,1.0,1.0,0.0,1.0,75.0
EHD4,1.0,1.0,0.0,1.0,75.0
HSPA1B,1.0,0.0,1.0,1.0,75.0
MAGT1,1.0,0.0,1.0,1.0,75.0
CHM,1.0,1.0,0.0,1.0,75.0
CHI3L1,0.0,1.0,1.0,1.0,75.0
BTRC,1.0,1.0,1.0,0.0,75.0
SYNJ1,1.0,1.0,0.0,1.0,75.0
ARHGAP31,1.0,1.0,0.0,1.0,75.0
IFIH1,1.0,1.0,1.0,0.0,75.0
ACSL1,1.0,1.0,1.0,0.0,75.0
SH3PXD2B,1.0,1.0,1.0,0.0,75.0
AASDHPPT,0.0,1.0,1.0,0.0,50.0
MYO1E,1.0,1.0,0.0,0.0,50.0
SCFD2,0.0,1.0,1.0,0.0,50.0
SLC25A46,0.0,1.0,1.0,0.0,50.0
STK38,1.0,0.0,0.0,1.0,50.0
UQCRB,1.0,0.0,1.0,0.0,50.0
PYGL,0.0,1.0,1.0,0.0,50.0
LRP1,0.0,0.0,1.0,1.0,50.0
CPPED1,1.0,0.0,1.0,0.0,50.0
HSPA1A,0.0,0.0,1.0,1.0,50.0
EXT2,1.0,1.0,0.0,0.0,50.0
FAM185A,1.0,0.0,0.0,1.0,50.0
RAB1B,0.0,1.0,0.0,0.0,25.0
RHOG,0.0,1.0,0.0,0.0,25.0
RPL28,0.0,1.0,0.0,0.0,25.0
CRLS1,0.0,0.0,1.0,0.0,25.0
RPS12,0.0,1.0,0.0,0.0,25.0
RUSC2,0.0,0.0,1.0,0.0,25.0
RXRA,0.0,1.0,0.0,0.0,25.0
SAP30,0.0,1.0,0.0,0.0,25.0
HSPB1,0.0,0.0,1.0,0.0,25.0
SDCBP,0.0,0.0,0.0,1.0,25.0
CMSS1,0.0,1.0,0.0,0.0,25.0
CEBPB,0.0,1.0,0.0,0.0,25.0
CD163,0.0,1.0,0.0,0.0,25.0
STAB1,0.0,0.0,0.0,1.0,25.0
CAPG,0.0,0.0,1.0,0.0,25.0
ARL17A,0.0,0.0,0.0,1.0,25.0
TRMT13,0.0,0.0,1.0,0.0,25.0
ANP32B,1.0,0.0,0.0,0.0,25.0
VASP,0.0,1.0,0.0,0.0,25.0
RASGEF1B,1.0,0.0,0.0,0.0,25.0
CYTIP,0.0,1.0,0.0,0.0,25.0
QRSL1,0.0,0.0,0.0,1.0,25.0
PPTC7,0.0,1.0,0.0,0.0,25.0
IGF2R,1.0,0.0,0.0,0.0,25.0
LARP1,0.0,0.0,1.0,0.0,25.0
GLRX,0.0,0.0,1.0,0.0,25.0
LPCAT1,0.0,1.0,0.0,0.0,25.0
ACADVL,0.0,0.0,0.0,1.0,25.0
GK,0.0,0.0,1.0,0.0,25.0
GGA2,0.0,0.0,0.0,1.0,25.0
MITF,0.0,1.0,0.0,0.0,25.0
MRPS6,0.0,1.0,0.0,0.0,25.0
FYTTD1,0.0,1.0,0.0,0.0,25.0
MYO9B,0.0,1.0,0.0,0.0,25.0
NCK2,0.0,1.0,0.0,0.0,25.0
FAM208B,0.0,1.0,0.0,0.0,25.0
NINJ1,0.0,1.0,0.0,0.0,25.0
PARVG,1.0,0.0,0.0,0.0,25.0
PDIA6,0.0,1.0,0.0,0.0,25.0
DLGAP4,0.0,1.0,0.0,0.0,25.0
YBX1,0.0,1.0,0.0,0.0,25.0
