,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
MEF2C,1.0,1.0,1.0,1.0,100.0
SYK,1.0,1.0,1.0,1.0,100.0
PLCL2,1.0,1.0,1.0,1.0,100.0
FGD2,1.0,1.0,1.0,1.0,100.0
FOXN3,1.0,1.0,1.0,1.0,100.0
GAB3,1.0,1.0,1.0,1.0,100.0
GYPC,1.0,1.0,1.0,1.0,100.0
RPS19,1.0,1.0,1.0,1.0,100.0
BTBD2,1.0,1.0,1.0,1.0,100.0
ULK3,1.0,1.0,1.0,1.0,100.0
ITM2B,1.0,1.0,1.0,1.0,100.0
ANXA4,1.0,1.0,1.0,1.0,100.0
IGF1,1.0,1.0,0.0,1.0,75.0
ETV5,0.0,1.0,1.0,1.0,75.0
SLC4A8,0.0,1.0,1.0,1.0,75.0
HMGB1,1.0,0.0,1.0,1.0,75.0
NFYC,1.0,0.0,1.0,1.0,75.0
MAST2,0.0,1.0,1.0,1.0,75.0
FAM168B,1.0,0.0,1.0,1.0,75.0
EPHB2,1.0,0.0,1.0,1.0,75.0
CD9,0.0,1.0,1.0,1.0,75.0
CNBP,1.0,0.0,1.0,1.0,75.0
BBS9,0.0,1.0,1.0,1.0,75.0
SALL1,1.0,1.0,0.0,1.0,75.0
RYK,1.0,0.0,1.0,1.0,75.0
CFL1,1.0,0.0,1.0,1.0,75.0
MTSS1,0.0,1.0,1.0,1.0,75.0
PTMS,1.0,0.0,1.0,1.0,75.0
DIP2B,1.0,0.0,1.0,1.0,75.0
RPL13,1.0,0.0,0.0,1.0,50.0
PDE4DIP,1.0,0.0,0.0,1.0,50.0
SNX18,0.0,1.0,0.0,1.0,50.0
PDCD4,1.0,0.0,0.0,1.0,50.0
NPAS3,1.0,0.0,0.0,1.0,50.0
PSAP,0.0,1.0,0.0,1.0,50.0
NINJ1,1.0,0.0,0.0,1.0,50.0
SERPINB9P1,0.0,1.0,0.0,1.0,50.0
SFMBT2,0.0,1.0,0.0,1.0,50.0
SRGAP2B,1.0,0.0,0.0,1.0,50.0
HS3ST4,1.0,0.0,0.0,1.0,50.0
SGTA,0.0,1.0,0.0,1.0,50.0
IRF2BP2,1.0,0.0,0.0,1.0,50.0
IL6ST,1.0,0.0,1.0,0.0,50.0
GPATCH2L,1.0,0.0,1.0,0.0,50.0
ZNF281,0.0,1.0,0.0,1.0,50.0
TMEM243,1.0,0.0,1.0,0.0,50.0
TMIGD3,1.0,0.0,0.0,1.0,50.0
KIF14,0.0,1.0,0.0,1.0,50.0
BIN1,1.0,0.0,0.0,1.0,50.0
CA8,0.0,0.0,1.0,1.0,50.0
UBA52,1.0,0.0,0.0,0.0,25.0
XIST,1.0,0.0,0.0,0.0,25.0
STX8,1.0,0.0,0.0,0.0,25.0
SLC9A9,1.0,0.0,0.0,0.0,25.0
TUBB,0.0,0.0,1.0,0.0,25.0
TSKU,0.0,0.0,1.0,0.0,25.0
TBXAS1,0.0,0.0,0.0,1.0,25.0
SLCO2B1,0.0,0.0,1.0,0.0,25.0
ANP32A,0.0,0.0,1.0,0.0,25.0
RPL21,1.0,0.0,0.0,0.0,25.0
RANGAP1,1.0,0.0,0.0,0.0,25.0
PELI1,0.0,1.0,0.0,0.0,25.0
NAV2,0.0,0.0,1.0,0.0,25.0
MARCKS,0.0,0.0,0.0,1.0,25.0
HRH1,0.0,0.0,0.0,1.0,25.0
ELMO1,0.0,0.0,0.0,1.0,25.0
EDA,0.0,1.0,0.0,0.0,25.0
DCUN1D1,0.0,0.0,0.0,1.0,25.0
COL25A1,1.0,0.0,0.0,0.0,25.0
CHORDC1,0.0,0.0,1.0,0.0,25.0
CARD8,0.0,0.0,1.0,0.0,25.0
BMI1,0.0,0.0,1.0,0.0,25.0
ASAH1,0.0,0.0,1.0,0.0,25.0
ARSA,1.0,0.0,0.0,0.0,25.0
ZNF90,0.0,0.0,1.0,0.0,25.0
