,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
LINC00623,1.0,1.0,1.0,1.0,100.0
CBLL1,1.0,1.0,1.0,1.0,100.0
RASSF2,1.0,1.0,1.0,1.0,100.0
SIRT1,1.0,1.0,1.0,1.0,100.0
FCHO2,1.0,1.0,1.0,1.0,100.0
SMCHD1,1.0,1.0,1.0,1.0,100.0
PGGT1B,1.0,1.0,1.0,1.0,100.0
GABPB1-AS1,1.0,1.0,1.0,1.0,100.0
GTF2H1,1.0,1.0,1.0,1.0,100.0
IMMT,1.0,1.0,1.0,1.0,100.0
CDC27,1.0,1.0,1.0,1.0,100.0
FAM208A,1.0,1.0,1.0,1.0,100.0
ADAM17,1.0,1.0,1.0,1.0,100.0
ZNF518A,1.0,1.0,1.0,1.0,100.0
ZMAT3,1.0,1.0,1.0,1.0,100.0
KRR1,1.0,1.0,1.0,1.0,100.0
MAPK8IP3,1.0,1.0,0.0,1.0,75.0
FKBP3,1.0,1.0,1.0,0.0,75.0
PKP4,0.0,1.0,1.0,1.0,75.0
PHF6,0.0,1.0,1.0,1.0,75.0
KRCC1,0.0,1.0,1.0,1.0,75.0
IRS2,1.0,0.0,1.0,1.0,75.0
ITM2B,0.0,1.0,1.0,1.0,75.0
KLHL18,1.0,0.0,1.0,1.0,75.0
GTF2IRD2,0.0,1.0,1.0,1.0,75.0
MTPAP,1.0,1.0,1.0,0.0,75.0
MTMR9,1.0,1.0,1.0,0.0,75.0
LINC01468,1.0,1.0,1.0,0.0,75.0
MSL3,0.0,1.0,1.0,1.0,75.0
METTL3,1.0,1.0,1.0,0.0,75.0
MAX,1.0,1.0,1.0,0.0,75.0
GLIS3,1.0,1.0,0.0,1.0,75.0
ZNF787,1.0,1.0,1.0,0.0,75.0
FAM174B,1.0,1.0,1.0,0.0,75.0
RNASEH2B,1.0,1.0,1.0,0.0,75.0
ZDHHC21,1.0,1.0,1.0,0.0,75.0
WNT5A,0.0,1.0,1.0,1.0,75.0
USPL1,1.0,1.0,1.0,0.0,75.0
USP53,0.0,1.0,1.0,1.0,75.0
C9orf92,1.0,1.0,1.0,0.0,75.0
UNC79,1.0,1.0,1.0,0.0,75.0
TRAF3IP3,1.0,1.0,1.0,0.0,75.0
TMEM50B,0.0,1.0,1.0,1.0,75.0
CCDC125,1.0,1.0,1.0,0.0,75.0
THBS1,0.0,1.0,1.0,1.0,75.0
CHD1,0.0,1.0,1.0,1.0,75.0
TGS1,1.0,0.0,1.0,1.0,75.0
TFDP1,1.0,1.0,1.0,0.0,75.0
DHX35,1.0,1.0,1.0,0.0,75.0
STK17A,1.0,1.0,1.0,0.0,75.0
RSRP1,1.0,1.0,1.0,0.0,75.0
EMB,0.0,1.0,1.0,1.0,75.0
SLC4A4,1.0,0.0,1.0,1.0,75.0
REV3L,1.0,0.0,1.0,1.0,75.0
STXBP5L,0.0,1.0,1.0,1.0,75.0
TADA3,1.0,1.0,1.0,0.0,75.0
MRC2,0.0,1.0,1.0,0.0,50.0
PHF3,0.0,0.0,1.0,1.0,50.0
TBXAS1,0.0,0.0,1.0,1.0,50.0
MERTK,0.0,1.0,1.0,0.0,50.0
SNX5,1.0,0.0,1.0,0.0,50.0
PLSCR1,0.0,1.0,0.0,1.0,50.0
PDE4A,1.0,0.0,1.0,0.0,50.0
PSMB7,0.0,1.0,1.0,0.0,50.0
NAA16,0.0,0.0,1.0,1.0,50.0
NRF1,0.0,0.0,1.0,1.0,50.0
ABCA1,0.0,1.0,0.0,1.0,50.0
DENND6A,0.0,0.0,1.0,1.0,50.0
DCP1A,0.0,1.0,1.0,0.0,50.0
EZH2,0.0,0.0,1.0,1.0,50.0
DLEU7,1.0,1.0,0.0,0.0,50.0
CUL4B,1.0,1.0,0.0,0.0,50.0
FAM177B,1.0,1.0,0.0,0.0,50.0
CACNB4,0.0,1.0,0.0,1.0,50.0
C9orf84,1.0,0.0,1.0,0.0,50.0
HEATR1,0.0,0.0,1.0,1.0,50.0
CRIM1,0.0,0.0,0.0,1.0,25.0
TALDO1,1.0,0.0,0.0,0.0,25.0
TAF7,0.0,0.0,1.0,0.0,25.0
LYSMD3,0.0,0.0,1.0,0.0,25.0
DDX5,1.0,0.0,0.0,0.0,25.0
CCDC50,0.0,0.0,1.0,0.0,25.0
ST3GAL1,1.0,0.0,0.0,0.0,25.0
SRBD1,0.0,0.0,0.0,1.0,25.0
DHX8,0.0,1.0,0.0,0.0,25.0
SNRNP48,0.0,1.0,0.0,0.0,25.0
SNRNP35,0.0,1.0,0.0,0.0,25.0
CPSF3,0.0,1.0,0.0,0.0,25.0
CARD8,1.0,0.0,0.0,0.0,25.0
CBR1,0.0,1.0,0.0,0.0,25.0
ZBTB11,1.0,0.0,0.0,0.0,25.0
ZNF708,0.0,0.0,1.0,0.0,25.0
AP1B1,0.0,1.0,0.0,0.0,25.0
APPL1,0.0,1.0,0.0,0.0,25.0
ZFAND6,0.0,0.0,0.0,1.0,25.0
BCO2,0.0,1.0,0.0,0.0,25.0
ZDHHC2,0.0,0.0,1.0,0.0,25.0
ZBTB1,0.0,0.0,1.0,0.0,25.0
SLC38A10,0.0,0.0,1.0,0.0,25.0
C3,0.0,1.0,0.0,0.0,25.0
WDR43,1.0,0.0,0.0,0.0,25.0
UTP18,1.0,0.0,0.0,0.0,25.0
C9orf72,0.0,1.0,0.0,0.0,25.0
USP22,0.0,1.0,0.0,0.0,25.0
TUBGCP3,0.0,0.0,0.0,1.0,25.0
EFHC1,0.0,1.0,0.0,0.0,25.0
SEC14L1,0.0,0.0,1.0,0.0,25.0
ESR1,0.0,0.0,1.0,0.0,25.0
MAP3K3,0.0,0.0,1.0,0.0,25.0
PARP4,0.0,0.0,0.0,1.0,25.0
OLMALINC,0.0,1.0,0.0,0.0,25.0
GTF2H3,0.0,1.0,0.0,0.0,25.0
MTUS1,0.0,0.0,1.0,0.0,25.0
HERPUD2,1.0,0.0,0.0,0.0,25.0
IKBKB,1.0,0.0,0.0,0.0,25.0
IKZF2,0.0,0.0,1.0,0.0,25.0
IL10RA,0.0,1.0,0.0,0.0,25.0
MIR181A1HG,0.0,1.0,0.0,0.0,25.0
ILF2,1.0,0.0,0.0,0.0,25.0
IST1,0.0,0.0,0.0,1.0,25.0
MDM2,0.0,0.0,1.0,0.0,25.0
ABCG1,0.0,0.0,1.0,0.0,25.0
JARID2,0.0,0.0,1.0,0.0,25.0
KLHL23,0.0,0.0,0.0,1.0,25.0
PCYT1A,0.0,1.0,0.0,0.0,25.0
GAPVD1,1.0,0.0,0.0,0.0,25.0
G2E3,0.0,0.0,0.0,1.0,25.0
PRPF38B,0.0,1.0,0.0,0.0,25.0
RPL15,1.0,0.0,0.0,0.0,25.0
RNASEH2B-AS1,0.0,0.0,0.0,1.0,25.0
FAM13A,1.0,0.0,0.0,0.0,25.0
FAT3,0.0,1.0,0.0,0.0,25.0
PSTPIP2,0.0,0.0,1.0,0.0,25.0
FKBP2,0.0,1.0,0.0,0.0,25.0
PRKAR1A,0.0,1.0,0.0,0.0,25.0
PHACTR1,1.0,0.0,0.0,0.0,25.0
