,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ISM1,1.0,1.0,1.0,1.0,100.0
GMDS,1.0,1.0,1.0,1.0,100.0
KPNA1,1.0,1.0,1.0,1.0,100.0
TNFRSF11A,1.0,1.0,1.0,1.0,100.0
LHFPL2,1.0,1.0,1.0,1.0,100.0
LIN54,1.0,1.0,1.0,1.0,100.0
LMBRD2,1.0,1.0,1.0,1.0,100.0
LMNB1,1.0,1.0,1.0,1.0,100.0
LYN,1.0,1.0,1.0,1.0,100.0
TM9SF3,1.0,1.0,1.0,1.0,100.0
MAP4,1.0,1.0,1.0,1.0,100.0
MAP7D3,1.0,1.0,1.0,1.0,100.0
MBNL3,1.0,1.0,1.0,1.0,100.0
TEAD1,1.0,1.0,1.0,1.0,100.0
MFSD14C,1.0,1.0,1.0,1.0,100.0
MIER3,1.0,1.0,1.0,1.0,100.0
MIOS,1.0,1.0,1.0,1.0,100.0
TDRD7,1.0,1.0,1.0,1.0,100.0
TCF12,1.0,1.0,1.0,1.0,100.0
TCERG1,1.0,1.0,1.0,1.0,100.0
NAA35,1.0,1.0,1.0,1.0,100.0
KLHL8,1.0,1.0,1.0,1.0,100.0
KLHL2,1.0,1.0,1.0,1.0,100.0
KLF3,1.0,1.0,1.0,1.0,100.0
ITCH,1.0,1.0,1.0,1.0,100.0
TRAF5,1.0,1.0,1.0,1.0,100.0
GPD2,1.0,1.0,1.0,1.0,100.0
GTDC1,1.0,1.0,1.0,1.0,100.0
HEATR5A,1.0,1.0,1.0,1.0,100.0
HNRNPF,1.0,1.0,1.0,1.0,100.0
HOOK3,1.0,1.0,1.0,1.0,100.0
IBTK,1.0,1.0,1.0,1.0,100.0
TRAF3IP2-AS1,1.0,1.0,1.0,1.0,100.0
ITGB1,1.0,1.0,1.0,1.0,100.0
KIF2A,1.0,1.0,1.0,1.0,100.0
