,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ABCD3,1.0,1.0,1.0,1.0,100.0
OSBPL9,1.0,1.0,1.0,1.0,100.0
RIF1,1.0,1.0,1.0,1.0,100.0
RHBDD1,1.0,1.0,1.0,1.0,100.0
RASA3,1.0,1.0,1.0,1.0,100.0
PTPRK,1.0,1.0,1.0,1.0,100.0
PRDM10,1.0,1.0,1.0,1.0,100.0
PPM1B,1.0,1.0,1.0,1.0,100.0
POGZ,1.0,1.0,1.0,1.0,100.0
PCNX1,1.0,1.0,1.0,1.0,100.0
PCMTD1,1.0,1.0,1.0,1.0,100.0
OVCH1-AS1,1.0,1.0,1.0,1.0,100.0
NCOR1,1.0,1.0,1.0,1.0,100.0
RMDN2,1.0,1.0,1.0,1.0,100.0
NCK1,1.0,1.0,1.0,1.0,100.0
NAMPT,1.0,1.0,1.0,1.0,100.0
NAB1,1.0,1.0,1.0,1.0,100.0
NAA15,1.0,1.0,1.0,1.0,100.0
MFF,1.0,1.0,1.0,1.0,100.0
MCTP1,1.0,1.0,1.0,1.0,100.0
MARCH6,1.0,1.0,1.0,1.0,100.0
L3MBTL4,1.0,1.0,1.0,1.0,100.0
KLHL2,1.0,1.0,1.0,1.0,100.0
KIAA0232,1.0,1.0,1.0,1.0,100.0
RLIM,1.0,1.0,1.0,1.0,100.0
SAMD8,1.0,1.0,1.0,1.0,100.0
KCNB2,1.0,1.0,1.0,1.0,100.0
TMEM170B,1.0,1.0,1.0,1.0,100.0
ZNF704,1.0,1.0,1.0,1.0,100.0
ZNF592,1.0,1.0,1.0,1.0,100.0
XPO7,1.0,1.0,1.0,1.0,100.0
WWP1,1.0,1.0,1.0,1.0,100.0
VAPB,1.0,1.0,1.0,1.0,100.0
TTLL7,1.0,1.0,1.0,1.0,100.0
TTBK2,1.0,1.0,1.0,1.0,100.0
TSC22D2,1.0,1.0,1.0,1.0,100.0
TRIM13,1.0,1.0,1.0,1.0,100.0
TMEM30A,1.0,1.0,1.0,1.0,100.0
TET2,1.0,1.0,1.0,1.0,100.0
SCMH1,1.0,1.0,1.0,1.0,100.0
TBPL1,1.0,1.0,1.0,1.0,100.0
TBC1D20,1.0,1.0,1.0,1.0,100.0
TAPT1,1.0,1.0,1.0,1.0,100.0
STT3B,1.0,1.0,1.0,1.0,100.0
SNX14,1.0,1.0,1.0,1.0,100.0
