,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
TAPT1,1.0,1.0,1.0,1.0,100.0
FAM214A,1.0,1.0,1.0,1.0,100.0
PELI2,1.0,1.0,1.0,1.0,100.0
ZCCHC2,1.0,1.0,1.0,1.0,100.0
KLHL24,1.0,1.0,1.0,1.0,100.0
NOS1AP,1.0,1.0,1.0,1.0,100.0
PELI1,1.0,1.0,1.0,1.0,100.0
FOXP2,1.0,1.0,1.0,1.0,100.0
CECR2,1.0,1.0,1.0,1.0,100.0
CELF2,1.0,1.0,1.0,1.0,100.0
TBC1D1,1.0,1.0,1.0,1.0,100.0
LBR,1.0,1.0,1.0,1.0,100.0
DMTF1,1.0,1.0,1.0,1.0,100.0
RASGEF1B,1.0,1.0,1.0,1.0,100.0
SSBP2,1.0,1.0,1.0,1.0,100.0
LRRK2,1.0,1.0,1.0,1.0,100.0
NOL4L,0.0,1.0,1.0,1.0,75.0
MITF,0.0,1.0,1.0,1.0,75.0
JAK1,0.0,1.0,1.0,1.0,75.0
PLEKHG1,1.0,1.0,1.0,0.0,75.0
ANKRD46,0.0,1.0,1.0,1.0,75.0
PHF21A,0.0,1.0,1.0,1.0,75.0
KCNMA1,0.0,1.0,1.0,1.0,75.0
GPR155,0.0,1.0,1.0,1.0,75.0
ITPR2,0.0,1.0,1.0,1.0,75.0
HERPUD2,0.0,1.0,1.0,1.0,75.0
ANO6,0.0,1.0,1.0,1.0,75.0
XPO7,1.0,1.0,1.0,0.0,75.0
ARID2,1.0,1.0,0.0,1.0,75.0
C16orf87,1.0,0.0,1.0,1.0,75.0
PDGFC,0.0,1.0,1.0,1.0,75.0
STAT5B,1.0,1.0,0.0,1.0,75.0
EML1,0.0,1.0,1.0,1.0,75.0
FKBP5,1.0,0.0,1.0,1.0,75.0
SESN3,0.0,1.0,1.0,1.0,75.0
PTPRM,0.0,1.0,0.0,1.0,50.0
VPS26A,1.0,1.0,0.0,0.0,50.0
SLC22A23,0.0,1.0,0.0,1.0,50.0
PKN2,0.0,1.0,0.0,1.0,50.0
PIP5K1B,0.0,0.0,1.0,1.0,50.0
PPARA,0.0,0.0,1.0,1.0,50.0
ABCA1,0.0,1.0,0.0,1.0,50.0
ELK3,1.0,0.0,1.0,0.0,50.0
PAK1,1.0,1.0,0.0,0.0,50.0
OGFRL1,1.0,1.0,0.0,0.0,50.0
NEDD4L,1.0,1.0,0.0,0.0,50.0
MOB3B,1.0,1.0,0.0,0.0,50.0
PDCD4,1.0,1.0,0.0,0.0,50.0
HDAC9,1.0,1.0,0.0,0.0,50.0
PDE9A,0.0,0.0,0.0,1.0,25.0
USP6NL,1.0,0.0,0.0,0.0,25.0
CCNG2,0.0,0.0,1.0,0.0,25.0
ARHGEF6,0.0,1.0,0.0,0.0,25.0
ZC3H6,1.0,0.0,0.0,0.0,25.0
ZC3H12C,0.0,0.0,1.0,0.0,25.0
TMEM170B,1.0,0.0,0.0,0.0,25.0
ARHGAP6,0.0,0.0,0.0,1.0,25.0
ZFHX3,0.0,0.0,1.0,0.0,25.0
TMEM68,0.0,1.0,0.0,0.0,25.0
STXBP5,0.0,0.0,0.0,1.0,25.0
CTSH,0.0,0.0,1.0,0.0,25.0
CTTNBP2,0.0,0.0,1.0,0.0,25.0
TANC1,1.0,0.0,0.0,0.0,25.0
DUSP22,0.0,0.0,0.0,1.0,25.0
FCHO2,1.0,0.0,0.0,0.0,25.0
LRCH3,0.0,0.0,0.0,1.0,25.0
PRKCH,0.0,0.0,0.0,1.0,25.0
MPP5,1.0,0.0,0.0,0.0,25.0
ZNF592,0.0,1.0,0.0,0.0,25.0
