,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
CDYL,1.0,1.0,1.0,1.0,100.0
TAF1D,1.0,1.0,1.0,1.0,100.0
CCZ1B,1.0,1.0,1.0,1.0,100.0
SEC24A,1.0,1.0,1.0,1.0,100.0
CXorf38,1.0,1.0,1.0,1.0,100.0
DBNL,1.0,1.0,1.0,1.0,100.0
RAB11FIP2,1.0,1.0,1.0,1.0,100.0
PTAR1,1.0,1.0,1.0,1.0,100.0
EIF2A,1.0,1.0,1.0,1.0,100.0
POLG2,1.0,1.0,1.0,1.0,100.0
PMM2,1.0,1.0,1.0,1.0,100.0
PDGFB,1.0,1.0,1.0,1.0,100.0
PDCD6,1.0,1.0,1.0,1.0,100.0
OSTM1,1.0,1.0,1.0,1.0,100.0
NDUFA13,1.0,1.0,1.0,1.0,100.0
NBPF12,1.0,1.0,1.0,1.0,100.0
MIR646HG,1.0,1.0,1.0,1.0,100.0
MEF2C,1.0,1.0,1.0,1.0,100.0
HSPA4,1.0,1.0,1.0,1.0,100.0
TAF1A,1.0,1.0,1.0,1.0,100.0
KIAA0232,1.0,1.0,1.0,1.0,100.0
THOC5,1.0,1.0,1.0,1.0,100.0
TTC31,1.0,1.0,1.0,1.0,100.0
ZNF267,1.0,1.0,1.0,1.0,100.0
ANKS3,1.0,1.0,1.0,1.0,100.0
ZNF160,1.0,1.0,1.0,1.0,100.0
ZNF100,1.0,1.0,1.0,1.0,100.0
ZFP62,1.0,1.0,1.0,1.0,100.0
WDR3,1.0,1.0,1.0,1.0,100.0
UBE4A,1.0,1.0,1.0,1.0,100.0
VPS36,1.0,1.0,1.0,1.0,100.0
TTC14,1.0,1.0,1.0,1.0,100.0
TMEM260,1.0,1.0,1.0,1.0,100.0
TMEM248,1.0,1.0,1.0,1.0,100.0
RB1,1.0,1.0,1.0,0.0,75.0
SFXN1,1.0,1.0,1.0,0.0,75.0
MAP3K11,1.0,1.0,0.0,1.0,75.0
ZRANB2,1.0,1.0,1.0,0.0,75.0
MAPK1IP1L,1.0,1.0,0.0,1.0,75.0
ZNF701,1.0,1.0,1.0,0.0,75.0
ZNF561,1.0,1.0,1.0,0.0,75.0
ZNF107,1.0,0.0,1.0,1.0,75.0
IRF4,1.0,1.0,1.0,0.0,75.0
UBAP2L,1.0,1.0,1.0,0.0,75.0
RNF214,1.0,1.0,1.0,0.0,75.0
PPP4R1,1.0,1.0,1.0,0.0,75.0
SIGLEC10,1.0,1.0,1.0,0.0,75.0
RNF135,1.0,1.0,0.0,1.0,75.0
PTPRO,1.0,0.0,1.0,1.0,75.0
NCK1,0.0,1.0,1.0,1.0,75.0
ZSWIM8,1.0,1.0,0.0,1.0,75.0
ANAPC10,1.0,1.0,0.0,1.0,75.0
CEP83,1.0,1.0,1.0,0.0,75.0
AP1B1,1.0,1.0,1.0,0.0,75.0
DAP,1.0,1.0,1.0,0.0,75.0
GART,1.0,1.0,0.0,1.0,75.0
AZIN1,1.0,1.0,0.0,1.0,75.0
AASDHPPT,0.0,1.0,1.0,0.0,50.0
CD163L1,1.0,0.0,1.0,0.0,50.0
FSD1L,1.0,1.0,0.0,0.0,50.0
FAM157C,1.0,0.0,1.0,0.0,50.0
ARHGAP30,1.0,0.0,1.0,0.0,50.0
ARHGEF9,1.0,0.0,0.0,1.0,50.0
PLEKHM3,1.0,0.0,0.0,1.0,50.0
ERCC6,1.0,0.0,1.0,0.0,50.0
PLIN2,1.0,0.0,0.0,1.0,50.0
ARHGAP18,1.0,1.0,0.0,0.0,50.0
PPP1R3E,1.0,1.0,0.0,0.0,50.0
ATP1B3,1.0,1.0,0.0,0.0,50.0
DSCAS,1.0,1.0,0.0,0.0,50.0
BACH1,1.0,1.0,0.0,0.0,50.0
TMEM255B,1.0,1.0,0.0,0.0,50.0
RNF4,1.0,1.0,0.0,0.0,50.0
SIPA1L3,1.0,0.0,1.0,0.0,50.0
NEDD1,1.0,0.0,1.0,0.0,50.0
OPHN1,0.0,1.0,0.0,1.0,50.0
CARD19,1.0,1.0,0.0,0.0,50.0
