,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
TCF12,1.0,1.0,1.0,1.0,100.0
STK3,1.0,1.0,1.0,1.0,100.0
PTPRE,1.0,1.0,1.0,1.0,100.0
HIVEP3,1.0,1.0,1.0,1.0,100.0
KCNIP1,1.0,1.0,1.0,1.0,100.0
IKZF1,1.0,0.0,1.0,1.0,75.0
TTC21B,1.0,0.0,1.0,1.0,75.0
ABHD12,1.0,0.0,1.0,1.0,75.0
TRAF3,1.0,0.0,1.0,1.0,75.0
XBP1,1.0,0.0,1.0,1.0,75.0
MAPKAPK2,1.0,0.0,1.0,1.0,75.0
QKI,1.0,0.0,1.0,1.0,75.0
MARK2,1.0,0.0,1.0,1.0,75.0
CAB39,1.0,0.0,1.0,1.0,75.0
SH3TC1,1.0,1.0,0.0,1.0,75.0
WNT5A,1.0,0.0,1.0,1.0,75.0
SETX,1.0,0.0,1.0,1.0,75.0
DEK,1.0,0.0,1.0,1.0,75.0
SLC43A2,1.0,1.0,1.0,0.0,75.0
PIK3CD,1.0,0.0,1.0,1.0,75.0
ACER3,0.0,1.0,1.0,1.0,75.0
NCK2,1.0,0.0,1.0,1.0,75.0
TBC1D14,1.0,1.0,0.0,1.0,75.0
ASAP1,1.0,0.0,1.0,1.0,75.0
NFATC2,1.0,0.0,1.0,1.0,75.0
PTPN2,1.0,1.0,0.0,1.0,75.0
HAMP,1.0,1.0,0.0,1.0,75.0
ANOS1,1.0,0.0,1.0,1.0,75.0
ANO10,1.0,0.0,1.0,1.0,75.0
OLA1,1.0,0.0,1.0,1.0,75.0
SLMAP,1.0,0.0,0.0,1.0,50.0
RUNX1,1.0,0.0,0.0,1.0,50.0
SBNO2,1.0,0.0,0.0,1.0,50.0
HDLBP,1.0,0.0,0.0,1.0,50.0
SLC7A1,1.0,0.0,0.0,1.0,50.0
IGF2R,1.0,0.0,0.0,1.0,50.0
HSP90B1,1.0,0.0,0.0,1.0,50.0
HRH2,1.0,0.0,0.0,1.0,50.0
RNGTT,1.0,0.0,0.0,1.0,50.0
LRRC58,1.0,0.0,0.0,1.0,50.0
LY96,0.0,1.0,1.0,0.0,50.0
KLHL2,1.0,0.0,0.0,1.0,50.0
MLLT10,1.0,0.0,0.0,1.0,50.0
PDIA4,1.0,0.0,0.0,1.0,50.0
OSM,1.0,0.0,0.0,1.0,50.0
NUFIP2,1.0,0.0,1.0,0.0,50.0
PVT1,1.0,0.0,0.0,1.0,50.0
MYOF,1.0,0.0,0.0,1.0,50.0
MTMR9,1.0,0.0,0.0,1.0,50.0
MTMR4,1.0,0.0,1.0,0.0,50.0
MTA3,1.0,0.0,0.0,1.0,50.0
MLEC,1.0,0.0,0.0,1.0,50.0
RBMS1,1.0,0.0,0.0,1.0,50.0
MKNK1,1.0,0.0,0.0,1.0,50.0
MIATNB,0.0,0.0,1.0,1.0,50.0
MAPKAP1,1.0,0.0,0.0,1.0,50.0
LPP,1.0,0.0,0.0,1.0,50.0
LPGAT1,1.0,0.0,1.0,0.0,50.0
LMO2,1.0,0.0,0.0,1.0,50.0
LMNB1,1.0,0.0,1.0,0.0,50.0
LCOR,0.0,0.0,1.0,1.0,50.0
GDI2,1.0,0.0,0.0,1.0,50.0
FLVCR2,1.0,0.0,0.0,1.0,50.0
FCGR1B,1.0,0.0,0.0,1.0,50.0
DLL4,1.0,0.0,0.0,1.0,50.0
DCP1A,1.0,0.0,0.0,1.0,50.0
TRPM2,1.0,1.0,0.0,0.0,50.0
CNTN4,1.0,0.0,1.0,0.0,50.0
CHST11,1.0,0.0,0.0,1.0,50.0
CELF1,1.0,0.0,0.0,1.0,50.0
CD163L1,1.0,0.0,0.0,1.0,50.0
VKORC1L1,1.0,0.0,0.0,1.0,50.0
VPS41,1.0,0.0,0.0,1.0,50.0
BIN1,1.0,0.0,1.0,0.0,50.0
BID,1.0,0.0,0.0,1.0,50.0
BCL2L2-PABPN1,1.0,0.0,0.0,1.0,50.0
ATP2A2,1.0,0.0,0.0,1.0,50.0
ZAP70,0.0,1.0,1.0,0.0,50.0
ASCC3,1.0,0.0,0.0,1.0,50.0
ARHGAP31,0.0,1.0,1.0,0.0,50.0
ZFAND3,1.0,0.0,0.0,1.0,50.0
ARHGAP26,0.0,1.0,0.0,1.0,50.0
ZMYM4,1.0,0.0,0.0,1.0,50.0
AGPAT3,1.0,0.0,1.0,0.0,50.0
TRAM2,0.0,1.0,1.0,0.0,50.0
PRKX,1.0,0.0,1.0,0.0,50.0
STK40,1.0,0.0,0.0,1.0,50.0
EGR4,0.0,0.0,1.0,1.0,50.0
ETV6,1.0,0.0,0.0,1.0,50.0
TBC1D8,1.0,0.0,0.0,1.0,50.0
FCGR1A,1.0,0.0,0.0,1.0,50.0
TBL1XR1,1.0,0.0,0.0,1.0,50.0
SLC39A11,0.0,0.0,1.0,0.0,25.0
XRN2,1.0,0.0,0.0,0.0,25.0
SYT17,1.0,0.0,0.0,0.0,25.0
PUM3,1.0,0.0,0.0,0.0,25.0
ZBTB7A,0.0,0.0,1.0,0.0,25.0
TPM3,1.0,0.0,0.0,0.0,25.0
SUSD6,0.0,1.0,0.0,0.0,25.0
PTPN1,0.0,0.0,1.0,0.0,25.0
SND1,1.0,0.0,0.0,0.0,25.0
ZNF398,0.0,0.0,0.0,1.0,25.0
SPIDR,0.0,0.0,1.0,0.0,25.0
PTK2,0.0,0.0,1.0,0.0,25.0
ZNF785,0.0,1.0,0.0,0.0,25.0
PRR14L,0.0,1.0,0.0,0.0,25.0
PYGL,0.0,0.0,0.0,1.0,25.0
TCOF1,0.0,0.0,1.0,0.0,25.0
SCAMP2,0.0,0.0,1.0,0.0,25.0
TGFBR1,1.0,0.0,0.0,0.0,25.0
TRAPPC12,0.0,0.0,1.0,0.0,25.0
TRERF1,0.0,0.0,1.0,0.0,25.0
