,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
UST,1.0,1.0,1.0,1.0,100.0
NECAB1,1.0,1.0,1.0,1.0,100.0
SH3YL1,1.0,1.0,1.0,1.0,100.0
TMA16,1.0,1.0,1.0,1.0,100.0
NCDN,1.0,1.0,1.0,1.0,100.0
ATP1A1,1.0,1.0,1.0,1.0,100.0
CALM1,1.0,1.0,1.0,1.0,100.0
RAB1B,1.0,1.0,0.0,1.0,75.0
CD81,1.0,1.0,1.0,0.0,75.0
THY1,1.0,1.0,1.0,0.0,75.0
SPARCL1,1.0,1.0,1.0,0.0,75.0
SCN1B,1.0,1.0,1.0,0.0,75.0
PSAP,1.0,1.0,1.0,0.0,75.0
AADACL2-AS1,1.0,1.0,1.0,0.0,75.0
RPS19,0.0,1.0,1.0,1.0,75.0
NFE2L1,1.0,1.0,1.0,0.0,75.0
SETD7,1.0,1.0,1.0,0.0,75.0
PPP2R1A,0.0,1.0,1.0,1.0,75.0
APOE,1.0,1.0,0.0,1.0,75.0
ZDBF2,0.0,1.0,1.0,1.0,75.0
HLA-DRB5,1.0,0.0,0.0,1.0,50.0
HSD17B12,0.0,1.0,1.0,0.0,50.0
GABRA1,1.0,0.0,1.0,0.0,50.0
S100A11,0.0,1.0,1.0,0.0,50.0
HCLS1,0.0,1.0,1.0,0.0,50.0
KCTD20,0.0,1.0,1.0,0.0,50.0
GFM1,1.0,0.0,1.0,0.0,50.0
HLA-DPA1,0.0,1.0,1.0,0.0,50.0
GLRX,0.0,1.0,0.0,1.0,50.0
GRIA3,0.0,1.0,0.0,1.0,50.0
HLA-DRA,0.0,1.0,0.0,1.0,50.0
MIA3,0.0,1.0,1.0,0.0,50.0
RIIAD1,0.0,1.0,0.0,1.0,50.0
MAP1B,0.0,1.0,1.0,0.0,50.0
MAT2B,0.0,0.0,1.0,1.0,50.0
ENTPD4,0.0,1.0,1.0,0.0,50.0
MNT,0.0,1.0,1.0,0.0,50.0
PSMD13,1.0,1.0,0.0,0.0,50.0
NAPB,0.0,1.0,0.0,1.0,50.0
PSMB2,1.0,0.0,1.0,0.0,50.0
PRPF4B,0.0,1.0,1.0,0.0,50.0
PRKAR1B,0.0,1.0,0.0,1.0,50.0
NORAD,0.0,0.0,1.0,1.0,50.0
NRGN,1.0,1.0,0.0,0.0,50.0
OGFRL1,1.0,1.0,0.0,0.0,50.0
PHYHIP,0.0,1.0,1.0,0.0,50.0
PIK3R1,0.0,1.0,1.0,0.0,50.0
FTL,0.0,1.0,1.0,0.0,50.0
PKM,0.0,1.0,1.0,0.0,50.0
SLC10A7,0.0,1.0,1.0,0.0,50.0
ASAH1,1.0,0.0,1.0,0.0,50.0
SYP,0.0,1.0,1.0,0.0,50.0
STXBP1,1.0,0.0,1.0,0.0,50.0
CANX,0.0,1.0,1.0,0.0,50.0
TGFBI,0.0,1.0,1.0,0.0,50.0
YWHAG,0.0,1.0,1.0,0.0,50.0
CCDC6,0.0,1.0,1.0,0.0,50.0
SYT2,0.0,0.0,1.0,1.0,50.0
SNAP25,0.0,1.0,1.0,0.0,50.0
DHFR,1.0,0.0,0.0,1.0,50.0
TEX10,0.0,1.0,1.0,0.0,50.0
E2F3,0.0,1.0,1.0,0.0,50.0
SLC30A7,0.0,1.0,0.0,1.0,50.0
AR,0.0,1.0,1.0,0.0,50.0
ANKMY2,0.0,1.0,1.0,0.0,50.0
ABCA5,0.0,1.0,1.0,0.0,50.0
TMEM176B,0.0,0.0,1.0,0.0,25.0
TMEM50A,0.0,0.0,0.0,1.0,25.0
TOLLIP,1.0,0.0,0.0,0.0,25.0
TRPS1,0.0,1.0,0.0,0.0,25.0
XPO5,0.0,1.0,0.0,0.0,25.0
UTP18,0.0,0.0,1.0,0.0,25.0
PRPSAP1,0.0,0.0,1.0,0.0,25.0
UTY,0.0,0.0,1.0,0.0,25.0
YKT6,0.0,1.0,0.0,0.0,25.0
ZBTB26,0.0,0.0,0.0,1.0,25.0
PRKACB,0.0,1.0,0.0,0.0,25.0
PREPL,0.0,0.0,1.0,0.0,25.0
TIMM9,0.0,0.0,0.0,1.0,25.0
TEP1,0.0,0.0,1.0,0.0,25.0
TEX2,0.0,0.0,1.0,0.0,25.0
RAN,0.0,0.0,1.0,0.0,25.0
PNPLA6,0.0,0.0,1.0,0.0,25.0
SLC12A8,0.0,0.0,1.0,0.0,25.0
SLC25A3,0.0,1.0,0.0,0.0,25.0
SLC9A6,0.0,0.0,0.0,1.0,25.0
SCN8A,0.0,0.0,1.0,0.0,25.0
SNHG7,0.0,0.0,1.0,0.0,25.0
SNX11,0.0,0.0,1.0,0.0,25.0
SORBS2,0.0,0.0,1.0,0.0,25.0
SCN1A,0.0,0.0,1.0,0.0,25.0
SPP1,0.0,1.0,0.0,0.0,25.0
SQSTM1,0.0,0.0,1.0,0.0,25.0
STEAP1B,0.0,0.0,1.0,0.0,25.0
RPL6,0.0,0.0,1.0,0.0,25.0
RPL34,0.0,1.0,0.0,0.0,25.0
RPL28,0.0,0.0,1.0,0.0,25.0
RNPS1,0.0,0.0,1.0,0.0,25.0
RNF157,0.0,1.0,0.0,0.0,25.0
SKP2,0.0,0.0,1.0,0.0,25.0
RASGEF1B,0.0,1.0,0.0,0.0,25.0
SHOC2,0.0,0.0,0.0,1.0,25.0
MRFAP1,0.0,0.0,1.0,0.0,25.0
PLAA,0.0,0.0,1.0,0.0,25.0
PIK3CG,0.0,0.0,1.0,0.0,25.0
DCUN1D5,0.0,0.0,1.0,0.0,25.0
CYCS,0.0,0.0,1.0,0.0,25.0
CWC25,0.0,0.0,1.0,0.0,25.0
CUL4B,0.0,0.0,1.0,0.0,25.0
CST3,0.0,0.0,1.0,0.0,25.0
CROT,0.0,1.0,0.0,0.0,25.0
CREG2,0.0,0.0,1.0,0.0,25.0
CPSF7,0.0,0.0,1.0,0.0,25.0
CLSTN1,0.0,0.0,0.0,1.0,25.0
CLIC1,0.0,0.0,1.0,0.0,25.0
CITED1,0.0,1.0,0.0,0.0,25.0
CHL1,0.0,0.0,0.0,1.0,25.0
CFL1,0.0,0.0,1.0,0.0,25.0
CDC37,0.0,0.0,1.0,0.0,25.0
CD74,0.0,0.0,1.0,0.0,25.0
CD163L1,0.0,1.0,0.0,0.0,25.0
CCND1,0.0,0.0,1.0,0.0,25.0
CCDC89,0.0,0.0,0.0,1.0,25.0
CBX6,0.0,0.0,1.0,0.0,25.0
CARNMT1,1.0,0.0,0.0,0.0,25.0
CALM3,0.0,0.0,1.0,0.0,25.0
CAAP1,0.0,0.0,1.0,0.0,25.0
C2orf69,0.0,0.0,1.0,0.0,25.0
C1QA,0.0,0.0,1.0,0.0,25.0
BCL2L13,0.0,0.0,1.0,0.0,25.0
BCAP29,0.0,0.0,0.0,1.0,25.0
ATP11C,0.0,0.0,1.0,0.0,25.0
ATP10D,0.0,0.0,1.0,0.0,25.0
ARPP19,0.0,0.0,1.0,0.0,25.0
DESI2,0.0,0.0,1.0,0.0,25.0
DNM1,0.0,1.0,0.0,0.0,25.0
EEF1A1,0.0,0.0,1.0,0.0,25.0
LMO4,0.0,0.0,0.0,1.0,25.0
PDE7A,0.0,0.0,1.0,0.0,25.0
NT5C3A,0.0,0.0,1.0,0.0,25.0
NONO,1.0,0.0,0.0,0.0,25.0
NEFM,0.0,0.0,1.0,0.0,25.0
NEFL,0.0,1.0,0.0,0.0,25.0
NDUFA5,0.0,1.0,0.0,0.0,25.0
NCOA4,0.0,1.0,0.0,0.0,25.0
AASDHPPT,0.0,0.0,1.0,0.0,25.0
MAPRE1,0.0,1.0,0.0,0.0,25.0
MAP1LC3B,0.0,0.0,1.0,0.0,25.0
MAN1A2,0.0,1.0,0.0,0.0,25.0
MAML2,0.0,0.0,1.0,0.0,25.0
LPL,0.0,0.0,0.0,1.0,25.0
LINGO1,0.0,0.0,1.0,0.0,25.0
EGR4,0.0,0.0,1.0,0.0,25.0
LINC01146,0.0,1.0,0.0,0.0,25.0
KCTD19,0.0,0.0,1.0,0.0,25.0
HSP90AB1,0.0,0.0,1.0,0.0,25.0
HNRNPDL,0.0,1.0,0.0,0.0,25.0
HLA-DQB1,0.0,1.0,0.0,0.0,25.0
HHEX,0.0,1.0,0.0,0.0,25.0
GRAMD4,0.0,0.0,1.0,0.0,25.0
GHITM,0.0,0.0,1.0,0.0,25.0
GDI1,1.0,0.0,0.0,0.0,25.0
FAM20C,0.0,0.0,1.0,0.0,25.0
FAM160A1,0.0,0.0,1.0,0.0,25.0
ENO1,0.0,0.0,1.0,0.0,25.0
EIF3K,0.0,0.0,1.0,0.0,25.0
ZNF85,0.0,0.0,0.0,1.0,25.0
