,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ABCA1,1.0,1.0,1.0,1.0,100.0
RABGAP1L,1.0,1.0,1.0,1.0,100.0
PTPRD,1.0,1.0,1.0,1.0,100.0
PRKCH,1.0,1.0,1.0,1.0,100.0
PRKAG2,1.0,1.0,1.0,1.0,100.0
PRKACB,1.0,1.0,1.0,1.0,100.0
POU2F1,1.0,1.0,1.0,1.0,100.0
PLCL1,1.0,1.0,1.0,1.0,100.0
PHF21A,1.0,1.0,1.0,1.0,100.0
PELI2,1.0,1.0,1.0,1.0,100.0
PELI1,1.0,1.0,1.0,1.0,100.0
PDGFC,1.0,1.0,1.0,1.0,100.0
PDE4D,1.0,1.0,1.0,1.0,100.0
PDCD10,1.0,1.0,1.0,1.0,100.0
PCDH9,1.0,1.0,1.0,1.0,100.0
OXR1,1.0,1.0,1.0,1.0,100.0
OSBPL3,1.0,1.0,1.0,1.0,100.0
NR3C2,1.0,1.0,1.0,1.0,100.0
NFIA,1.0,1.0,1.0,1.0,100.0
NEK7,1.0,1.0,1.0,1.0,100.0
N4BP2L1,1.0,1.0,1.0,1.0,100.0
MYO6,1.0,1.0,1.0,1.0,100.0
MED13L,1.0,1.0,1.0,1.0,100.0
MBNL1,1.0,1.0,1.0,1.0,100.0
MAPKAP1,1.0,1.0,1.0,1.0,100.0
MAP3K8,1.0,1.0,1.0,1.0,100.0
MAP3K1,1.0,1.0,1.0,1.0,100.0
ADNP,1.0,1.0,1.0,1.0,100.0
MAP2K5,1.0,1.0,1.0,1.0,100.0
MAML3,1.0,1.0,1.0,1.0,100.0
LRRK2,1.0,1.0,1.0,1.0,100.0
PTPRM,1.0,1.0,1.0,1.0,100.0
RALGPS1,1.0,1.0,1.0,1.0,100.0
LINC01170,1.0,1.0,1.0,1.0,100.0
RBPJ,1.0,1.0,1.0,1.0,100.0
ZNF326,1.0,1.0,1.0,1.0,100.0
ZNF207,1.0,1.0,1.0,1.0,100.0
ZMYND11,1.0,1.0,1.0,1.0,100.0
ZBTB20,1.0,1.0,1.0,1.0,100.0
ZBTB16,1.0,1.0,1.0,1.0,100.0
YLPM1,1.0,1.0,1.0,1.0,100.0
USP24,1.0,1.0,1.0,1.0,100.0
TSHZ1,1.0,1.0,1.0,1.0,100.0
TRPS1,1.0,1.0,1.0,1.0,100.0
TRAF3IP2-AS1,1.0,1.0,1.0,1.0,100.0
THRB,1.0,1.0,1.0,1.0,100.0
TEX26,1.0,1.0,1.0,1.0,100.0
TCF4,1.0,1.0,1.0,1.0,100.0
SYNE1,1.0,1.0,1.0,1.0,100.0
STXBP5,1.0,1.0,1.0,1.0,100.0
SSBP2,1.0,1.0,1.0,1.0,100.0
SNX13,1.0,1.0,1.0,1.0,100.0
SMAP2,1.0,1.0,1.0,1.0,100.0
SLC39A10,1.0,1.0,1.0,1.0,100.0
SLC22A23,1.0,1.0,1.0,1.0,100.0
SGK3,1.0,1.0,1.0,1.0,100.0
SERPINB9P1,1.0,1.0,1.0,1.0,100.0
SDCBP,1.0,1.0,1.0,1.0,100.0
SCML2,1.0,1.0,1.0,1.0,100.0
RUFY3,1.0,1.0,1.0,1.0,100.0
ROCK1,1.0,1.0,1.0,1.0,100.0
ROBO2,1.0,1.0,1.0,1.0,100.0
RFX3,1.0,1.0,1.0,1.0,100.0
RERE,1.0,1.0,1.0,1.0,100.0
LRIG1,1.0,1.0,1.0,1.0,100.0
MAP2K6,1.0,1.0,1.0,1.0,100.0
LINC00862,1.0,1.0,1.0,1.0,100.0
CCND3,1.0,1.0,1.0,1.0,100.0
DOCK5,1.0,1.0,1.0,1.0,100.0
