,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ABL1,1.0,1.0,1.0,1.0,100.0
JDP2,1.0,1.0,1.0,1.0,100.0
KCMF1,1.0,1.0,1.0,1.0,100.0
KCNK13,1.0,1.0,1.0,1.0,100.0
SPG21,1.0,1.0,1.0,1.0,100.0
SOGA1,1.0,1.0,1.0,1.0,100.0
SNX3,1.0,1.0,1.0,1.0,100.0
KLHL2,1.0,1.0,1.0,1.0,100.0
SMARCC1,1.0,1.0,1.0,1.0,100.0
KMT2A,1.0,1.0,1.0,1.0,100.0
SMAD7,1.0,1.0,1.0,1.0,100.0
SLC7A1,1.0,1.0,1.0,1.0,100.0
LDLRAD4,1.0,1.0,1.0,1.0,100.0
LETM1,1.0,1.0,1.0,1.0,100.0
LMO7,1.0,1.0,1.0,1.0,100.0
LPP,1.0,1.0,1.0,1.0,100.0
SKAP2,1.0,1.0,1.0,1.0,100.0
SIL1,1.0,1.0,1.0,1.0,100.0
SIK2,1.0,1.0,1.0,1.0,100.0
LYPLA1,1.0,1.0,1.0,1.0,100.0
MAGT1,1.0,1.0,1.0,1.0,100.0
SPRY2,1.0,1.0,1.0,1.0,100.0
ITGA5,1.0,1.0,1.0,1.0,100.0
GCH1,1.0,1.0,1.0,1.0,100.0
IRF1,1.0,1.0,1.0,1.0,100.0
GLTP,1.0,1.0,1.0,1.0,100.0
GMDS,1.0,1.0,1.0,1.0,100.0
TGFB1,1.0,1.0,1.0,1.0,100.0
TCF12,1.0,1.0,1.0,1.0,100.0
TBL1XR1,1.0,1.0,1.0,1.0,100.0
TBC1D16,1.0,1.0,1.0,1.0,100.0
STK40,1.0,1.0,1.0,1.0,100.0
HIF1A,1.0,1.0,1.0,1.0,100.0
STK10,1.0,1.0,1.0,1.0,100.0
HNRNPF,1.0,1.0,1.0,1.0,100.0
HRH2,1.0,1.0,1.0,1.0,100.0
ST3GAL5,1.0,1.0,1.0,1.0,100.0
IDH2,1.0,1.0,1.0,1.0,100.0
IGF2R,1.0,1.0,1.0,1.0,100.0
IKBKB,1.0,1.0,1.0,1.0,100.0
IL1RAP,1.0,1.0,1.0,1.0,100.0
ILF3,1.0,1.0,1.0,1.0,100.0
