,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
PELI2,1.0,1.0,1.0,1.0,100.0
GMPS,1.0,1.0,1.0,1.0,100.0
ROCK1,1.0,1.0,1.0,1.0,100.0
RNF19A,1.0,1.0,1.0,1.0,100.0
RNASEH2B,1.0,1.0,1.0,1.0,100.0
RAB18,1.0,1.0,1.0,1.0,100.0
PRKACB,1.0,1.0,1.0,1.0,100.0
PPM1L,1.0,1.0,1.0,1.0,100.0
PIK3CA,1.0,1.0,1.0,1.0,100.0
PIK3C2A,1.0,1.0,1.0,1.0,100.0
ACSL4,1.0,1.0,1.0,1.0,100.0
NRIP1,1.0,1.0,1.0,1.0,100.0
NR2C2,1.0,1.0,1.0,1.0,100.0
NEK7,1.0,1.0,1.0,1.0,100.0
NCOA3,1.0,1.0,1.0,1.0,100.0
LRRK2,1.0,1.0,1.0,1.0,100.0
LATS2,1.0,1.0,1.0,1.0,100.0
KPNA3,1.0,1.0,1.0,1.0,100.0
KPNA1,1.0,1.0,1.0,1.0,100.0
SGK3,1.0,1.0,1.0,1.0,100.0
SLC4A7,1.0,1.0,1.0,1.0,100.0
SMIM14,1.0,1.0,1.0,1.0,100.0
TTC7A,1.0,1.0,1.0,1.0,100.0
ZMYND11,1.0,1.0,1.0,1.0,100.0
ZFHX3,1.0,1.0,1.0,1.0,100.0
ZDHHC2,1.0,1.0,1.0,1.0,100.0
XIAP,1.0,1.0,1.0,1.0,100.0
UIMC1,1.0,1.0,1.0,1.0,100.0
UGP2,1.0,1.0,1.0,1.0,100.0
UBE2E1,1.0,1.0,1.0,1.0,100.0
TTBK2,1.0,1.0,1.0,1.0,100.0
SNRK,1.0,1.0,1.0,1.0,100.0
TPP2,1.0,1.0,1.0,1.0,100.0
TMOD3,1.0,1.0,1.0,1.0,100.0
TMEM248,1.0,1.0,1.0,1.0,100.0
TGFBRAP1,1.0,1.0,1.0,1.0,100.0
TCF7L2,1.0,1.0,1.0,1.0,100.0
STK17B,1.0,1.0,1.0,1.0,100.0
STAU2,1.0,1.0,1.0,1.0,100.0
KIAA0232,1.0,1.0,1.0,1.0,100.0
ZNF800,1.0,1.0,1.0,1.0,100.0
ANKRD44,1.0,1.0,1.0,1.0,100.0
B4GALT4,1.0,1.0,1.0,1.0,100.0
BCLAF1,1.0,1.0,1.0,1.0,100.0
ANP32B,1.0,1.0,1.0,1.0,100.0
DEK,1.0,1.0,1.0,1.0,100.0
ATG10,1.0,1.0,1.0,1.0,100.0
CENPF,1.0,1.0,1.0,1.0,100.0
CDYL2,1.0,1.0,1.0,1.0,100.0
DUSP22,1.0,1.0,1.0,1.0,100.0
CD2AP,1.0,1.0,1.0,1.0,100.0
CCDC126,1.0,1.0,1.0,1.0,100.0
B3GNT2,1.0,1.0,1.0,1.0,100.0
ANKRD12,1.0,1.0,1.0,1.0,100.0
CA2,1.0,1.0,1.0,1.0,100.0
ADD1,1.0,1.0,1.0,1.0,100.0
FERMT2,1.0,1.0,1.0,1.0,100.0
FOXN2,1.0,1.0,1.0,1.0,100.0
BMPR1A,1.0,1.0,1.0,1.0,100.0
TENM4,0.0,1.0,1.0,1.0,75.0
R3HDM1,0.0,1.0,1.0,1.0,75.0
GLCE,1.0,1.0,1.0,0.0,75.0
CPSF2,0.0,1.0,0.0,1.0,50.0
INO80,1.0,0.0,0.0,1.0,50.0
TMOD1,0.0,0.0,1.0,1.0,50.0
CDC27,0.0,0.0,1.0,1.0,50.0
TAF4,0.0,1.0,1.0,0.0,50.0
UBE2D3,0.0,0.0,1.0,1.0,50.0
TFB1M,0.0,1.0,0.0,1.0,50.0
PSEN1,0.0,0.0,1.0,1.0,50.0
SLC10A7,0.0,1.0,0.0,1.0,50.0
DAP,1.0,0.0,0.0,1.0,50.0
NSUN5,0.0,1.0,0.0,1.0,50.0
ZNF708,0.0,1.0,1.0,0.0,50.0
KIAA1551,0.0,0.0,1.0,1.0,50.0
GAPVD1,0.0,0.0,1.0,1.0,50.0
FMN1,0.0,1.0,0.0,1.0,50.0
ZDHHC21,0.0,1.0,0.0,1.0,50.0
MORF4L1,0.0,0.0,1.0,1.0,50.0
ERCC6L2,0.0,1.0,0.0,1.0,50.0
TM9SF2,0.0,1.0,0.0,1.0,50.0
PGM5,1.0,0.0,0.0,1.0,50.0
VOPP1,0.0,1.0,0.0,1.0,50.0
AVL9,0.0,0.0,0.0,1.0,25.0
XPC,0.0,1.0,0.0,0.0,25.0
UMAD1,0.0,0.0,0.0,1.0,25.0
ATR,0.0,0.0,0.0,1.0,25.0
TRAK1,0.0,0.0,0.0,1.0,25.0
ANKRD36,1.0,0.0,0.0,0.0,25.0
AGAP3,0.0,0.0,0.0,1.0,25.0
ZNF197,0.0,0.0,0.0,1.0,25.0
WAC,0.0,0.0,0.0,1.0,25.0
TMF1,0.0,0.0,0.0,1.0,25.0
UBR1,0.0,0.0,0.0,1.0,25.0
VIPAS39,0.0,0.0,0.0,1.0,25.0
ZDHHC17,0.0,0.0,0.0,1.0,25.0
GNAI3,0.0,0.0,0.0,1.0,25.0
C16orf72,0.0,0.0,1.0,0.0,25.0
STK32B,0.0,1.0,0.0,0.0,25.0
ITFG2,0.0,0.0,0.0,1.0,25.0
LRP2,0.0,1.0,0.0,0.0,25.0
MAD1L1,0.0,0.0,0.0,1.0,25.0
MBOAT4,0.0,1.0,0.0,0.0,25.0
MIA3,0.0,0.0,0.0,1.0,25.0
FAM185A,0.0,0.0,1.0,0.0,25.0
NR1H2,0.0,0.0,0.0,1.0,25.0
EHBP1,0.0,0.0,0.0,1.0,25.0
DNAJC2,0.0,0.0,0.0,1.0,25.0
PGS1,1.0,0.0,0.0,0.0,25.0
PHF11,0.0,1.0,0.0,0.0,25.0
DEGS1,0.0,0.0,1.0,0.0,25.0
PITPNC1,0.0,0.0,0.0,1.0,25.0
PPARA,0.0,0.0,0.0,1.0,25.0
PTER,0.0,0.0,1.0,0.0,25.0
CHORDC1,0.0,0.0,0.0,1.0,25.0
RFC1,0.0,1.0,0.0,0.0,25.0
CFLAR,0.0,0.0,0.0,1.0,25.0
SERPINB6,0.0,0.0,0.0,1.0,25.0
SH3KBP1,0.0,0.0,0.0,1.0,25.0
CBX5,0.0,0.0,1.0,0.0,25.0
SOS1,1.0,0.0,0.0,0.0,25.0
CARF,0.0,0.0,0.0,1.0,25.0
ABCB10,1.0,0.0,0.0,0.0,25.0
