,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ANXA4,1.0,1.0,1.0,1.0,100.0
IFIH1,1.0,1.0,1.0,1.0,100.0
KLHL21,1.0,1.0,1.0,1.0,100.0
LRRC58,1.0,1.0,1.0,1.0,100.0
ME2,1.0,1.0,1.0,1.0,100.0
MTURN,1.0,1.0,1.0,1.0,100.0
NOS1AP,1.0,1.0,1.0,1.0,100.0
ATM,1.0,1.0,1.0,1.0,100.0
NTRK3,1.0,1.0,1.0,1.0,100.0
PDLIM5,1.0,1.0,1.0,1.0,100.0
PELI2,1.0,1.0,1.0,1.0,100.0
PPP1CA,1.0,1.0,1.0,1.0,100.0
SSBP1,1.0,1.0,1.0,1.0,100.0
SSPN,1.0,1.0,1.0,1.0,100.0
STXBP5,1.0,1.0,1.0,1.0,100.0
TANC1,1.0,1.0,1.0,1.0,100.0
TSHZ1,1.0,1.0,1.0,1.0,100.0
VWC2,1.0,1.0,1.0,1.0,100.0
ZBTB7C,1.0,1.0,1.0,1.0,100.0
IGF1R,1.0,1.0,1.0,1.0,100.0
ZNF326,1.0,1.0,1.0,1.0,100.0
HNRNPU,1.0,1.0,1.0,1.0,100.0
CA8,1.0,1.0,1.0,1.0,100.0
CDK6,1.0,1.0,1.0,1.0,100.0
ESRRG,1.0,1.0,1.0,1.0,100.0
CECR2,1.0,1.0,1.0,1.0,100.0
CRBN,1.0,1.0,1.0,1.0,100.0
CHN1,1.0,1.0,1.0,1.0,100.0
FAM149A,1.0,1.0,1.0,1.0,100.0
RASA3,1.0,1.0,0.0,1.0,75.0
PPP1R12A,1.0,1.0,0.0,1.0,75.0
KAT7,1.0,0.0,0.0,1.0,50.0
PAQR5,1.0,0.0,0.0,1.0,50.0
DPYS,1.0,0.0,0.0,1.0,50.0
FRMD4A,0.0,1.0,0.0,1.0,50.0
MND1,1.0,0.0,0.0,1.0,50.0
SEMA6A,1.0,0.0,0.0,1.0,50.0
DLG2,1.0,0.0,0.0,1.0,50.0
SESN3,0.0,1.0,0.0,0.0,25.0
SV2B,0.0,1.0,0.0,0.0,25.0
SH3GL3,0.0,1.0,0.0,0.0,25.0
RHOD,0.0,0.0,0.0,1.0,25.0
CELF2,0.0,1.0,0.0,0.0,25.0
TM6SF1,0.0,1.0,0.0,0.0,25.0
VCAN,0.0,1.0,0.0,0.0,25.0
SDK1,0.0,1.0,0.0,0.0,25.0
HS3ST4,0.0,1.0,0.0,0.0,25.0
RGS20,0.0,1.0,0.0,0.0,25.0
REST,1.0,0.0,0.0,0.0,25.0
PNRC1,0.0,0.0,0.0,1.0,25.0
PLCXD3,0.0,1.0,0.0,0.0,25.0
DSCAM,0.0,0.0,0.0,1.0,25.0
PDE9A,0.0,0.0,0.0,1.0,25.0
PBX1,0.0,0.0,0.0,1.0,25.0
P2RY12,0.0,1.0,0.0,0.0,25.0
FAS,0.0,1.0,0.0,0.0,25.0
FEM1B,0.0,0.0,0.0,1.0,25.0
MEIS1,0.0,0.0,0.0,1.0,25.0
GALNT2,0.0,1.0,0.0,0.0,25.0
GLT1D1,0.0,1.0,0.0,0.0,25.0
LINC00200,0.0,0.0,0.0,1.0,25.0
NRGN,0.0,1.0,0.0,0.0,25.0
