,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ACSL3,1.0,1.0,1.0,1.0,100.0
RNF146,1.0,1.0,1.0,1.0,100.0
KMT2C,1.0,1.0,1.0,1.0,100.0
PTP4A2,1.0,1.0,1.0,1.0,100.0
PRDM5,1.0,1.0,1.0,1.0,100.0
EXOC6,1.0,1.0,1.0,1.0,100.0
EZR,1.0,1.0,1.0,1.0,100.0
POU2F1,1.0,1.0,1.0,1.0,100.0
FBXL17,1.0,1.0,1.0,1.0,100.0
PDE4D,1.0,1.0,1.0,1.0,100.0
FBXL4,1.0,1.0,1.0,1.0,100.0
FNBP1,1.0,1.0,1.0,1.0,100.0
FTX,1.0,1.0,1.0,1.0,100.0
PCED1B,1.0,1.0,1.0,1.0,100.0
NFIA,1.0,1.0,1.0,1.0,100.0
GNG12,1.0,1.0,1.0,1.0,100.0
GPD2,1.0,1.0,1.0,1.0,100.0
GRAMD4,1.0,1.0,1.0,1.0,100.0
GSTCD,1.0,1.0,1.0,1.0,100.0
HEATR5A,1.0,1.0,1.0,1.0,100.0
HECA,1.0,1.0,1.0,1.0,100.0
MIR646HG,1.0,1.0,1.0,1.0,100.0
INTU,1.0,1.0,1.0,1.0,100.0
KANSL1,1.0,1.0,1.0,1.0,100.0
MAP2K5,1.0,1.0,1.0,1.0,100.0
RICTOR,1.0,1.0,1.0,1.0,100.0
QKI,1.0,1.0,1.0,1.0,100.0
LEPR,1.0,1.0,1.0,1.0,100.0
ANKRD50,1.0,1.0,1.0,1.0,100.0
ARHGAP24,1.0,1.0,1.0,1.0,100.0
USP33,1.0,1.0,1.0,1.0,100.0
UPF2,1.0,1.0,1.0,1.0,100.0
UEVLD,1.0,1.0,1.0,1.0,100.0
ATXN1,1.0,1.0,1.0,1.0,100.0
BCL2L1,1.0,1.0,1.0,1.0,100.0
SGMS1,1.0,1.0,1.0,1.0,100.0
TRAF3,1.0,1.0,1.0,1.0,100.0
TFDP2,1.0,1.0,1.0,1.0,100.0
STAT5B,1.0,1.0,1.0,1.0,100.0
YWHAZ,1.0,1.0,1.0,1.0,100.0
CCNG2,1.0,1.0,1.0,1.0,100.0
STAG1,1.0,1.0,1.0,1.0,100.0
CHD8,1.0,1.0,1.0,1.0,100.0
ZC3H6,1.0,1.0,1.0,1.0,100.0
ADNP,1.0,1.0,1.0,1.0,100.0
SPOP,1.0,1.0,1.0,1.0,100.0
CNOT4,1.0,1.0,1.0,1.0,100.0
ZNF821,1.0,1.0,1.0,1.0,100.0
SLC4A4,1.0,1.0,1.0,1.0,100.0
VKORC1L1,1.0,1.0,1.0,1.0,100.0
MRAS,0.0,1.0,1.0,1.0,75.0
N4BP2L1,0.0,1.0,1.0,1.0,75.0
