,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
NAP1L1,1.0,1.0,1.0,1.0,100.0
OVCH1-AS1,1.0,1.0,1.0,1.0,100.0
QSER1,1.0,1.0,1.0,1.0,100.0
PTPRM,1.0,1.0,1.0,1.0,100.0
PRNP,1.0,1.0,1.0,1.0,100.0
PPM1H,1.0,1.0,1.0,1.0,100.0
PPARG,1.0,1.0,1.0,1.0,100.0
PLPP1,1.0,1.0,1.0,1.0,100.0
PKP4,1.0,1.0,1.0,1.0,100.0
PIK3CA,1.0,1.0,1.0,1.0,100.0
PHKA2,1.0,1.0,1.0,1.0,100.0
PDE4B,1.0,1.0,1.0,1.0,100.0
PCSK5,1.0,1.0,1.0,1.0,100.0
PCGF5,1.0,1.0,1.0,1.0,100.0
OSBPL3,1.0,1.0,1.0,1.0,100.0
RASA3,1.0,1.0,1.0,1.0,100.0
NR6A1,1.0,1.0,1.0,1.0,100.0
NOS1AP,1.0,1.0,1.0,1.0,100.0
NOL4L,1.0,1.0,1.0,1.0,100.0
NFKB1,1.0,1.0,1.0,1.0,100.0
NFATC1,1.0,1.0,1.0,1.0,100.0
NCK2,1.0,1.0,1.0,1.0,100.0
NBEA,1.0,1.0,1.0,1.0,100.0
AGFG1,1.0,1.0,1.0,1.0,100.0
NAB1,1.0,1.0,1.0,1.0,100.0
MPP6,1.0,1.0,1.0,1.0,100.0
MLLT10,1.0,1.0,1.0,1.0,100.0
MITF,1.0,1.0,1.0,1.0,100.0
RALA,1.0,1.0,1.0,1.0,100.0
RASGEF1B,1.0,1.0,1.0,1.0,100.0
MAPK8,1.0,1.0,1.0,1.0,100.0
TMEM117,1.0,1.0,1.0,1.0,100.0
ZFY,1.0,1.0,1.0,1.0,100.0
ZCCHC2,1.0,1.0,1.0,1.0,100.0
ZC3H12C,1.0,1.0,1.0,1.0,100.0
YY1,1.0,1.0,1.0,1.0,100.0
WWC3,1.0,1.0,1.0,1.0,100.0
UGCG,1.0,1.0,1.0,1.0,100.0
UBE3C,1.0,1.0,1.0,1.0,100.0
