,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZNF706,1.0,1.0,1.0,1.0,100.0
PRKAG2,1.0,1.0,1.0,1.0,100.0
PSAP,1.0,1.0,1.0,1.0,100.0
FOXO3,1.0,1.0,1.0,1.0,100.0
FOS,1.0,1.0,1.0,1.0,100.0
RASGEF1B,1.0,1.0,1.0,1.0,100.0
RBM17,1.0,1.0,1.0,1.0,100.0
RELB,1.0,1.0,1.0,1.0,100.0
RMDN2,1.0,1.0,1.0,1.0,100.0
EEF2K,1.0,1.0,1.0,1.0,100.0
RNF13,1.0,1.0,1.0,1.0,100.0
RXRA,1.0,1.0,1.0,1.0,100.0
SAMD4A,1.0,1.0,1.0,1.0,100.0
DHDDS,1.0,1.0,1.0,1.0,100.0
MNT,1.0,1.0,1.0,1.0,100.0
DEGS1,1.0,1.0,1.0,1.0,100.0
CXADR,1.0,1.0,1.0,1.0,100.0
SNX27,1.0,1.0,1.0,1.0,100.0
SNX6,1.0,1.0,1.0,1.0,100.0
G0S2,1.0,1.0,1.0,1.0,100.0
PFDN5,1.0,1.0,1.0,1.0,100.0
SPOP,1.0,1.0,1.0,1.0,100.0
PELI2,1.0,1.0,1.0,1.0,100.0
MFHAS1,1.0,1.0,1.0,1.0,100.0
NAA50,1.0,1.0,1.0,1.0,100.0
NAE1,1.0,1.0,1.0,1.0,100.0
NEK7,1.0,1.0,1.0,1.0,100.0
NFKB1,1.0,1.0,1.0,1.0,100.0
LIMD1,1.0,1.0,1.0,1.0,100.0
LEPR,1.0,1.0,1.0,1.0,100.0
KIAA1841,1.0,1.0,1.0,1.0,100.0
KCNE3,1.0,1.0,1.0,1.0,100.0
NRCAM,1.0,1.0,1.0,1.0,100.0
OLFM2,1.0,1.0,1.0,1.0,100.0
IRAK3,1.0,1.0,1.0,1.0,100.0
IQSEC1,1.0,1.0,1.0,1.0,100.0
P2RX7,1.0,1.0,1.0,1.0,100.0
P4HA1,1.0,1.0,1.0,1.0,100.0
HERC3,1.0,1.0,1.0,1.0,100.0
PDK1,1.0,1.0,1.0,1.0,100.0
SORBS3,1.0,1.0,1.0,1.0,100.0
MICU1,1.0,1.0,1.0,1.0,100.0
USP47,1.0,1.0,1.0,1.0,100.0
SSBP2,1.0,1.0,1.0,1.0,100.0
TMEM181,1.0,1.0,1.0,1.0,100.0
CACUL1,1.0,1.0,1.0,1.0,100.0
