,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
RIF1,1.0,1.0,1.0,1.0,100.0
TTC13,1.0,1.0,1.0,1.0,100.0
ATP6V1B2,1.0,1.0,1.0,1.0,100.0
TMEM117,1.0,1.0,1.0,1.0,100.0
ZDHHC2,0.0,1.0,1.0,1.0,75.0
PTPN18,1.0,1.0,0.0,1.0,75.0
PPP2R5C,1.0,0.0,1.0,1.0,75.0
DPP8,0.0,1.0,1.0,1.0,75.0
KIF3B,0.0,0.0,1.0,1.0,50.0
PITPNA,0.0,1.0,0.0,1.0,50.0
RPLP2,0.0,0.0,1.0,1.0,50.0
LILRB1,0.0,0.0,1.0,1.0,50.0
PURA,0.0,1.0,0.0,1.0,50.0
GAA,0.0,0.0,1.0,1.0,50.0
SP110,0.0,1.0,1.0,0.0,50.0
TPT1,0.0,1.0,0.0,1.0,50.0
CAMKK2,0.0,1.0,0.0,1.0,50.0
BTAF1,0.0,1.0,0.0,1.0,50.0
SEC23A,0.0,0.0,0.0,1.0,25.0
RFC1,0.0,0.0,0.0,1.0,25.0
SDCBP,0.0,0.0,1.0,0.0,25.0
TEAD1,0.0,0.0,0.0,1.0,25.0
RPL21,0.0,0.0,0.0,1.0,25.0
UBE3A,0.0,0.0,0.0,1.0,25.0
SIRPA,0.0,0.0,0.0,1.0,25.0
ACOX3,0.0,0.0,0.0,1.0,25.0
QSOX1,0.0,1.0,0.0,0.0,25.0
PPP4R2,0.0,0.0,0.0,1.0,25.0
PNRC1,0.0,0.0,0.0,1.0,25.0
PDK4,0.0,0.0,1.0,0.0,25.0
NAP1L1,0.0,0.0,0.0,1.0,25.0
ICE1,0.0,0.0,0.0,1.0,25.0
GLYR1,0.0,0.0,0.0,1.0,25.0
FBXO34,0.0,0.0,0.0,1.0,25.0
ERLEC1,0.0,0.0,1.0,0.0,25.0
EIF1,0.0,0.0,0.0,1.0,25.0
EEF1D,0.0,1.0,0.0,0.0,25.0
CYLD,0.0,0.0,0.0,1.0,25.0
CHI3L2,0.0,0.0,1.0,0.0,25.0
PPIP5K2,0.0,0.0,1.0,0.0,25.0
