,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
MAK,1.0,1.0,1.0,1.0,100.0
PIK3AP1,1.0,1.0,1.0,1.0,100.0
SLC9A6,1.0,1.0,1.0,1.0,100.0
SLC2A3,1.0,1.0,1.0,1.0,100.0
CDK19,1.0,1.0,1.0,1.0,100.0
RAPGEF2,1.0,1.0,1.0,1.0,100.0
DDI2,1.0,1.0,1.0,1.0,100.0
RAB5A,1.0,1.0,1.0,1.0,100.0
PSMB7,1.0,1.0,1.0,1.0,100.0
ETV6,1.0,1.0,1.0,1.0,100.0
FAM129A,1.0,1.0,1.0,1.0,100.0
FAM200A,1.0,1.0,1.0,1.0,100.0
FCGR3A,1.0,1.0,1.0,1.0,100.0
FLVCR2,1.0,1.0,1.0,1.0,100.0
PHYKPL,1.0,1.0,1.0,1.0,100.0
STAT5A,1.0,1.0,1.0,1.0,100.0
PHC3,1.0,1.0,1.0,1.0,100.0
PDPN,1.0,1.0,1.0,1.0,100.0
PATJ,1.0,1.0,1.0,1.0,100.0
GLUL,1.0,1.0,1.0,1.0,100.0
OSER1,1.0,1.0,1.0,1.0,100.0
OPRM1,1.0,1.0,1.0,1.0,100.0
NR4A1,1.0,1.0,1.0,1.0,100.0
H2AFY,1.0,1.0,1.0,1.0,100.0
HIPK3,1.0,1.0,1.0,1.0,100.0
MTUS1,1.0,1.0,1.0,1.0,100.0
MBNL3,1.0,1.0,1.0,1.0,100.0
LRIG2,1.0,1.0,1.0,1.0,100.0
SSH2,1.0,1.0,1.0,1.0,100.0
LCP1,1.0,1.0,1.0,1.0,100.0
ARFGAP3,1.0,1.0,1.0,1.0,100.0
TBC1D14,1.0,1.0,1.0,1.0,100.0
TMEM165,1.0,1.0,1.0,1.0,100.0
ZCCHC14,1.0,1.0,1.0,1.0,100.0
ATP8A2,1.0,1.0,1.0,1.0,100.0
TSPO,1.0,1.0,1.0,1.0,100.0
TMOD1,1.0,1.0,1.0,1.0,100.0
ARHGEF3,1.0,1.0,1.0,1.0,100.0
ALDH2,1.0,1.0,1.0,1.0,100.0
YIF1B,1.0,1.0,1.0,1.0,100.0
GRB2,1.0,1.0,1.0,0.0,75.0
FDFT1,1.0,0.0,1.0,1.0,75.0
RAB27A,0.0,1.0,1.0,1.0,75.0
PIP5K1A,1.0,1.0,1.0,0.0,75.0
PNRC1,1.0,1.0,0.0,1.0,75.0
YIPF1,0.0,1.0,1.0,1.0,75.0
ATG10,1.0,0.0,1.0,1.0,75.0
NECAP1,1.0,1.0,1.0,0.0,75.0
GNS,1.0,0.0,1.0,1.0,75.0
NEAT1,1.0,0.0,1.0,1.0,75.0
NBPF12,1.0,1.0,1.0,0.0,75.0
PDK1,0.0,1.0,1.0,1.0,75.0
ATF6,1.0,0.0,1.0,1.0,75.0
POLA2,1.0,0.0,1.0,1.0,75.0
ACSL1,1.0,1.0,1.0,0.0,75.0
PAG1,1.0,1.0,1.0,0.0,75.0
SPACA6,1.0,0.0,1.0,1.0,75.0
CAST,1.0,1.0,1.0,0.0,75.0
SMAP1,1.0,1.0,1.0,0.0,75.0
LIMK2,1.0,1.0,1.0,0.0,75.0
ACSL4,1.0,0.0,1.0,1.0,75.0
STXBP3,1.0,1.0,1.0,0.0,75.0
CHSY1,1.0,1.0,1.0,0.0,75.0
SETDB1,1.0,1.0,1.0,0.0,75.0
SEC14L1,1.0,1.0,1.0,0.0,75.0
DICER1,1.0,1.0,1.0,0.0,75.0
CSGALNACT2,1.0,1.0,1.0,0.0,75.0
RNF149,1.0,1.0,1.0,0.0,75.0
RNF144B,1.0,1.0,1.0,0.0,75.0
CTSH,0.0,1.0,1.0,1.0,75.0
ZNF331,1.0,0.0,1.0,0.0,50.0
ZADH2,1.0,0.0,1.0,0.0,50.0
LRRFIP1,0.0,1.0,0.0,1.0,50.0
METTL2B,0.0,1.0,0.0,1.0,50.0
MKL1,0.0,1.0,0.0,1.0,50.0
NBPF11,1.0,0.0,1.0,0.0,50.0
ZNF207,1.0,0.0,1.0,0.0,50.0
STX12,1.0,0.0,1.0,0.0,50.0
VGLL4,0.0,1.0,0.0,1.0,50.0
PTCH1,0.0,1.0,0.0,1.0,50.0
STX6,0.0,1.0,0.0,1.0,50.0
SLC35G2,0.0,0.0,1.0,1.0,50.0
SGK3,1.0,1.0,0.0,0.0,50.0
SAP30,1.0,0.0,1.0,0.0,50.0
RUNX1,1.0,1.0,0.0,0.0,50.0
KCNMA1,1.0,1.0,0.0,0.0,50.0
RBPJ,1.0,0.0,1.0,0.0,50.0
TRAPPC8,1.0,0.0,1.0,0.0,50.0
PSTPIP2,1.0,1.0,0.0,0.0,50.0
UGCG,1.0,0.0,0.0,1.0,50.0
TRNAU1AP,1.0,0.0,1.0,0.0,50.0
PRKCQ,0.0,1.0,0.0,1.0,50.0
TSG101,1.0,0.0,1.0,0.0,50.0
PRKACA,1.0,0.0,1.0,0.0,50.0
SPATA6,1.0,1.0,0.0,0.0,50.0
UBE2D1,0.0,0.0,1.0,1.0,50.0
PHF20L1,1.0,0.0,1.0,0.0,50.0
UEVLD,1.0,0.0,1.0,0.0,50.0
RNASEH2B-AS1,1.0,0.0,1.0,0.0,50.0
ACER3,0.0,1.0,0.0,1.0,50.0
ATAD2B,1.0,1.0,0.0,0.0,50.0
EIF3E,1.0,0.0,1.0,0.0,50.0
GAK,1.0,0.0,1.0,0.0,50.0
GRAMD1A,1.0,1.0,0.0,0.0,50.0
FRA10AC1,1.0,0.0,1.0,0.0,50.0
FOS,1.0,1.0,0.0,0.0,50.0
BSDC1,1.0,0.0,1.0,0.0,50.0
HDAC4,1.0,1.0,0.0,0.0,50.0
HIST2H2BF,1.0,0.0,1.0,0.0,50.0
CCSER2,0.0,1.0,0.0,1.0,50.0
BBX,1.0,0.0,1.0,0.0,50.0
IGF2R,1.0,1.0,0.0,0.0,50.0
GCFC2,1.0,0.0,1.0,0.0,50.0
INTS6,1.0,1.0,0.0,0.0,50.0
COL23A1,0.0,1.0,0.0,1.0,50.0
CLK2,0.0,1.0,1.0,0.0,50.0
JUNB,1.0,0.0,1.0,0.0,50.0
DNAJC5,0.0,1.0,0.0,1.0,50.0
CTSB,1.0,0.0,1.0,0.0,50.0
ANAPC16,0.0,1.0,1.0,0.0,50.0
AGTPBP1,1.0,1.0,0.0,0.0,50.0
CMTM6,1.0,0.0,1.0,0.0,50.0
STT3B,0.0,1.0,0.0,0.0,25.0
C9orf84,0.0,1.0,0.0,0.0,25.0
STAG2,0.0,1.0,0.0,0.0,25.0
CAPN1,0.0,1.0,0.0,0.0,25.0
SRGN,0.0,1.0,0.0,0.0,25.0
CTNNB1,0.0,1.0,0.0,0.0,25.0
SRGAP3,0.0,1.0,0.0,0.0,25.0
CASC3,0.0,1.0,0.0,0.0,25.0
CARHSP1,0.0,1.0,0.0,0.0,25.0
CLASRP,0.0,1.0,0.0,0.0,25.0
SBF2,0.0,0.0,0.0,1.0,25.0
CD163,0.0,1.0,0.0,0.0,25.0
CD58,0.0,1.0,0.0,0.0,25.0
C5orf24,1.0,0.0,0.0,0.0,25.0
CD86,0.0,1.0,0.0,0.0,25.0
SLC11A1,0.0,1.0,0.0,0.0,25.0
SH3BP2,0.0,0.0,0.0,1.0,25.0
CEBPD,1.0,0.0,0.0,0.0,25.0
KCNC3,0.0,1.0,0.0,0.0,25.0
TAF3,0.0,1.0,0.0,0.0,25.0
C5AR2,0.0,0.0,0.0,1.0,25.0
C1orf56,0.0,1.0,0.0,0.0,25.0
ACTR2,0.0,1.0,0.0,0.0,25.0
ACTR3,0.0,1.0,0.0,0.0,25.0
ZFP36,0.0,1.0,0.0,0.0,25.0
ZFAND6,0.0,1.0,0.0,0.0,25.0
ADAM28,0.0,1.0,0.0,0.0,25.0
ADGRE1,0.0,1.0,0.0,0.0,25.0
XYLB,0.0,1.0,0.0,0.0,25.0
WDR41,0.0,0.0,1.0,0.0,25.0
VMP1,0.0,1.0,0.0,0.0,25.0
AP3D1,0.0,1.0,0.0,0.0,25.0
ARHGAP24,0.0,1.0,0.0,0.0,25.0
ARHGAP4,0.0,0.0,0.0,1.0,25.0
ASCC2,0.0,1.0,0.0,0.0,25.0
ATL3,1.0,0.0,0.0,0.0,25.0
BNIP3L,0.0,1.0,0.0,0.0,25.0
TNFRSF1B,0.0,1.0,0.0,0.0,25.0
BRCA1,0.0,1.0,0.0,0.0,25.0
TMF1,0.0,0.0,1.0,0.0,25.0
TMEM116,0.0,0.0,1.0,0.0,25.0
TMED3,0.0,1.0,0.0,0.0,25.0
TBC1D8,0.0,1.0,0.0,0.0,25.0
C1QA,1.0,0.0,0.0,0.0,25.0
TAOK3,0.0,1.0,0.0,0.0,25.0
CYTH1,0.0,1.0,0.0,0.0,25.0
SYT17,0.0,1.0,0.0,0.0,25.0
CUL1,0.0,1.0,0.0,0.0,25.0
PVT1,0.0,0.0,1.0,0.0,25.0
RBM41,0.0,0.0,1.0,0.0,25.0
MIR181A1HG,0.0,1.0,0.0,0.0,25.0
GTDC1,0.0,1.0,0.0,0.0,25.0
NPNT,0.0,1.0,0.0,0.0,25.0
NHLRC2,0.0,1.0,0.0,0.0,25.0
NFXL1,1.0,0.0,0.0,0.0,25.0
NFKBIZ,0.0,1.0,0.0,0.0,25.0
NECTIN2,0.0,1.0,0.0,0.0,25.0
NDE1,0.0,0.0,0.0,1.0,25.0
