,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
RPTOR,1.0,1.0,1.0,1.0,100.0
CEP83,1.0,1.0,1.0,1.0,100.0
SNRK,1.0,1.0,1.0,1.0,100.0
UBTF,1.0,1.0,1.0,1.0,100.0
DTNA,1.0,1.0,1.0,1.0,100.0
INSM1,1.0,1.0,1.0,1.0,100.0
TRIM65,1.0,1.0,1.0,1.0,100.0
FAM20B,1.0,1.0,1.0,1.0,100.0
MGAT1,1.0,1.0,1.0,1.0,100.0
COLGALT2,1.0,1.0,1.0,1.0,100.0
KMT5B,1.0,1.0,1.0,1.0,100.0
GALNT14,1.0,1.0,1.0,1.0,100.0
EEFSEC,1.0,1.0,1.0,1.0,100.0
RAP1B,1.0,1.0,1.0,1.0,100.0
CLIP1,1.0,1.0,1.0,1.0,100.0
CEP63,1.0,1.0,1.0,1.0,100.0
HACE1,1.0,1.0,1.0,1.0,100.0
ZNF420,1.0,1.0,1.0,1.0,100.0
TCF12,1.0,1.0,1.0,1.0,100.0
ARID5B,1.0,1.0,1.0,1.0,100.0
TMCO4,1.0,1.0,1.0,1.0,100.0
ZFHX3,1.0,1.0,1.0,1.0,100.0
JADE2,1.0,1.0,1.0,1.0,100.0
SCAF4,1.0,1.0,1.0,1.0,100.0
SEPHS1,1.0,1.0,1.0,1.0,100.0
RBM46,1.0,1.0,1.0,1.0,100.0
RBBP7,1.0,1.0,1.0,1.0,100.0
U2AF2,1.0,1.0,1.0,1.0,100.0
STAT5A,1.0,1.0,1.0,0.0,75.0
TRERF1,1.0,1.0,1.0,0.0,75.0
TBC1D13,1.0,1.0,0.0,1.0,75.0
LARP7,1.0,1.0,0.0,1.0,75.0
SNX30,1.0,1.0,1.0,0.0,75.0
ERP44,1.0,0.0,1.0,1.0,75.0
ELMSAN1,1.0,1.0,0.0,1.0,75.0
GMDS,0.0,1.0,1.0,1.0,75.0
KDM3A,1.0,1.0,0.0,1.0,75.0
PARVG,1.0,1.0,1.0,0.0,75.0
IMMP2L,1.0,1.0,1.0,0.0,75.0
CLOCK,1.0,1.0,1.0,0.0,75.0
PATZ1,1.0,1.0,0.0,1.0,75.0
DAP,1.0,1.0,1.0,0.0,75.0
PNPLA6,0.0,1.0,1.0,1.0,75.0
SETD3,1.0,0.0,1.0,1.0,75.0
CREB3L2,1.0,0.0,1.0,1.0,75.0
PALLD,1.0,1.0,0.0,1.0,75.0
WDR19,1.0,1.0,0.0,1.0,75.0
CLPB,1.0,0.0,1.0,1.0,75.0
RPS14,1.0,1.0,0.0,0.0,50.0
RPAP2,1.0,1.0,0.0,0.0,50.0
RNF220,0.0,1.0,1.0,0.0,50.0
SDAD1,1.0,0.0,0.0,1.0,50.0
TBX19,1.0,0.0,1.0,0.0,50.0
RFX1,1.0,0.0,1.0,0.0,50.0
AHCYL2,1.0,1.0,0.0,0.0,50.0
STK40,1.0,1.0,0.0,0.0,50.0
RAB22A,1.0,1.0,0.0,0.0,50.0
MFSD14C,1.0,0.0,1.0,0.0,50.0
PPM1F,1.0,1.0,0.0,0.0,50.0
PPARGC1B,0.0,1.0,1.0,0.0,50.0
MICU1,1.0,1.0,0.0,0.0,50.0
PLEKHJ1,0.0,1.0,1.0,0.0,50.0
SLC45A4,1.0,1.0,0.0,0.0,50.0
MRPS18B,0.0,0.0,1.0,1.0,50.0
PXDC1,1.0,0.0,1.0,0.0,50.0
TMOD3,0.0,1.0,1.0,0.0,50.0
EIF4EBP1,0.0,0.0,1.0,1.0,50.0
FBXO21,1.0,0.0,0.0,1.0,50.0
CMIP,0.0,1.0,1.0,0.0,50.0
WDR61,1.0,0.0,1.0,0.0,50.0
CTSF,1.0,0.0,1.0,0.0,50.0
ULK3,1.0,0.0,1.0,0.0,50.0
CHFR,1.0,0.0,1.0,0.0,50.0
UBA1,1.0,1.0,0.0,0.0,50.0
EEF1A2,1.0,0.0,1.0,0.0,50.0
CMSS1,1.0,1.0,0.0,0.0,50.0
CDKN1B,1.0,0.0,0.0,1.0,50.0
CSNK2A1,0.0,1.0,1.0,0.0,50.0
TTTY15,0.0,1.0,1.0,0.0,50.0
FAM208B,1.0,1.0,0.0,0.0,50.0
CBFA2T3,1.0,1.0,0.0,0.0,50.0
FBXW11,1.0,0.0,0.0,1.0,50.0
ZBTB48,1.0,0.0,0.0,1.0,50.0
BUB1B,1.0,0.0,1.0,0.0,50.0
FMN1,1.0,1.0,0.0,0.0,50.0
TNFRSF1B,1.0,0.0,0.0,1.0,50.0
GALNT10,0.0,1.0,1.0,0.0,50.0
GCFC2,1.0,1.0,0.0,0.0,50.0
ZNF398,0.0,0.0,1.0,1.0,50.0
GPR161,1.0,0.0,1.0,0.0,50.0
H1FX,0.0,0.0,1.0,1.0,50.0
TNFAIP8,1.0,0.0,1.0,0.0,50.0
API5,0.0,1.0,1.0,0.0,50.0
DDX3Y,0.0,1.0,0.0,1.0,50.0
SETD7,0.0,1.0,0.0,0.0,25.0
SIPA1,1.0,0.0,0.0,0.0,25.0
TLK2,0.0,0.0,1.0,0.0,25.0
SERBP1,1.0,0.0,0.0,0.0,25.0
WNT9A,0.0,0.0,1.0,0.0,25.0
XPO4,1.0,0.0,0.0,0.0,25.0
SKP2,0.0,0.0,1.0,0.0,25.0
SIRPA,1.0,0.0,0.0,0.0,25.0
SLC9A6,1.0,0.0,0.0,0.0,25.0
SLC29A3,0.0,1.0,0.0,0.0,25.0
SMC6,0.0,1.0,0.0,0.0,25.0
TMEM68,0.0,1.0,0.0,0.0,25.0
STRIP1,0.0,1.0,0.0,0.0,25.0
SPATS2L,0.0,0.0,1.0,0.0,25.0
TP53BP1,0.0,1.0,0.0,0.0,25.0
SPATS2,0.0,1.0,0.0,0.0,25.0
SMIM6,1.0,0.0,0.0,0.0,25.0
SMARCAD1,0.0,1.0,0.0,0.0,25.0
USP10,0.0,1.0,0.0,0.0,25.0
UIMC1,0.0,1.0,0.0,0.0,25.0
SLC9A9,0.0,1.0,0.0,0.0,25.0
TMCC3,0.0,1.0,0.0,0.0,25.0
SLC47A1,1.0,0.0,0.0,0.0,25.0
SLC35B3,0.0,0.0,0.0,1.0,25.0
UPF3A,1.0,0.0,0.0,0.0,25.0
ACYP2,0.0,1.0,0.0,0.0,25.0
NSMF,0.0,0.0,1.0,0.0,25.0
RRBP1,0.0,1.0,0.0,0.0,25.0
DTNB,0.0,1.0,0.0,0.0,25.0
HSPA4,0.0,1.0,0.0,0.0,25.0
HNRNPA1,0.0,0.0,1.0,0.0,25.0
HNMT,0.0,1.0,0.0,0.0,25.0
HM13,0.0,1.0,0.0,0.0,25.0
FMR1,1.0,0.0,0.0,0.0,25.0
FGR,1.0,0.0,0.0,0.0,25.0
FECH,0.0,0.0,1.0,0.0,25.0
ERCC3,0.0,0.0,0.0,1.0,25.0
EPC2,0.0,1.0,0.0,0.0,25.0
EIF4A1,1.0,0.0,0.0,0.0,25.0
DTX2,0.0,1.0,0.0,0.0,25.0
DPYD,1.0,0.0,0.0,0.0,25.0
IQGAP1,0.0,1.0,0.0,0.0,25.0
DOT1L,0.0,1.0,0.0,0.0,25.0
CTPS2,0.0,0.0,1.0,0.0,25.0
CTDSP1,0.0,0.0,1.0,0.0,25.0
CLASRP,1.0,0.0,0.0,0.0,25.0
CHTF8,0.0,1.0,0.0,0.0,25.0
CDYL2,0.0,0.0,1.0,0.0,25.0
CDC42SE1,1.0,0.0,0.0,0.0,25.0
C1GALT1,1.0,0.0,0.0,0.0,25.0
B4GALT1-AS1,0.0,0.0,1.0,0.0,25.0
AZU1,1.0,0.0,0.0,0.0,25.0
ANKRD36C,0.0,1.0,0.0,0.0,25.0
IFT43,1.0,0.0,0.0,0.0,25.0
ITGB5,1.0,0.0,0.0,0.0,25.0
RIF1,0.0,1.0,0.0,0.0,25.0
PGM3,0.0,0.0,1.0,0.0,25.0
RCAN2,0.0,0.0,0.0,1.0,25.0
RAB4A,0.0,0.0,1.0,0.0,25.0
