,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
TTC7A,1.0,1.0,1.0,1.0,100.0
KLHL24,1.0,1.0,1.0,1.0,100.0
PDE8A,1.0,1.0,1.0,1.0,100.0
MTMR2,1.0,1.0,1.0,1.0,100.0
SPATS2L,1.0,1.0,1.0,1.0,100.0
ZMYM3,1.0,1.0,1.0,1.0,100.0
C7orf50,1.0,1.0,1.0,1.0,100.0
CACUL1,1.0,1.0,1.0,1.0,100.0
G0S2,1.0,1.0,1.0,0.0,75.0
NAB1,1.0,1.0,1.0,0.0,75.0
TRAPPC10,1.0,1.0,1.0,0.0,75.0
MSI2,1.0,1.0,1.0,0.0,75.0
MED13,1.0,1.0,1.0,0.0,75.0
TNFAIP8,1.0,1.0,1.0,0.0,75.0
ZNF532,0.0,1.0,1.0,1.0,75.0
SECISBP2L,1.0,1.0,1.0,0.0,75.0
GIT2,1.0,1.0,1.0,0.0,75.0
NAV1,1.0,1.0,1.0,0.0,75.0
SEMA6B,1.0,1.0,1.0,0.0,75.0
JARID2,0.0,1.0,1.0,1.0,75.0
KAT2B,1.0,1.0,1.0,0.0,75.0
SMIM4,1.0,1.0,1.0,0.0,75.0
RAPGEF4,1.0,1.0,1.0,0.0,75.0
RXRA,1.0,1.0,1.0,0.0,75.0
NRF1,1.0,1.0,1.0,0.0,75.0
CEP55,1.0,1.0,1.0,0.0,75.0
ARHGAP24,1.0,1.0,0.0,1.0,75.0
ZNF138,1.0,1.0,1.0,0.0,75.0
RAB3IP,1.0,1.0,1.0,0.0,75.0
ATXN1,1.0,1.0,0.0,1.0,75.0
B4GALT4,1.0,1.0,1.0,0.0,75.0
YWHAZ,1.0,1.0,0.0,1.0,75.0
RASA2,1.0,0.0,1.0,1.0,75.0
RB1CC1,1.0,1.0,0.0,1.0,75.0
WDR75,0.0,1.0,1.0,1.0,75.0
COL25A1,1.0,1.0,1.0,0.0,75.0
PTH2R,1.0,1.0,1.0,0.0,75.0
DANT2,1.0,1.0,1.0,0.0,75.0
DLL4,1.0,1.0,1.0,0.0,75.0
LBR,1.0,1.0,1.0,0.0,75.0
SLC35E2B,1.0,0.0,1.0,0.0,50.0
MECOM,1.0,0.0,1.0,0.0,50.0
LRRC8B,0.0,0.0,1.0,1.0,50.0
RFXAP,1.0,0.0,1.0,0.0,50.0
PELI2,1.0,1.0,0.0,0.0,50.0
RAG1,1.0,0.0,1.0,0.0,50.0
SLC35E3,1.0,0.0,1.0,0.0,50.0
TOX,1.0,0.0,1.0,0.0,50.0
CD96,1.0,0.0,1.0,0.0,50.0
CITED1,1.0,0.0,1.0,0.0,50.0
CXCR4,0.0,0.0,1.0,1.0,50.0
URGCP,1.0,0.0,1.0,0.0,50.0
TUBB,1.0,0.0,0.0,1.0,50.0
EBF2,1.0,0.0,1.0,0.0,50.0
EPAS1,1.0,1.0,0.0,0.0,50.0
ETS1,0.0,0.0,1.0,1.0,50.0
FOXP1,0.0,1.0,1.0,0.0,50.0
TLE3,1.0,1.0,0.0,0.0,50.0
THEMIS,1.0,0.0,1.0,0.0,50.0
TRERF1,0.0,1.0,0.0,0.0,25.0
SAMD3,0.0,1.0,0.0,0.0,25.0
TTC28,0.0,0.0,0.0,1.0,25.0
SLC16A1-AS1,0.0,0.0,0.0,1.0,25.0
SCRG1,1.0,0.0,0.0,0.0,25.0
RUNX3,0.0,0.0,1.0,0.0,25.0
RPS24,0.0,0.0,0.0,1.0,25.0
SDHB,0.0,0.0,1.0,0.0,25.0
VPS8,0.0,0.0,0.0,1.0,25.0
STK33,0.0,0.0,0.0,1.0,25.0
SOCS5,0.0,0.0,0.0,1.0,25.0
ZMYM5,0.0,1.0,0.0,0.0,25.0
TGFB2,0.0,0.0,0.0,1.0,25.0
ABCA9,0.0,0.0,0.0,1.0,25.0
RAB27A,1.0,0.0,0.0,0.0,25.0
PTPRS,0.0,0.0,0.0,1.0,25.0
FYN,0.0,1.0,0.0,0.0,25.0
FRMD4A,0.0,0.0,0.0,1.0,25.0
FN1,1.0,0.0,0.0,0.0,25.0
FDFT1,0.0,0.0,1.0,0.0,25.0
FAM173A,0.0,0.0,0.0,1.0,25.0
FAM13A,0.0,0.0,0.0,1.0,25.0
EYA2,0.0,0.0,0.0,1.0,25.0
DUSP22,0.0,0.0,0.0,1.0,25.0
DTHD1,0.0,0.0,1.0,0.0,25.0
CREBRF,0.0,1.0,0.0,0.0,25.0
CLSTN2,0.0,0.0,0.0,1.0,25.0
C1GALT1,0.0,1.0,0.0,0.0,25.0
BHLHE40,0.0,0.0,0.0,1.0,25.0
ATL2,0.0,0.0,0.0,1.0,25.0
ARSB,0.0,0.0,0.0,1.0,25.0
GANAB,0.0,0.0,1.0,0.0,25.0
GNAL,0.0,0.0,0.0,1.0,25.0
HSP90AA1,0.0,0.0,0.0,1.0,25.0
MARCH8,0.0,0.0,0.0,1.0,25.0
PHF21A,0.0,1.0,0.0,0.0,25.0
PDE3A,0.0,0.0,0.0,1.0,25.0
PALM2,0.0,0.0,0.0,1.0,25.0
P4HA1,1.0,0.0,0.0,0.0,25.0
MYO10,0.0,0.0,0.0,1.0,25.0
ARFGEF2,0.0,0.0,0.0,1.0,25.0
MAGI2,0.0,1.0,0.0,0.0,25.0
IL21R,0.0,0.0,0.0,1.0,25.0
LRRK2,0.0,1.0,0.0,0.0,25.0
LRP3,0.0,0.0,0.0,1.0,25.0
LRP2,0.0,0.0,0.0,1.0,25.0
LITAF,0.0,0.0,1.0,0.0,25.0
KCNMA1,1.0,0.0,0.0,0.0,25.0
INSIG1,0.0,0.0,0.0,1.0,25.0
MSANTD2,1.0,0.0,0.0,0.0,25.0
