,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ABHD13,1.0,1.0,1.0,1.0,100.0
FNDC3B,1.0,1.0,1.0,1.0,100.0
ABR,1.0,1.0,1.0,1.0,100.0
CLOCK,1.0,1.0,1.0,1.0,100.0
RAP1GDS1,1.0,1.0,1.0,1.0,100.0
FUT8,1.0,1.0,1.0,1.0,100.0
RAB11FIP2,1.0,1.0,1.0,1.0,100.0
SMCO4,1.0,1.0,0.0,1.0,75.0
SLC7A1,1.0,1.0,0.0,1.0,75.0
SEC24A,1.0,1.0,0.0,1.0,75.0
RXRA,1.0,0.0,1.0,1.0,75.0
RNF2,0.0,1.0,1.0,1.0,75.0
LEPR,1.0,1.0,0.0,1.0,75.0
RALGAPA2,1.0,1.0,1.0,0.0,75.0
ERCC6L2,1.0,1.0,1.0,0.0,75.0
FOXK1,1.0,1.0,0.0,1.0,75.0
FOXJ3,1.0,1.0,0.0,1.0,75.0
CUX1,1.0,1.0,0.0,1.0,75.0
PLEKHF2,1.0,0.0,1.0,1.0,75.0
GTDC1,1.0,1.0,0.0,1.0,75.0
HELZ,1.0,0.0,1.0,1.0,75.0
PCM1,1.0,0.0,1.0,1.0,75.0
NEDD4L,1.0,1.0,0.0,1.0,75.0
NCOA2,1.0,0.0,1.0,1.0,75.0
MBNL3,1.0,0.0,1.0,1.0,75.0
KDM4C,0.0,1.0,1.0,1.0,75.0
KPNA4,0.0,1.0,1.0,1.0,75.0
LRRC37B,0.0,1.0,1.0,1.0,75.0
SNRK,1.0,1.0,0.0,1.0,75.0
EFCAB2,1.0,0.0,1.0,1.0,75.0
LPCAT1,1.0,1.0,1.0,0.0,75.0
ZFYVE9,1.0,0.0,1.0,1.0,75.0
ZFAND5,1.0,1.0,0.0,1.0,75.0
ASAP1,1.0,1.0,0.0,1.0,75.0
USP9X,1.0,1.0,0.0,1.0,75.0
CAB39,1.0,1.0,0.0,1.0,75.0
TCAIM,1.0,0.0,1.0,1.0,75.0
CDC14A,0.0,1.0,1.0,1.0,75.0
CDK8,1.0,1.0,0.0,1.0,75.0
TBC1D16,0.0,1.0,1.0,1.0,75.0
