,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ACACA,1.0,1.0,1.0,1.0,100.0
PAXIP1,1.0,1.0,1.0,1.0,100.0
MTUS1,1.0,1.0,1.0,1.0,100.0
NEK7,1.0,1.0,1.0,1.0,100.0
NFE2L1,1.0,1.0,1.0,1.0,100.0
NNT,1.0,1.0,1.0,1.0,100.0
NRF1,1.0,1.0,1.0,1.0,100.0
PALLD,1.0,1.0,1.0,1.0,100.0
PAQR3,1.0,1.0,1.0,1.0,100.0
PDXDC1,1.0,1.0,1.0,1.0,100.0
RIC1,1.0,1.0,1.0,1.0,100.0
PIGK,1.0,1.0,1.0,1.0,100.0
PIK3CA,1.0,1.0,1.0,1.0,100.0
RAB7A,1.0,1.0,1.0,1.0,100.0
RAD21,1.0,1.0,1.0,1.0,100.0
RASA2,1.0,1.0,1.0,1.0,100.0
RB1CC1,1.0,1.0,1.0,1.0,100.0
RBPJ,1.0,1.0,1.0,1.0,100.0
MLH3,1.0,1.0,1.0,1.0,100.0
MBNL1,1.0,1.0,1.0,1.0,100.0
MAPK8,1.0,1.0,1.0,1.0,100.0
MAP2K4,1.0,1.0,1.0,1.0,100.0
H2AFV,1.0,1.0,1.0,1.0,100.0
HIPK3,1.0,1.0,1.0,1.0,100.0
INPP4A,1.0,1.0,1.0,1.0,100.0
IPO7,1.0,1.0,1.0,1.0,100.0
IRF2,1.0,1.0,1.0,1.0,100.0
IRS2,1.0,1.0,1.0,1.0,100.0
ITCH,1.0,1.0,1.0,1.0,100.0
KAT6B,1.0,1.0,1.0,1.0,100.0
KIAA1551,1.0,1.0,1.0,1.0,100.0
KLHL8,1.0,1.0,1.0,1.0,100.0
KRCC1,1.0,1.0,1.0,1.0,100.0
L3MBTL3,1.0,1.0,1.0,1.0,100.0
LNX2,1.0,1.0,1.0,1.0,100.0
LRRK2,1.0,1.0,1.0,1.0,100.0
LSM14A,1.0,1.0,1.0,1.0,100.0
RCOR3,1.0,1.0,1.0,1.0,100.0
RNF138,1.0,1.0,1.0,1.0,100.0
GSK3B,1.0,1.0,1.0,1.0,100.0
VAPA,1.0,1.0,1.0,1.0,100.0
TIPARP,1.0,1.0,1.0,1.0,100.0
TMEM65,1.0,1.0,1.0,1.0,100.0
TNPO1,1.0,1.0,1.0,1.0,100.0
TP53INP1,1.0,1.0,1.0,1.0,100.0
USP12,1.0,1.0,1.0,1.0,100.0
USP25,1.0,1.0,1.0,1.0,100.0
USP9X,1.0,1.0,1.0,1.0,100.0
XPO7,1.0,1.0,1.0,1.0,100.0
RREB1,1.0,1.0,1.0,1.0,100.0
YTHDC1,1.0,1.0,1.0,1.0,100.0
YY1,1.0,1.0,1.0,1.0,100.0
ZC3H6,1.0,1.0,1.0,1.0,100.0
ZDHHC2,1.0,1.0,1.0,1.0,100.0
ZNF438,1.0,1.0,1.0,1.0,100.0
ZNF507,1.0,1.0,1.0,1.0,100.0
ZNF644,1.0,1.0,1.0,1.0,100.0
THRB,1.0,1.0,1.0,1.0,100.0
TET2,1.0,1.0,1.0,1.0,100.0
TAX1BP1,1.0,1.0,1.0,1.0,100.0
TAPT1-AS1,1.0,1.0,1.0,1.0,100.0
SACM1L,1.0,1.0,1.0,1.0,100.0
SEPT2,1.0,1.0,1.0,1.0,100.0
SERGEF,1.0,1.0,1.0,1.0,100.0
SH3GLB1,1.0,1.0,1.0,1.0,100.0
SLC12A2,1.0,1.0,1.0,1.0,100.0
SPG21,1.0,1.0,1.0,1.0,100.0
SSBP2,1.0,1.0,1.0,1.0,100.0
SSH2,1.0,1.0,1.0,1.0,100.0
STAG2,1.0,1.0,1.0,1.0,100.0
STIM2,1.0,1.0,1.0,1.0,100.0
STX7,1.0,1.0,1.0,1.0,100.0
STXBP5,1.0,1.0,1.0,1.0,100.0
SUZ12,1.0,1.0,1.0,1.0,100.0
SYNRG,1.0,1.0,1.0,1.0,100.0
TAF4,1.0,1.0,1.0,1.0,100.0
GTF2I,1.0,1.0,1.0,1.0,100.0
ZNF706,1.0,1.0,1.0,1.0,100.0
CENPC,1.0,1.0,1.0,1.0,100.0
ATP8A1,1.0,1.0,1.0,1.0,100.0
ANXA4,1.0,1.0,1.0,1.0,100.0
EIF4H,1.0,1.0,1.0,1.0,100.0
ATF7IP,1.0,1.0,1.0,1.0,100.0
EFCAB13,1.0,1.0,1.0,1.0,100.0
GSAP,1.0,1.0,1.0,1.0,100.0
CHD1,1.0,1.0,1.0,1.0,100.0
ARAP2,1.0,1.0,1.0,1.0,100.0
CHD7,1.0,1.0,1.0,1.0,100.0
CLIC4,1.0,1.0,1.0,1.0,100.0
CNBP,1.0,1.0,1.0,1.0,100.0
ARFGEF1,1.0,1.0,1.0,1.0,100.0
CNOT4,1.0,1.0,1.0,1.0,100.0
DEK,1.0,1.0,1.0,1.0,100.0
ARID2,1.0,1.0,1.0,1.0,100.0
ARHGEF7,1.0,1.0,1.0,1.0,100.0
CYLD,1.0,1.0,1.0,1.0,100.0
CPQ,1.0,1.0,1.0,1.0,100.0
CCPG1,1.0,1.0,1.0,1.0,100.0
EHMT1,1.0,1.0,1.0,1.0,100.0
FAM91A1,1.0,1.0,1.0,1.0,100.0
FAF2,1.0,1.0,1.0,1.0,100.0
CABLES1,1.0,1.0,1.0,1.0,100.0
FAM135A,1.0,1.0,1.0,1.0,100.0
BTBD10,1.0,1.0,1.0,1.0,100.0
GNPTAB,1.0,1.0,1.0,1.0,100.0
BAZ1B,1.0,1.0,1.0,1.0,100.0
CASD1,1.0,1.0,1.0,1.0,100.0
ESCO1,1.0,1.0,1.0,1.0,100.0
ADAR,1.0,1.0,1.0,1.0,100.0
AFTPH,1.0,1.0,1.0,1.0,100.0
TCP11L2,1.0,1.0,1.0,0.0,75.0
SYCP2,1.0,1.0,1.0,0.0,75.0
UIMC1,1.0,1.0,1.0,0.0,75.0
USP13,0.0,1.0,1.0,1.0,75.0
SUPT20H,0.0,1.0,1.0,1.0,75.0
RANBP3,0.0,1.0,1.0,1.0,75.0
PSME4,1.0,1.0,1.0,0.0,75.0
STARD3,1.0,1.0,1.0,0.0,75.0
CLK1,1.0,1.0,1.0,0.0,75.0
USPL1,1.0,1.0,1.0,0.0,75.0
TMEM245,1.0,1.0,1.0,0.0,75.0
UBXN2B,1.0,1.0,1.0,0.0,75.0
SMG7,1.0,1.0,1.0,0.0,75.0
RMND5A,1.0,1.0,1.0,0.0,75.0
RPRD1A,1.0,1.0,1.0,0.0,75.0
TRRAP,0.0,1.0,1.0,1.0,75.0
SSR1,1.0,1.0,1.0,0.0,75.0
RTN3,1.0,1.0,1.0,0.0,75.0
SEC24B,1.0,1.0,1.0,0.0,75.0
CAST,1.0,1.0,1.0,0.0,75.0
PPIL4,0.0,1.0,1.0,1.0,75.0
SRBD1,1.0,1.0,1.0,0.0,75.0
ATG5,1.0,1.0,1.0,0.0,75.0
CCM2,0.0,1.0,1.0,1.0,75.0
CBFB,1.0,1.0,1.0,0.0,75.0
PRKAG2,0.0,1.0,1.0,1.0,75.0
PSPC1,1.0,1.0,1.0,0.0,75.0
PLEKHO1,0.0,1.0,1.0,1.0,75.0
NR6A1,1.0,1.0,1.0,0.0,75.0
MRAS,0.0,1.0,1.0,1.0,75.0
ANAPC16,1.0,1.0,1.0,0.0,75.0
EPAS1,0.0,1.0,1.0,1.0,75.0
LNPEP,1.0,1.0,1.0,0.0,75.0
EPS8,1.0,1.0,1.0,0.0,75.0
