,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
GSE1,1.0,1.0,1.0,1.0,100.0
BCL2L1,1.0,1.0,1.0,1.0,100.0
MED15,1.0,1.0,1.0,1.0,100.0
ILKAP,1.0,1.0,1.0,1.0,100.0
SH3GLB1,1.0,1.0,1.0,1.0,100.0
EEF1D,1.0,1.0,1.0,1.0,100.0
RPL6,1.0,1.0,1.0,1.0,100.0
PDIA4,1.0,1.0,1.0,1.0,100.0
FBXL5,1.0,1.0,1.0,1.0,100.0
VAC14,1.0,1.0,1.0,1.0,100.0
PAK2,1.0,1.0,1.0,1.0,100.0
SEPT9,1.0,1.0,1.0,1.0,100.0
KLHL2,1.0,1.0,1.0,1.0,100.0
SUGP2,1.0,1.0,1.0,1.0,100.0
STK32B,1.0,1.0,1.0,1.0,100.0
TUBGCP3,1.0,1.0,1.0,1.0,100.0
CDK6,1.0,1.0,1.0,1.0,100.0
IRF2,1.0,1.0,1.0,1.0,100.0
USP10,1.0,1.0,1.0,1.0,100.0
IRF2BPL,1.0,1.0,1.0,1.0,100.0
RUNX1,1.0,1.0,1.0,1.0,100.0
NFKB1,1.0,1.0,1.0,1.0,100.0
SNX19,1.0,1.0,1.0,1.0,100.0
CAB39,1.0,1.0,1.0,1.0,100.0
JDP2,1.0,1.0,1.0,1.0,100.0
NCOA6,1.0,1.0,1.0,1.0,100.0
TMED3,1.0,1.0,1.0,1.0,100.0
CCND1,1.0,1.0,1.0,1.0,100.0
RNF111,1.0,1.0,1.0,1.0,100.0
PPP2R2A,1.0,1.0,1.0,1.0,100.0
HIPK3,1.0,1.0,1.0,1.0,100.0
ZNF195,1.0,1.0,1.0,1.0,100.0
HPS3,1.0,1.0,1.0,1.0,100.0
ACSL1,1.0,1.0,1.0,1.0,100.0
LBR,1.0,1.0,1.0,1.0,100.0
PSTPIP2,1.0,1.0,1.0,1.0,100.0
ZNF451,1.0,1.0,1.0,1.0,100.0
CSGALNACT2,1.0,1.0,1.0,1.0,100.0
ZNF618,1.0,1.0,1.0,1.0,100.0
HDLBP,1.0,1.0,1.0,1.0,100.0
ANO10,1.0,1.0,1.0,1.0,100.0
LIMK1,1.0,1.0,1.0,1.0,100.0
MB21D2,1.0,1.0,1.0,1.0,100.0
ADCK1,1.0,1.0,1.0,1.0,100.0
SMG1,1.0,1.0,0.0,1.0,75.0
ELK3,0.0,1.0,1.0,1.0,75.0
SEC24B,1.0,0.0,1.0,1.0,75.0
MTM1,0.0,1.0,1.0,1.0,75.0
NAA16,0.0,1.0,1.0,1.0,75.0
CCNI,1.0,1.0,0.0,1.0,75.0
DCUN1D1,0.0,1.0,1.0,1.0,75.0
TTC23,1.0,0.0,1.0,1.0,75.0
MTCH2,1.0,0.0,1.0,1.0,75.0
DCAF5,1.0,0.0,1.0,1.0,75.0
TSC1,1.0,0.0,1.0,1.0,75.0
SMC5,0.0,1.0,1.0,1.0,75.0
SMAD7,1.0,0.0,1.0,1.0,75.0
DNAJB6,1.0,1.0,1.0,0.0,75.0
CRYL1,1.0,0.0,1.0,1.0,75.0
SLC8B1,1.0,0.0,1.0,1.0,75.0
SESN1,1.0,0.0,1.0,1.0,75.0
KLHL8,1.0,0.0,1.0,1.0,75.0
MAPK1IP1L,1.0,0.0,1.0,1.0,75.0
KDM3A,1.0,0.0,1.0,1.0,75.0
KPNB1,1.0,1.0,1.0,0.0,75.0
ECSIT,1.0,0.0,1.0,1.0,75.0
DHX30,1.0,0.0,1.0,1.0,75.0
RNF217,1.0,1.0,1.0,0.0,75.0
IPO9,0.0,1.0,1.0,1.0,75.0
RELT,1.0,0.0,1.0,1.0,75.0
FMN1,1.0,1.0,1.0,0.0,75.0
HNRNPUL1,0.0,1.0,1.0,1.0,75.0
PPARG,1.0,1.0,1.0,0.0,75.0
NBEAL1,0.0,1.0,1.0,1.0,75.0
PTER,1.0,0.0,1.0,1.0,75.0
INTS6,0.0,1.0,1.0,1.0,75.0
RPL37,1.0,1.0,0.0,1.0,75.0
ASXL2,0.0,1.0,1.0,1.0,75.0
PTP4A2,1.0,1.0,0.0,1.0,75.0
PADI2,0.0,1.0,1.0,1.0,75.0
RPTOR,1.0,1.0,0.0,1.0,75.0
