,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
INO80,1.0,1.0,1.0,1.0,100.0
GMEB1,1.0,1.0,1.0,1.0,100.0
TFB1M,1.0,1.0,1.0,1.0,100.0
M6PR,1.0,1.0,1.0,1.0,100.0
KPNA6,1.0,1.0,1.0,1.0,100.0
TRPM4,1.0,1.0,1.0,1.0,100.0
TTC7A,1.0,1.0,1.0,1.0,100.0
INTS6,1.0,1.0,1.0,1.0,100.0
IDI1,1.0,1.0,1.0,1.0,100.0
HP1BP3,1.0,1.0,1.0,1.0,100.0
U2SURP,1.0,1.0,1.0,1.0,100.0
GOLPH3,1.0,1.0,1.0,1.0,100.0
G2E3,1.0,1.0,1.0,1.0,100.0
COPS7A,1.0,1.0,1.0,1.0,100.0
FOXN3,1.0,1.0,1.0,1.0,100.0
FCHO2,1.0,1.0,1.0,1.0,100.0
USF3,1.0,1.0,1.0,1.0,100.0
FANCL,1.0,1.0,1.0,1.0,100.0
FANCC,1.0,1.0,1.0,1.0,100.0
ERBIN,1.0,1.0,1.0,1.0,100.0
DIDO1,1.0,1.0,1.0,1.0,100.0
DIAPH1,1.0,1.0,1.0,1.0,100.0
CUEDC1,1.0,1.0,1.0,1.0,100.0
CSNK2A1,1.0,1.0,1.0,1.0,100.0
MAP4K3,1.0,1.0,1.0,1.0,100.0
TAPT1,1.0,1.0,1.0,1.0,100.0
MICU2,1.0,1.0,1.0,1.0,100.0
TAOK3,1.0,1.0,1.0,1.0,100.0
SNRNP200,1.0,1.0,1.0,1.0,100.0
SEC24A,1.0,1.0,1.0,1.0,100.0
SEC23B,1.0,1.0,1.0,1.0,100.0
SBF2,1.0,1.0,1.0,1.0,100.0
SREBF2,1.0,1.0,1.0,1.0,100.0
REST,1.0,1.0,1.0,1.0,100.0
RBSN,1.0,1.0,1.0,1.0,100.0
RANBP9,1.0,1.0,1.0,1.0,100.0
RAB12,1.0,1.0,1.0,1.0,100.0
PSMD14,1.0,1.0,1.0,1.0,100.0
STAG1,1.0,1.0,1.0,1.0,100.0
PLOD3,1.0,1.0,1.0,1.0,100.0
PICK1,1.0,1.0,1.0,1.0,100.0
PFKFB3,1.0,1.0,1.0,1.0,100.0
PDIA6,1.0,1.0,1.0,1.0,100.0
PANK2,1.0,1.0,1.0,1.0,100.0
NUDCD3,1.0,1.0,1.0,1.0,100.0
STK40,1.0,1.0,1.0,1.0,100.0
NOSIP,1.0,1.0,1.0,1.0,100.0
NFKB1,1.0,1.0,1.0,1.0,100.0
NFATC1,1.0,1.0,1.0,1.0,100.0
