,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
KLHL28,1.0,1.0,1.0,1.0,100.0
TTL,1.0,1.0,1.0,1.0,100.0
MLKL,1.0,1.0,1.0,1.0,100.0
MKNK1,1.0,1.0,1.0,1.0,100.0
MIRLET7BHG,1.0,1.0,1.0,1.0,100.0
ME2,1.0,1.0,1.0,1.0,100.0
TYW1,1.0,1.0,1.0,1.0,100.0
MCMBP,1.0,1.0,1.0,1.0,100.0
MCFD2,1.0,1.0,1.0,1.0,100.0
MAX,1.0,1.0,1.0,1.0,100.0
MARCH2,1.0,1.0,1.0,1.0,100.0
MAP7D1,1.0,1.0,1.0,1.0,100.0
MAN1A2,1.0,1.0,1.0,1.0,100.0
MAFB,1.0,1.0,1.0,1.0,100.0
LYPLA1,1.0,1.0,1.0,1.0,100.0
LRRC58,1.0,1.0,1.0,1.0,100.0
TYW1B,1.0,1.0,1.0,1.0,100.0
UBA3,1.0,1.0,1.0,1.0,100.0
LMO3,1.0,1.0,1.0,1.0,100.0
LMO2,1.0,1.0,1.0,1.0,100.0
LMNB1,1.0,1.0,1.0,1.0,100.0
LINGO1,1.0,1.0,1.0,1.0,100.0
UBAC2,1.0,1.0,1.0,1.0,100.0
TUBB,1.0,1.0,1.0,1.0,100.0
MSL2,1.0,1.0,1.0,1.0,100.0
GFM1,1.0,1.0,1.0,1.0,100.0
MTMR4,1.0,1.0,1.0,1.0,100.0
PARP14,1.0,1.0,1.0,1.0,100.0
PALM2,1.0,1.0,1.0,1.0,100.0
OSGIN2,1.0,1.0,1.0,1.0,100.0
ODF2,1.0,1.0,1.0,1.0,100.0
NXN,1.0,1.0,1.0,1.0,100.0
NR2F2,1.0,1.0,1.0,1.0,100.0
NLRC4,1.0,1.0,1.0,1.0,100.0
NFYA,1.0,1.0,1.0,1.0,100.0
NCOR1,1.0,1.0,1.0,1.0,100.0
TTC1,1.0,1.0,1.0,1.0,100.0
NAT10,1.0,1.0,1.0,1.0,100.0
NADK,1.0,1.0,1.0,1.0,100.0
TTC39C,1.0,1.0,1.0,1.0,100.0
NACA,1.0,1.0,1.0,1.0,100.0
NABP1,1.0,1.0,1.0,1.0,100.0
NAA50,1.0,1.0,1.0,1.0,100.0
NAA35,1.0,1.0,1.0,1.0,100.0
MYOF,1.0,1.0,1.0,1.0,100.0
MYO5A,1.0,1.0,1.0,1.0,100.0
MX2,1.0,1.0,1.0,1.0,100.0
MX1,1.0,1.0,1.0,1.0,100.0
LINC00467,1.0,1.0,1.0,1.0,100.0
LAIR1,1.0,1.0,1.0,1.0,100.0
KYAT3,1.0,1.0,1.0,1.0,100.0
UHRF1BP1,1.0,1.0,1.0,1.0,100.0
