,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZNF33A,1.0,1.0,1.0,1.0,100.0
E2F3,1.0,1.0,1.0,1.0,100.0
MCF2L,1.0,1.0,1.0,1.0,100.0
LYPLA1,1.0,1.0,1.0,1.0,100.0
LUC7L3,1.0,1.0,1.0,1.0,100.0
SLC37A1,1.0,1.0,1.0,1.0,100.0
KTN1,1.0,1.0,1.0,1.0,100.0
KLHL42,1.0,1.0,1.0,1.0,100.0
KIAA0513,1.0,1.0,1.0,1.0,100.0
JDP2,1.0,1.0,1.0,1.0,100.0
ITGA5,1.0,1.0,1.0,1.0,100.0
SNCAIP,1.0,1.0,1.0,1.0,100.0
SS18,1.0,1.0,1.0,1.0,100.0
HTRA1,1.0,1.0,1.0,1.0,100.0
GPAT3,1.0,1.0,1.0,1.0,100.0
TAL1,1.0,1.0,1.0,1.0,100.0
TANC1,1.0,1.0,1.0,1.0,100.0
FOXN3,1.0,1.0,1.0,1.0,100.0
FGD5-AS1,1.0,1.0,1.0,1.0,100.0
FAM114A1,1.0,1.0,1.0,1.0,100.0
TEP1,1.0,1.0,1.0,1.0,100.0
ADGRG1,1.0,1.0,1.0,1.0,100.0
MKNK1,1.0,1.0,1.0,1.0,100.0
SAP30,1.0,1.0,1.0,1.0,100.0
PCF11,1.0,1.0,1.0,1.0,100.0
PTPN14,1.0,1.0,1.0,1.0,100.0
RABL2B,1.0,1.0,1.0,1.0,100.0
PRPF39,1.0,1.0,1.0,1.0,100.0
PRKAR1A,1.0,1.0,1.0,1.0,100.0
RANBP3,1.0,1.0,1.0,1.0,100.0
PPARG,1.0,1.0,1.0,1.0,100.0
PNPLA6,1.0,1.0,1.0,1.0,100.0
PELI2,1.0,1.0,1.0,1.0,100.0
NXN,1.0,1.0,1.0,1.0,100.0
MSH6,1.0,1.0,1.0,1.0,100.0
NINJ1,1.0,1.0,1.0,1.0,100.0
NIN,1.0,1.0,1.0,1.0,100.0
NIFK-AS1,1.0,1.0,1.0,1.0,100.0
NFKBIA,1.0,1.0,1.0,1.0,100.0
NFATC1,1.0,1.0,1.0,1.0,100.0
NCK2,1.0,1.0,1.0,1.0,100.0
RPL22,1.0,1.0,1.0,1.0,100.0
N4BP3,1.0,1.0,1.0,1.0,100.0
ELK3,1.0,1.0,1.0,1.0,100.0
IDE,1.0,1.0,1.0,1.0,100.0
TMEM243,1.0,1.0,1.0,1.0,100.0
DCK,1.0,1.0,1.0,1.0,100.0
ZFR,1.0,1.0,1.0,1.0,100.0
ANKH,1.0,1.0,1.0,1.0,100.0
ARHGAP22,1.0,1.0,1.0,1.0,100.0
BCL2,1.0,1.0,1.0,1.0,100.0
XBP1,1.0,1.0,1.0,1.0,100.0
CABLES1,1.0,1.0,1.0,1.0,100.0
UACA,1.0,1.0,1.0,1.0,100.0
CD276,1.0,1.0,1.0,1.0,100.0
CD40,1.0,1.0,1.0,1.0,100.0
CD63,1.0,1.0,1.0,1.0,100.0
CGNL1,1.0,1.0,1.0,1.0,100.0
CLIP1,1.0,1.0,1.0,1.0,100.0
PTPRE,1.0,1.0,1.0,1.0,100.0
DNAJB6,1.0,1.0,1.0,1.0,100.0
DDX6,1.0,1.0,1.0,1.0,100.0
TCHP,1.0,1.0,0.0,1.0,75.0
SH2B3,1.0,1.0,1.0,0.0,75.0
EIF5,1.0,1.0,1.0,0.0,75.0
NOM1,1.0,1.0,1.0,0.0,75.0
TRIM73,1.0,1.0,1.0,0.0,75.0
MTIF3,1.0,0.0,1.0,1.0,75.0
MYDGF,1.0,1.0,1.0,0.0,75.0
LINGO1,1.0,1.0,1.0,0.0,75.0
SKIL,1.0,1.0,1.0,0.0,75.0
SLC1A4,1.0,1.0,1.0,0.0,75.0
MYL12B,1.0,1.0,1.0,0.0,75.0
TTC33,1.0,1.0,1.0,0.0,75.0
RASGEF1B,1.0,1.0,1.0,0.0,75.0
WDR5,1.0,1.0,1.0,0.0,75.0
BTBD1,1.0,1.0,1.0,0.0,75.0
CPED1,1.0,1.0,0.0,1.0,75.0
IRS2,1.0,1.0,1.0,0.0,75.0
NAB1,0.0,1.0,1.0,1.0,75.0
ZFP36L2,1.0,1.0,0.0,1.0,75.0
PAIP2,1.0,1.0,1.0,0.0,75.0
NAA20,1.0,1.0,1.0,0.0,75.0
C1S,1.0,1.0,1.0,0.0,75.0
PTTG1IP,1.0,1.0,1.0,0.0,75.0
