,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ACAA1,1.0,1.0,1.0,1.0,100.0
MAT2B,1.0,1.0,1.0,1.0,100.0
FAM91A1,1.0,1.0,1.0,1.0,100.0
ZNF175,1.0,1.0,1.0,1.0,100.0
ENTPD1-AS1,1.0,1.0,1.0,1.0,100.0
SASH3,1.0,1.0,1.0,0.0,75.0
KIFC1,0.0,1.0,1.0,1.0,75.0
MAP3K8,0.0,1.0,1.0,1.0,75.0
SS18,0.0,1.0,1.0,1.0,75.0
MPDU1,1.0,1.0,0.0,1.0,75.0
TRMT11,1.0,0.0,1.0,1.0,75.0
VPS37C,1.0,1.0,1.0,0.0,75.0
DCP1A,1.0,0.0,1.0,1.0,75.0
KRR1,1.0,0.0,1.0,1.0,75.0
BROX,0.0,1.0,1.0,1.0,75.0
AHCTF1,0.0,1.0,1.0,1.0,75.0
RAB11A,1.0,1.0,0.0,1.0,75.0
CEPT1,0.0,1.0,1.0,1.0,75.0
RPS16,1.0,0.0,1.0,1.0,75.0
RUVBL1,1.0,1.0,0.0,1.0,75.0
SPATA6,0.0,1.0,0.0,1.0,50.0
RABL2B,1.0,0.0,1.0,0.0,50.0
ST7L,0.0,0.0,1.0,1.0,50.0
MARK4,0.0,1.0,1.0,0.0,50.0
PRPF40A,1.0,0.0,1.0,0.0,50.0
MFSD14B,1.0,0.0,1.0,0.0,50.0
SPINK8,0.0,0.0,1.0,1.0,50.0
NUP214,1.0,0.0,1.0,0.0,50.0
PRKCZ,1.0,1.0,0.0,0.0,50.0
MTBP,1.0,0.0,1.0,0.0,50.0
PRDX6,1.0,0.0,1.0,0.0,50.0
ADGRG1,0.0,0.0,1.0,1.0,50.0
NCKAP5L,1.0,0.0,1.0,0.0,50.0
LINC00323,0.0,1.0,0.0,1.0,50.0
NETO2,0.0,1.0,1.0,0.0,50.0
PLAC8,0.0,1.0,1.0,0.0,50.0
NDUFB2,1.0,0.0,1.0,0.0,50.0
KBTBD12,0.0,0.0,1.0,1.0,50.0
CNTNAP5,0.0,0.0,1.0,1.0,50.0
TBP,0.0,1.0,1.0,0.0,50.0
AGPAT3,0.0,1.0,1.0,0.0,50.0
TMF1,0.0,0.0,1.0,1.0,50.0
HNRNPD,0.0,1.0,1.0,0.0,50.0
GTPBP4,0.0,1.0,0.0,1.0,50.0
TNFRSF14,0.0,1.0,0.0,1.0,50.0
TRAM2,1.0,0.0,1.0,0.0,50.0
ZFP30,1.0,0.0,1.0,0.0,50.0
ALDH2,0.0,0.0,1.0,1.0,50.0
DHX30,0.0,1.0,0.0,1.0,50.0
ARL6IP6,1.0,0.0,1.0,0.0,50.0
C16orf72,0.0,1.0,1.0,0.0,50.0
CHCHD7,0.0,1.0,0.0,1.0,50.0
ZNF431,0.0,1.0,0.0,0.0,25.0
TAGAP,0.0,0.0,1.0,0.0,25.0
RPS6KA6,0.0,1.0,0.0,0.0,25.0
ZNF516,0.0,1.0,0.0,0.0,25.0
RNF149,0.0,1.0,0.0,0.0,25.0
WWC3,0.0,1.0,0.0,0.0,25.0
ZBTB20-AS4,0.0,0.0,0.0,1.0,25.0
ZBTB11,0.0,0.0,0.0,1.0,25.0
RHOH,0.0,1.0,0.0,0.0,25.0
SDCBP2-AS1,1.0,0.0,0.0,0.0,25.0
WDFY3,0.0,1.0,0.0,0.0,25.0
SLC17A5,0.0,1.0,0.0,0.0,25.0
TSC2,1.0,0.0,0.0,0.0,25.0
TRMT10B,0.0,1.0,0.0,0.0,25.0
SLC30A1,0.0,0.0,0.0,1.0,25.0
TIAL1,0.0,1.0,0.0,0.0,25.0
RNASET2,0.0,1.0,0.0,0.0,25.0
NAPB,0.0,1.0,0.0,0.0,25.0
RDX,0.0,1.0,0.0,0.0,25.0
RAB1B,0.0,1.0,0.0,0.0,25.0
AP1B1,0.0,0.0,0.0,1.0,25.0
CASP5,0.0,0.0,0.0,1.0,25.0
CCDC137,0.0,1.0,0.0,0.0,25.0
COLGALT2,0.0,1.0,0.0,0.0,25.0
COPS4,0.0,1.0,0.0,0.0,25.0
DYNLRB1,0.0,0.0,0.0,1.0,25.0
E2F3,0.0,0.0,0.0,1.0,25.0
EMC3,0.0,0.0,1.0,0.0,25.0
ETV5,0.0,1.0,0.0,0.0,25.0
FARSB,0.0,0.0,0.0,1.0,25.0
FCHO1,0.0,1.0,0.0,0.0,25.0
FOXF2,0.0,1.0,0.0,0.0,25.0
G2E3,0.0,1.0,0.0,0.0,25.0
GPR34,0.0,0.0,0.0,1.0,25.0
HS1BP3,0.0,1.0,0.0,0.0,25.0
IGF1R,0.0,0.0,0.0,1.0,25.0
IL10,0.0,1.0,0.0,0.0,25.0
LILRA6,0.0,0.0,1.0,0.0,25.0
LPO,0.0,0.0,0.0,1.0,25.0
MAPRE1,0.0,1.0,0.0,0.0,25.0
MFSD8,0.0,1.0,0.0,0.0,25.0
MIR4435-2HG,0.0,0.0,1.0,0.0,25.0
