,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
AATF,1.0,1.0,1.0,1.0,100.0
RPL31,1.0,1.0,1.0,1.0,100.0
PRPF4B,1.0,1.0,1.0,1.0,100.0
PRKDC,1.0,1.0,1.0,1.0,100.0
POLG2,1.0,1.0,1.0,1.0,100.0
POLE2,1.0,1.0,1.0,1.0,100.0
PDSS2,1.0,1.0,1.0,1.0,100.0
PDIA4,1.0,1.0,1.0,1.0,100.0
OSTM1,1.0,1.0,1.0,1.0,100.0
NSUN5,1.0,1.0,1.0,1.0,100.0
NORAD,1.0,1.0,1.0,1.0,100.0
ABL1,1.0,1.0,1.0,1.0,100.0
ME2,1.0,1.0,1.0,1.0,100.0
KLHL2,1.0,1.0,1.0,1.0,100.0
INO80,1.0,1.0,1.0,1.0,100.0
HDLBP,1.0,1.0,1.0,1.0,100.0
GTF2F2,1.0,1.0,1.0,1.0,100.0
GLE1,1.0,1.0,1.0,1.0,100.0
GATAD2A,1.0,1.0,1.0,1.0,100.0
PVT1,1.0,1.0,1.0,1.0,100.0
RPS6KC1,1.0,1.0,1.0,1.0,100.0
FCER1G,1.0,1.0,1.0,1.0,100.0
SBNO2,1.0,1.0,1.0,1.0,100.0
ZNF675,1.0,1.0,1.0,1.0,100.0
ZNF529,1.0,1.0,1.0,1.0,100.0
ZNF430,1.0,1.0,1.0,1.0,100.0
ZFP62,1.0,1.0,1.0,1.0,100.0
ZCCHC7,1.0,1.0,1.0,1.0,100.0
WIPF2,1.0,1.0,1.0,1.0,100.0
UTP4,1.0,1.0,1.0,1.0,100.0
UBE2D3,1.0,1.0,1.0,1.0,100.0
TOP3B,1.0,1.0,1.0,1.0,100.0
TMED3,1.0,1.0,1.0,1.0,100.0
TCF12,1.0,1.0,1.0,1.0,100.0
TAF1C,1.0,1.0,1.0,1.0,100.0
SND1,1.0,1.0,1.0,1.0,100.0
SLF1,1.0,1.0,1.0,1.0,100.0
SF3B2,1.0,1.0,1.0,1.0,100.0
SERP1,1.0,1.0,1.0,1.0,100.0
SDCBP2-AS1,1.0,1.0,1.0,1.0,100.0
FNDC3B,1.0,1.0,1.0,1.0,100.0
ZNF737,1.0,1.0,1.0,1.0,100.0
ARHGEF12,1.0,1.0,1.0,1.0,100.0
CD46,1.0,1.0,1.0,1.0,100.0
ARHGEF11,1.0,1.0,1.0,1.0,100.0
BCL2L1,1.0,1.0,1.0,1.0,100.0
BRCA2,1.0,1.0,1.0,1.0,100.0
DDX21,1.0,1.0,1.0,1.0,100.0
CARNMT1,1.0,1.0,1.0,1.0,100.0
ELMOD2,1.0,1.0,1.0,1.0,100.0
EHD4,1.0,1.0,1.0,1.0,100.0
CD276,1.0,1.0,1.0,1.0,100.0
ANOS1,1.0,1.0,1.0,1.0,100.0
