,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
ZNF618,1.0,1.0,1.0,1.0,100.0
SMG1,1.0,1.0,1.0,1.0,100.0
PAICS,1.0,1.0,1.0,1.0,100.0
DDX59,1.0,1.0,1.0,1.0,100.0
PNPLA6,1.0,1.0,1.0,1.0,100.0
PTGES2,1.0,1.0,1.0,1.0,100.0
RCAN1,1.0,1.0,1.0,1.0,100.0
FOXN3,1.0,1.0,1.0,1.0,100.0
SASH1,1.0,1.0,1.0,1.0,100.0
CDK6,1.0,1.0,1.0,1.0,100.0
NBR1,1.0,1.0,1.0,1.0,100.0
SLC12A6,1.0,1.0,1.0,1.0,100.0
LINC00623,1.0,1.0,1.0,1.0,100.0
ANXA4,1.0,1.0,1.0,1.0,100.0
USF1,1.0,1.0,1.0,1.0,100.0
ADD3,1.0,1.0,1.0,1.0,100.0
ICA1,1.0,1.0,1.0,1.0,100.0
SVIL,1.0,1.0,1.0,1.0,100.0
TLR2,1.0,1.0,1.0,1.0,100.0
SMARCA2,1.0,0.0,1.0,1.0,75.0
PTGES3,1.0,0.0,1.0,1.0,75.0
RAB6A,1.0,0.0,1.0,1.0,75.0
IL1R1,1.0,0.0,1.0,1.0,75.0
CLMN,0.0,1.0,1.0,1.0,75.0
CLIP1,1.0,0.0,1.0,1.0,75.0
KANK1,1.0,0.0,1.0,1.0,75.0
ARAP2,1.0,0.0,1.0,1.0,75.0
SEL1L3,0.0,1.0,1.0,1.0,75.0
ETV6,1.0,0.0,1.0,1.0,75.0
KLHL2,1.0,0.0,1.0,1.0,75.0
KIF5B,0.0,1.0,1.0,1.0,75.0
STXBP5,1.0,0.0,1.0,1.0,75.0
MEGF11,0.0,0.0,1.0,1.0,50.0
MDM2,0.0,1.0,0.0,1.0,50.0
MIER1,0.0,1.0,0.0,1.0,50.0
GAN,0.0,1.0,0.0,1.0,50.0
NBN,0.0,0.0,1.0,1.0,50.0
RIMS2,0.0,1.0,0.0,1.0,50.0
NNT,0.0,1.0,1.0,0.0,50.0
PECAM1,0.0,1.0,0.0,1.0,50.0
S100A11,1.0,0.0,1.0,0.0,50.0
SCD5,0.0,1.0,0.0,1.0,50.0
SERPINA1,1.0,0.0,1.0,0.0,50.0
SH3YL1,0.0,1.0,1.0,0.0,50.0
SIK2,0.0,1.0,0.0,1.0,50.0
SIK3,0.0,1.0,0.0,1.0,50.0
STRN4,0.0,0.0,1.0,1.0,50.0
TRIQK,0.0,1.0,1.0,0.0,50.0
UNC45A,0.0,1.0,1.0,0.0,50.0
ZNF384,0.0,0.0,1.0,1.0,50.0
FOXP1,0.0,1.0,1.0,0.0,50.0
LCP1,0.0,0.0,1.0,1.0,50.0
FECH,0.0,1.0,1.0,0.0,50.0
AZIN1,0.0,0.0,1.0,1.0,50.0
AZIN2,0.0,1.0,1.0,0.0,50.0
ECSIT,0.0,0.0,1.0,1.0,50.0
DNAJC21,0.0,0.0,1.0,1.0,50.0
AQP9,1.0,0.0,1.0,0.0,50.0
CDH23,0.0,0.0,1.0,1.0,50.0
FAM168B,0.0,1.0,0.0,1.0,50.0
ECHDC2,0.0,0.0,1.0,1.0,50.0
CHD8,0.0,0.0,1.0,0.0,25.0
CDKL5,0.0,0.0,0.0,1.0,25.0
CDK14,0.0,0.0,1.0,0.0,25.0
CHST15,0.0,0.0,0.0,1.0,25.0
RXRA,0.0,0.0,1.0,0.0,25.0
RRAGB,0.0,0.0,1.0,0.0,25.0
CCND3,0.0,0.0,1.0,0.0,25.0
CCDC7,0.0,0.0,1.0,0.0,25.0
C3orf58,0.0,0.0,1.0,0.0,25.0
BSG,0.0,0.0,0.0,1.0,25.0
RPS6KA5,0.0,0.0,0.0,1.0,25.0
SLC35D2,0.0,1.0,0.0,0.0,25.0
RNF169,1.0,0.0,0.0,0.0,25.0
CLASP1,0.0,1.0,0.0,0.0,25.0
STK3,0.0,0.0,1.0,0.0,25.0
STAG2,0.0,0.0,1.0,0.0,25.0
ANKLE2,0.0,0.0,1.0,0.0,25.0
ACVR2A,0.0,0.0,0.0,1.0,25.0
ZFX,0.0,1.0,0.0,0.0,25.0
WWP1,0.0,0.0,0.0,1.0,25.0
ACVR2B,0.0,0.0,1.0,0.0,25.0
ANAPC10,0.0,0.0,0.0,1.0,25.0
UBE2N,0.0,0.0,0.0,1.0,25.0
TTLL4,0.0,0.0,0.0,1.0,25.0
TMEM123,0.0,0.0,0.0,1.0,25.0
COBL,0.0,0.0,0.0,1.0,25.0
TMED3,0.0,0.0,1.0,0.0,25.0
