,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
APOE,1.0,1.0,1.0,1.0,100.0
SLC9A9,0.0,1.0,1.0,1.0,75.0
CD163,0.0,1.0,1.0,1.0,75.0
F13A1,0.0,1.0,1.0,1.0,75.0
HIF1A,0.0,1.0,1.0,0.0,50.0
SAP18,0.0,0.0,0.0,1.0,25.0
TCF4,0.0,0.0,0.0,1.0,25.0
SKAP2,0.0,0.0,0.0,1.0,25.0
SGIP1,0.0,0.0,0.0,1.0,25.0
ACADVL,0.0,0.0,0.0,1.0,25.0
SAMD9L,0.0,0.0,0.0,1.0,25.0
TGFBI,0.0,0.0,0.0,1.0,25.0
PTPN4,0.0,0.0,0.0,1.0,25.0
PRKACB,0.0,0.0,0.0,1.0,25.0
PLXNC1,0.0,0.0,0.0,1.0,25.0
PLSCR1,0.0,0.0,0.0,1.0,25.0
RHOBTB3,0.0,0.0,0.0,1.0,25.0
THRB,0.0,0.0,0.0,1.0,25.0
PDCD4,0.0,0.0,0.0,1.0,25.0
TMEM163,0.0,0.0,0.0,1.0,25.0
TMEM70,0.0,0.0,0.0,1.0,25.0
TNFRSF1B,0.0,0.0,0.0,1.0,25.0
TRPS1,1.0,0.0,0.0,0.0,25.0
VPS45,0.0,0.0,0.0,1.0,25.0
VPS50,0.0,0.0,0.0,1.0,25.0
VWA8,0.0,0.0,0.0,1.0,25.0
XIST,0.0,0.0,0.0,1.0,25.0
ZBTB16,0.0,0.0,0.0,1.0,25.0
ZNF618,0.0,0.0,0.0,1.0,25.0
PDE7A,0.0,0.0,0.0,1.0,25.0
NEK10,0.0,0.0,0.0,1.0,25.0
OLA1,0.0,0.0,0.0,1.0,25.0
FRMD4B,0.0,0.0,0.0,1.0,25.0
ANK2,0.0,0.0,0.0,1.0,25.0
ARHGAP32,0.0,0.0,0.0,1.0,25.0
C1orf162,0.0,0.0,0.0,1.0,25.0
CTSH,1.0,0.0,0.0,0.0,25.0
DUSP22,0.0,0.0,0.0,1.0,25.0
EIF3E,0.0,0.0,0.0,1.0,25.0
ESR1,0.0,0.0,0.0,1.0,25.0
FAM110B,0.0,0.0,0.0,1.0,25.0
FMN1,0.0,0.0,0.0,1.0,25.0
FOXK1,0.0,0.0,0.0,1.0,25.0
HSD17B4,0.0,0.0,0.0,1.0,25.0
AKR1B1,0.0,0.0,0.0,1.0,25.0
IL15,0.0,0.0,0.0,1.0,25.0
IQGAP2,0.0,0.0,0.0,1.0,25.0
KCNAB1,0.0,0.0,0.0,1.0,25.0
LINC01146,0.0,0.0,0.0,1.0,25.0
LITAF,0.0,0.0,0.0,1.0,25.0
MBNL1,0.0,0.0,0.0,1.0,25.0
MCTP1,0.0,0.0,0.0,1.0,25.0
MS4A6A,1.0,0.0,0.0,0.0,25.0
MTM1,0.0,0.0,0.0,1.0,25.0
MX1,1.0,0.0,0.0,0.0,25.0
ZNF804A,0.0,0.0,0.0,1.0,25.0
