,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
CYLD,1.0,0.0,1.0,1.0,75.0
PNRC1,0.0,0.0,1.0,1.0,50.0
USP10,0.0,1.0,1.0,0.0,50.0
CDC14B,1.0,0.0,0.0,1.0,50.0
MSRA,0.0,0.0,1.0,1.0,50.0
RASGEF1B,1.0,1.0,0.0,0.0,50.0
RALGAPB,0.0,1.0,0.0,0.0,25.0
YIPF4,0.0,0.0,0.0,1.0,25.0
VPS36,0.0,1.0,0.0,0.0,25.0
TRAF3,1.0,0.0,0.0,0.0,25.0
TPCN1,0.0,0.0,0.0,1.0,25.0
TBPL1,0.0,0.0,0.0,1.0,25.0
SLC37A1,0.0,0.0,0.0,1.0,25.0
SETD5,0.0,0.0,0.0,1.0,25.0
RPS9,0.0,0.0,0.0,1.0,25.0
RAP2A,0.0,0.0,1.0,0.0,25.0
ACTA2,0.0,1.0,0.0,0.0,25.0
PPP1R21,0.0,0.0,0.0,1.0,25.0
APIP,0.0,0.0,0.0,1.0,25.0
PITPNB,0.0,0.0,1.0,0.0,25.0
NUDT2,0.0,0.0,0.0,1.0,25.0
NETO2,0.0,0.0,0.0,1.0,25.0
METAP2,0.0,1.0,0.0,0.0,25.0
MAP3K13,0.0,0.0,0.0,1.0,25.0
FILIP1L,0.0,1.0,0.0,0.0,25.0
DNAJC3,1.0,0.0,0.0,0.0,25.0
CD58,0.0,1.0,0.0,0.0,25.0
ATXN7,1.0,0.0,0.0,0.0,25.0
ARL17A,0.0,0.0,0.0,1.0,25.0
ZNF708,0.0,1.0,0.0,0.0,25.0
