,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_0.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_1.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_2.csv,../mic/output/pySCENIC_discovery/second/mic0_discovery_auc_mtx_3.csv,sum
NR6A1,1.0,1.0,1.0,1.0,100.0
NRDC,1.0,1.0,1.0,1.0,100.0
DIS3L,1.0,1.0,1.0,1.0,100.0
DNAJA4,1.0,1.0,1.0,1.0,100.0
CEP83,1.0,1.0,1.0,1.0,100.0
FSCN1,1.0,1.0,1.0,1.0,100.0
CBWD5,1.0,1.0,1.0,1.0,100.0
SNX19,1.0,1.0,1.0,1.0,100.0
LAMP1,1.0,1.0,1.0,1.0,100.0
C5orf15,1.0,1.0,1.0,1.0,100.0
SLC30A9,1.0,1.0,1.0,1.0,100.0
ATG3,1.0,1.0,1.0,1.0,100.0
NDC80,1.0,1.0,1.0,1.0,100.0
WSB2,1.0,1.0,1.0,1.0,100.0
RPS2,1.0,1.0,1.0,1.0,100.0
RAD9A,1.0,1.0,1.0,1.0,100.0
RFC1,1.0,1.0,1.0,1.0,100.0
ANAPC10,1.0,1.0,1.0,1.0,100.0
NDUFV1,1.0,1.0,1.0,0.0,75.0
RHOBTB1,1.0,1.0,1.0,0.0,75.0
SSR3,0.0,1.0,1.0,1.0,75.0
HNRNPLL,1.0,0.0,1.0,1.0,75.0
HLA-DPA1,1.0,0.0,1.0,1.0,75.0
GUF1,0.0,1.0,1.0,1.0,75.0
GTF2H2,0.0,1.0,1.0,1.0,75.0
PTPRE,0.0,1.0,1.0,1.0,75.0
FILIP1L,1.0,1.0,1.0,0.0,75.0
TMEM163,1.0,0.0,1.0,1.0,75.0
TNFRSF10D,1.0,1.0,0.0,1.0,75.0
TMEM19,0.0,1.0,1.0,1.0,75.0
PRR5,1.0,0.0,1.0,1.0,75.0
ELOVL5,1.0,1.0,1.0,0.0,75.0
EHD4,1.0,1.0,1.0,0.0,75.0
DR1,0.0,1.0,1.0,1.0,75.0
DHDDS,1.0,0.0,1.0,1.0,75.0
DBNL,1.0,1.0,0.0,1.0,75.0
DACT1,1.0,1.0,1.0,0.0,75.0
SSR1,0.0,1.0,1.0,1.0,75.0
INTS7,1.0,1.0,1.0,0.0,75.0
